Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Paul Skenes,PIT,13.18760014,8.652199745,21.13260078,2.792059998,30.78000069,30.78000069,0,0,,188.1044006,758.7910156,146.9232025,64.55599976,58.35541916,15.54996395,55.3219986,0.436300009,7.520400047,241.2425995,11.54243807,2.646923653,4.360699281,0.744000008,0.317930227,0.072908083,0.245022143,0.211112141,1.075175277,0.299149329,0.762925665,0.470836385,,2.678407881,5.752156451,,,,,,,,,1112.665685,5.915149677,1032.330475,5.488071897,4.2,3.73,3.43,3.19,2.98,2.78,2.59,2.38,2.11,3.71,3.47,3.31,3.17,3.05,2.94,2.82,2.69,2.52,Paul Skenes,33677,694973
Tarik Skubal,DET,13.25259972,9.517499924,21.63660049,2.917990343,32,32,0,0,,196.2339935,787.1400146,160.2411957,69.87390137,63.62321091,19.88504601,45.21179962,0.301499993,7.986299992,228.3643036,10.47361212,2.073576495,5.050989023,0.912000061,0.290119038,0.057438065,0.232680972,0.218329533,1.046979637,0.288981466,0.763335923,0.435306014,,2.96962953,5.127143986,,,,,,,,,1088.052686,5.54466974,1019.798678,5.196850248,4.27,3.83,3.55,3.32,3.12,2.93,2.74,2.54,2.28,3.72,3.53,3.4,3.29,3.19,3.09,2.99,2.88,2.73,Tarik Skubal,22267,669373
Jacob deGrom,TEX,11.16189957,6.844600201,16.51370049,2.877579781,25.92000008,25.92000008,0,0,,152.0175018,602.2880249,116.1639023,52.70479965,48.60472107,17.21175957,30.26440048,0.301699996,4.925499916,205.945694,12.19274902,1.791764771,6.804882657,1.019000011,0.341938882,0.050249049,0.291689833,0.204839158,0.963233187,0.287701197,0.766141534,0.383545368,,2.623326448,5.078122488,,,,,,,,,917.5204117,6.035623534,842.6563215,5.54315333,4.34,3.82,3.48,3.22,2.99,2.78,2.57,2.34,2.06,3.77,3.52,3.35,3.21,3.08,2.96,2.84,2.7,2.52,Jacob deGrom,10954,594798
Garrett Crochet,BOS,12.52289963,8.277999878,17.40880013,3.029119246,30.78000069,30.78000069,0,0,,170.1381989,683.2860107,132.667099,62.48590088,57.2632103,16.59792709,51.82929993,0.392199993,6.531499863,220.1629028,11.64621548,2.741675312,4.247846356,0.878000031,0.322211928,0.075853009,0.246358919,0.212292762,1.084391396,0.299020666,0.75661061,0.440865635,,2.875714069,4.786253699,,,,,,,,,975.1771172,5.731676506,900.1613483,5.290765709,4.48,3.99,3.67,3.41,3.19,2.98,2.78,2.55,2.27,3.92,3.68,3.52,3.39,3.27,3.16,3.04,2.91,2.73,Garrett Crochet,27463,676979
Zack Wheeler,PHI,13.41580009,9.482099533,20.56270027,3.328599771,32,32,0,0,,198.5180054,809.6170044,171.0789032,79.98799896,73.42077637,22.96191597,51.07139969,0.817700028,8.658900261,212.4143066,9.630001854,2.315369814,4.159163601,1.041000001,0.262363939,0.063080938,0.199283002,0.228139667,1.119043597,0.287879436,0.748208395,0.426170427,,3.432789094,4.54450895,,,,,,,,,987.4342384,4.974028611,939.7228327,4.733690684,4.72,4.27,3.97,3.74,3.53,3.33,3.13,2.92,2.64,4.12,3.93,3.8,3.7,3.6,3.51,3.41,3.3,3.15,Zack Wheeler,10310,554430
Chris Sale,ATL,13.83749962,7.888100147,19.96859932,3.071899609,30.78000069,30.78000069,0,0,,186.7720947,754.3300171,152.5561066,69.53130341,63.74945831,19.42429924,47.39530182,0.522000015,8.974300385,229.8993988,11.07817842,2.283840726,4.850679075,0.936000067,0.304772969,0.06283099,0.241941979,0.218574153,1.070563612,0.296747463,0.754932136,0.42585026,,2.962091104,4.517564147,,,,,,,,,1037.238734,5.553499498,972.0345745,5.204388675,4.47,4.01,3.7,3.46,3.25,3.05,2.85,2.63,2.36,3.91,3.7,3.55,3.43,3.32,3.22,3.11,2.98,2.82,Chris Sale,10603,519242
Tyler Glasnow,LAD,10.52630043,6.421700001,14.76580048,3.216749342,24.29999924,24.29999924,0,0,,143.6885986,579.6229858,116.7387009,55.96689987,51.35668945,16.14101982,40.79330063,0.242899999,3.556600094,178.128006,11.15712777,2.555106732,4.366599496,1.011000036,0.307317015,0.070379025,0.23693799,0.218091856,1.096343085,0.295004351,0.752698873,0.448947277,,3.073410097,3.759867407,,,,,,,,,784.4467736,5.459352942,731.8160453,5.093069682,4.77,4.24,3.89,3.62,3.38,3.15,2.93,2.69,2.39,4.09,3.87,3.71,3.59,3.48,3.37,3.25,3.12,2.95,Tyler Glasnow,14374,607192
Sonny Gray,STL,12.09840012,9.599599838,18.50469971,3.407900103,30.78000069,30.78000069,0,0,,184.7655029,764.125,164.3311005,76.4681015,69.96248627,19.68778992,51.48600006,0.431699991,6.828199863,197.3430023,9.61265492,2.507903224,3.832944919,0.958999956,0.258260104,0.067379028,0.190881076,0.232825993,1.168059498,0.295927223,0.740217233,0.447402666,,3.362392237,3.640312716,,,,,,,,,917.5874494,4.966227108,887.6296506,4.804087541,4.88,4.41,4.1,3.85,3.63,3.42,3.21,2.98,2.69,4.26,4.06,3.92,3.81,3.7,3.6,3.49,3.37,3.21,Sonny Gray,12768,543243
Dylan Cease,SDP,12.42640018,9.95470047,18.48110008,3.480040425,32,32,0,0,,188.9936066,786.1630249,154.4230042,79.01909637,73.07837677,22.36424255,70.68319702,1.010200024,6.429200172,224.3081055,10.68169969,3.365980388,3.173428975,1.064999958,0.285320091,0.089909083,0.195411007,0.217788403,1.191078393,0.285607623,0.753817971,0.379245504,,3.555149719,3.609477902,,,,,,,,,939.2517138,4.969753902,871.511899,4.611330059,4.91,4.44,4.13,3.88,3.67,3.46,3.25,3.03,2.74,4.28,4.09,3.95,3.84,3.74,3.64,3.54,3.43,3.27,Dylan Cease,18525,656302
Corbin Burnes,ARI,12.21889973,9.77670002,18.38999939,3.685880545,30.78000069,30.78000069,0,0,,189.8486023,792.6870117,178.1074982,84.6740036,77.75102997,20.03957367,53.73149872,0.249699995,7.150000095,192.5809937,9.12953228,2.547205945,3.584135903,0.949999952,0.242947078,0.067784003,0.175163076,0.243380919,1.221178318,0.304453983,0.722163107,0.457686548,,3.471970396,3.606065732,,,,,,,,,897.8308965,4.729194135,891.2460446,4.694509382,5.19,4.71,4.4,4.14,3.92,3.71,3.49,3.26,2.96,4.54,4.35,4.21,4.1,3.99,3.89,3.79,3.67,3.51,Corbin Burnes,19361,669203
