batter,name,apr_PA,apr_BABIP,apr_hard_hit_rate,apr_barrel_rate,apr_z_contact_rate,apr_hr_fb_rate,apr_BA,apr_wOBA,apr_HR_rate,apr_xBA,apr_xwOBA,luck_score,verdict,mj_PA,mj_BABIP,mj_BA,mj_wOBA,mj_HR_rate,year,delta_BABIP,delta_BA,delta_wOBA,delta_HR_rate,xwOBA_gap,xBA_gap
408234,Miguel Cabrera,56,0.2381,0.2,0.047619047619047616,0.863,0.0,0.1887,0.24910714285714283,0.0,0.23145238095238096,0.22490584415584416,0.3098,Buy low,166,0.3455,0.2746,0.34066265060240963,0.006,2023,0.1074,0.086,0.0916,0.006,-0.0242,0.0428
444482,David Peralta,69,0.1852,0.2727272727272727,0.05555555555555555,0.8788,0.0769,0.1667,0.18478260869565216,0.0145,0.31333962264150944,0.2969353634085213,0.5731,Buy low,208,0.3484,0.3093,0.3685096153846154,0.0288,2023,0.1632,0.1426,0.1837,0.0144,0.1122,0.1467
446334,Evan Longoria,60,0.2432,0.37333333333333335,0.1,0.8592,0.1667,0.2182,0.30833333333333335,0.05,0.34199999999999997,0.351719115497076,0.2833,Buy low,118,0.3214,0.2476,0.36483050847457626,0.0678,2023,0.0782,0.0294,0.0565,0.0178,0.0434,0.1238
453568,Charlie Blackmon,117,0.3049,0.2013888888888889,0.07142857142857142,0.8639,0.08,0.2755,0.3551282051282051,0.0171,0.29832530120481926,0.3673128893088243,-0.0266,Neutral,125,0.2766,0.2566,0.3292,0.024,2023,-0.0283,-0.0189,-0.0259,0.0069,0.0122,0.0228
455117,Martín Maldonado,73,0.2,0.24390243902439024,0.02127659574468085,0.878,0.0833,0.1562,0.22739726027397258,0.0137,0.28506521739130436,0.28551480413362174,0.4971,Buy low,199,0.2376,0.1742,0.2492462311557789,0.0352,2023,0.0376,0.0179,0.0218,0.0215,0.0581,0.1288
456781,Donovan Solano,71,0.3725,0.2018348623853211,0.0196078431372549,0.88,0.0,0.2879,0.3330985915492958,0.0,0.381078431372549,0.32777079141515764,-0.3635,Sell high,221,0.3333,0.2541,0.35,0.0181,2023,-0.0392,-0.0338,0.0169,0.0181,-0.0053,0.0932
457705,Andrew Mccutchen,108,0.2571,0.2714285714285714,0.09333333333333334,0.8224,0.2,0.2527,0.35324074074074074,0.0463,0.34197222222222223,0.4077744008056032,0.2101,Buy low,253,0.3333,0.2573,0.35079051383399207,0.0198,2023,0.0762,0.0045,-0.0025,-0.0265,0.0545,0.0892
457759,Justin Turner,127,0.2857,0.23204419889502761,0.03225806451612903,0.8717,0.0645,0.2593,0.35000000000000003,0.0157,0.30170652173913043,0.3641073604302807,0.0694,Slight buy,314,0.318,0.2968,0.37866242038216563,0.0478,2023,0.0323,0.0376,0.0287,0.032,0.0141,0.0424
462101,Elvis Andrus,113,0.253,0.18120805369127516,0.0,0.9078,0.0,0.2039,0.24690265486725663,0.0,0.2741975308641975,0.25356443098897685,0.2328,Buy low,141,0.24,0.2097,0.2787234042553191,0.0142,2023,-0.013,0.0058,0.0318,0.0142,0.0067,0.0703
467793,Carlos Santana,112,0.3205,0.22839506172839505,0.0625,0.821,0.1176,0.2755,0.3540178571428571,0.0179,0.33474683544303796,0.3548837598742443,-0.1054,Slight sell,294,0.2284,0.2171,0.3217687074829932,0.0374,2023,-0.0921,-0.0585,-0.0322,0.0196,0.0009,0.0592
474832,Brandon Belt,65,0.2903,0.16853932584269662,0.0625,0.8077,0.0833,0.1695,0.24153846153846154,0.0154,0.28578125,0.23607061403508772,0.0455,Neutral,219,0.404,0.2611,0.3831050228310502,0.032,2023,0.1137,0.0916,0.1416,0.0166,-0.0055,0.1163
493329,Yuli Gurriel,53,0.325,0.28169014084507044,0.0,0.9464,0.3333,0.3061,0.37264150943396224,0.0377,0.27369047619047615,0.33367924528301884,-0.1383,Sell high,201,0.2812,0.2541,0.30522388059701494,0.005,2023,-0.0438,-0.052,-0.0674,-0.0328,-0.039,-0.0324
