batter,name,apr_PA,apr_BABIP,apr_hard_hit_rate,apr_barrel_rate,apr_z_contact_rate,apr_hr_fb_rate,apr_BA,apr_wOBA,apr_HR_rate,apr_xBA,apr_xwOBA,luck_score,verdict,mj_PA,mj_BABIP,mj_BA,mj_wOBA,mj_HR_rate,year,delta_BABIP,delta_BA,delta_wOBA,delta_HR_rate,xwOBA_gap,xBA_gap,prediction_correct,signal_strength
408234,Miguel Cabrera,56,0.2381,0.2,0.0476190476190476,0.863,0.0,0.1887,0.2491071428571428,0.0,0.2314523809523809,0.2249058441558441,0.3098,Buy low,166,0.3455,0.2746,0.3406626506024096,0.006,2023,0.1074,0.086,0.0916,0.006,-0.0242,0.0428,1.0,Strong buy
444482,David Peralta,69,0.1852,0.2727272727272727,0.0555555555555555,0.8788,0.0769,0.1667,0.1847826086956521,0.0145,0.3133396226415094,0.2969353634085213,0.5731,Buy low,208,0.3484,0.3093,0.3685096153846154,0.0288,2023,0.1632,0.1426,0.1837,0.0144,0.1122,0.1467,1.0,Strong buy
446334,Evan Longoria,60,0.2432,0.3733333333333333,0.1,0.8592,0.1667,0.2182,0.3083333333333333,0.05,0.3419999999999999,0.351719115497076,0.2833,Buy low,118,0.3214,0.2476,0.3648305084745762,0.0678,2023,0.0782,0.0294,0.0565,0.0178,0.0434,0.1238,1.0,Strong buy
453568,Charlie Blackmon,117,0.3049,0.2013888888888889,0.0714285714285714,0.8639,0.08,0.2755,0.3551282051282051,0.0171,0.2983253012048192,0.3673128893088243,-0.0266,Neutral,125,0.2766,0.2566,0.3292,0.024,2023,-0.0283,-0.0189,-0.0259,0.0069,0.0122,0.0228,,Neutral
455117,Martín Maldonado,73,0.2,0.2439024390243902,0.0212765957446808,0.878,0.0833,0.1562,0.2273972602739725,0.0137,0.2850652173913043,0.2855148041336217,0.4971,Buy low,199,0.2376,0.1742,0.2492462311557789,0.0352,2023,0.0376,0.0179,0.0218,0.0215,0.0581,0.1288,1.0,Strong buy
456781,Donovan Solano,71,0.3725,0.2018348623853211,0.0196078431372549,0.88,0.0,0.2879,0.3330985915492958,0.0,0.381078431372549,0.3277707914151576,-0.3635,Sell high,221,0.3333,0.2541,0.35,0.0181,2023,-0.0392,-0.0338,0.0169,0.0181,-0.0053,0.0932,0.0,Strong sell
457705,Andrew Mccutchen,108,0.2571,0.2714285714285714,0.0933333333333333,0.8224,0.2,0.2527,0.3532407407407407,0.0463,0.3419722222222222,0.4077744008056032,0.2101,Buy low,253,0.3333,0.2573,0.350790513833992,0.0198,2023,0.0762,0.0045,-0.0025,-0.0265,0.0545,0.0892,0.0,Strong buy
457759,Justin Turner,127,0.2857,0.2320441988950276,0.032258064516129,0.8717,0.0645,0.2593,0.35,0.0157,0.3017065217391304,0.3641073604302807,0.0694,Slight buy,314,0.318,0.2968,0.3786624203821656,0.0478,2023,0.0323,0.0376,0.0287,0.032,0.0141,0.0424,1.0,Slight buy
462101,Elvis Andrus,113,0.253,0.1812080536912751,0.0,0.9078,0.0,0.2039,0.2469026548672566,0.0,0.2741975308641975,0.2535644309889768,0.2328,Buy low,141,0.24,0.2097,0.2787234042553191,0.0142,2023,-0.013,0.0058,0.0318,0.0142,0.0067,0.0703,1.0,Strong buy
467793,Carlos Santana,112,0.3205,0.228395061728395,0.0625,0.821,0.1176,0.2755,0.3540178571428571,0.0179,0.3347468354430379,0.3548837598742443,-0.1054,Slight sell,294,0.2284,0.2171,0.3217687074829932,0.0374,2023,-0.0921,-0.0585,-0.0322,0.0196,0.0009,0.0592,1.0,Slight sell
