year,batter,name,signal,luck_score,april_woba,april_xwoba,outcome_woba,woba_change,outcome,correct,april_pa,outcome_pa
2022,572233,Christian Walker,BUY_LOW,0.1304,0.2740963855421687,0.3503895250213394,0.34616564417177914,0.07206925862961044,IMPROVED,True,83,326
2022,608385,Jesse Winker,BUY_LOW,0.121,0.2696629213483146,0.3938618129837078,0.3318936877076412,0.06223076635932662,IMPROVED,True,89,301
2022,593160,Whit Merrifield,BUY_LOW,0.1027,0.17202380952380952,0.2888554308390023,0.3120481927710843,0.1400243832472748,IMPROVED,True,84,332
2022,443558,Nelson Cruz,BUY_LOW,0.1015,0.23854166666666665,0.32368771695449117,0.3365051903114187,0.09796352364475203,IMPROVED,True,96,289
2022,663656,Kyle Tucker,BUY_LOW,0.0879,0.3144578313253012,0.41273914922023913,0.34887096774193543,0.03441313641663424,IMPROVED,True,83,310
2022,571970,Max Muncy,BUY_LOW,0.0793,0.2765060240963855,0.33157500483267877,0.2892578125,0.012751788403614461,FLAT,False,83,256
2022,573131,Darin Ruf,BUY_LOW,0.0695,0.23846153846153845,0.3156272084423513,0.36506849315068496,0.1266069546891465,IMPROVED,True,91,219
2022,570731,Jonathan Schoop,BUY_LOW,0.0663,0.1925,0.26591477410661235,0.2680194805194805,0.07551948051948049,IMPROVED,True,80,308
2022,595777,Jurickson Profar,BUY_LOW,0.0618,0.3341176470588235,0.34411238398146327,0.3468181818181818,0.012700534759358284,FLAT,False,85,330
2022,657077,Alex Verdugo,BUY_LOW,0.0613,0.28444444444444444,0.3408014406605618,0.31634615384615383,0.03190170940170939,IMPROVED,True,90,312
2022,641820,Trey Mancini,BUY_LOW,0.0583,0.2726190476190476,0.373601768214805,0.36886792452830186,0.09624887690925427,IMPROVED,True,84,318
2022,663624,Ryan Mountcastle,BUY_LOW,0.0551,0.271875,0.3682943994084271,0.3281786941580756,0.05630369415807562,IMPROVED,True,80,291
2022,608369,Corey Seager,BUY_LOW,0.053,0.30511363636363636,0.3733104360092836,0.3489329268292683,0.04381929046563193,IMPROVED,True,88,328
2022,606466,Ketel Marte,BUY_LOW,0.0529,0.22,0.24704372252426401,0.39825174825174825,0.17825174825174825,IMPROVED,True,90,286
2022,666182,Bo Bichette,BUY_LOW,0.0516,0.24639175257731957,0.30872222812380745,0.3452722063037249,0.09888045372640533,IMPROVED,True,97,349
2022,542303,Marcell Ozuna,BUY_LOW,0.0448,0.3201086956521739,0.3866246727499615,0.2888709677419355,-0.031237727910238433,DECLINED,False,92,310
2022,642708,Amed Rosario,BUY_LOW,0.0433,0.2493827160493827,0.29572041152263373,0.34759036144578315,0.09820764539640045,IMPROVED,True,81,332
2022,543760,Marcus Semien,BUY_LOW,0.0431,0.21451612903225806,0.23591000105688817,0.34551820728291316,0.1310020782506551,IMPROVED,True,93,357
2022,665742,Juan Soto,BUY_LOW,0.0421,0.37254901960784315,0.4118937292040378,0.3944108761329305,0.021861856525087375,IMPROVED,True,102,331
2022,656941,Kyle Schwarber,BUY_LOW,0.0418,0.3076470588235294,0.3164752430409034,0.352991452991453,0.04534439416792363,IMPROVED,True,85,351
2022,663586,Austin Riley,BUY_LOW,0.0409,0.4026881720430108,0.4474080061265656,0.41428571428571426,0.011597542242703485,FLAT,False,93,343
2022,641933,Tyler O'Neill,SLIGHT_BUY,0.0392,0.2524390243902439,0.29665211365734534,0.31404109589041096,0.061602071500167055,IMPROVED,True,82,146
2022,645277,Ozzie Albies,SLIGHT_BUY,0.0389,0.3326530612244898,0.3458371023620283,0.2924242424242424,-0.04022881880024737,DECLINED,False,98,165
2022,665489,Vladimir Guerrero Jr.,SLIGHT_BUY,0.0376,0.3829545454545455,0.4228945402743396,0.3688760806916426,-0.014078464762902865,FLAT,False,88,347
2022,663757,Trent Grisham,SLIGHT_BUY,0.0364,0.24651162790697673,0.2867087988721804,0.295,0.04848837209302326,IMPROVED,True,86,290
2022,605141,Mookie Betts,SLIGHT_BUY,0.0352,0.3386363636363636,0.3313695339458465,0.39601328903654487,0.057376925400181245,IMPROVED,True,88,301
2022,571771,Enrique Hernández,SLIGHT_BUY,0.0346,0.26170212765957446,0.2890943486997636,0.2833333333333333,0.02163120567375887,IMPROVED,True,94,144
2022,666969,Adolis García,SLIGHT_BUY,0.0325,0.29772727272727273,0.3175487780471976,0.3370820668693009,0.03935479414202819,IMPROVED,True,88,329
2022,624585,Jorge Soler,SLIGHT_BUY,0.0292,0.2863636363636364,0.31123163163094697,0.3254587155963303,0.0390950792326939,IMPROVED,True,88,218
2022,656775,Cedric Mullins,SLIGHT_BUY,0.0292,0.2994623655913979,0.3217857811612132,0.3218023255813954,0.022339959989997493,IMPROVED,True,93,344
2022,458015,Joey Votto,SLIGHT_BUY,0.0285,0.22848837209302325,0.2786493023255814,0.3708695652173913,0.14238119312436803,IMPROVED,True,86,230
2022,668804,Bryan Reynolds,SLIGHT_BUY,0.0274,0.29634146341463413,0.31635437328076293,0.3666058394160584,0.07026437600142427,IMPROVED,True,82,274
2022,593871,Jorge Polanco,SLIGHT_BUY,0.0273,0.2852941176470588,0.30063254667120776,0.36018518518518516,0.07489106753812635,IMPROVED,True,85,270
2022,642715,Willy Adames,SLIGHT_BUY,0.0272,0.34684210526315795,0.39135580319727886,0.32666666666666666,-0.02017543859649129,DECLINED,False,95,255
2022,547180,Bryce Harper,SLIGHT_BUY,0.0259,0.34627659574468084,0.38474778085006106,0.4565934065934066,0.11031681084872574,IMPROVED,True,94,182
2022,592450,Aaron Judge,SLIGHT_BUY,0.0232,0.41011904761904766,0.4372725064692056,0.4452380952380952,0.03511904761904755,IMPROVED,True,84,357
2022,592885,Christian Yelich,SLIGHT_BUY,0.023,0.32873563218390806,0.3531793236999168,0.3516272189349112,0.022891586751003168,IMPROVED,True,87,338
2022,665161,Jeremy Peña,SLIGHT_BUY,0.0229,0.3644578313253012,0.363449417088626,0.3349397590361446,-0.029518072289156594,DECLINED,False,83,249
2022,641355,Cody Bellinger,SLIGHT_BUY,0.0213,0.306875,0.3135264739491382,0.2908474576271186,-0.016027542372881398,DECLINED,False,80,295
2022,630105,Jake Cronenworth,SLIGHT_BUY,0.02,0.33298969072164947,0.3408895176538808,0.3321529745042493,-0.0008367162174001685,FLAT,False,97,353
2022,608324,Alex Bregman,NEUTRAL,0.0198,0.3471590909090909,0.3219777484326019,0.3436746987951807,-0.0034843921139102174,FLAT,False,88,332
2022,656555,Rhys Hoskins,NEUTRAL,0.0196,0.29831460674157306,0.32716808069714115,0.37244897959183676,0.0741343728502637,IMPROVED,False,89,343
2022,516782,Starling Marte,NEUTRAL,0.0179,0.2849462365591398,0.29345706397600824,0.4038321167883212,0.1188858802291814,IMPROVED,False,93,274
2022,662139,Daulton Varsho,NEUTRAL,0.0173,0.3298780487804878,0.3429537824905317,0.32482517482517487,-0.005052873955312953,FLAT,False,82,286
2022,543685,Anthony Rendon,NEUTRAL,0.0159,0.3323170731707317,0.3437182458762376,0.3042056074766355,-0.028111465694096227,DECLINED,False,82,107
2022,624428,Adam Frazier,NEUTRAL,0.0101,0.2831521739130435,0.295224663608131,0.2849206349206349,0.0017684610075914264,FLAT,False,92,315
2022,519203,Anthony Rizzo,NEUTRAL,0.0086,0.43586956521739134,0.4071346949725423,0.3435483870967742,-0.09232117812061713,DECLINED,False,92,310
2022,677551,Wander Franco,NEUTRAL,0.0085,0.39425287356321836,0.4025584064086146,0.270625,-0.12362787356321836,DECLINED,False,87,160
2022,666185,Dylan Carlson,NEUTRAL,0.0065,0.23154761904761903,0.2233262142857143,0.35607287449392716,0.12452525544630813,IMPROVED,False,84,247
2022,457705,Andrew McCutchen,NEUTRAL,0.0053,0.29120879120879123,0.3173226416050372,0.33086206896551723,0.039653277756726,IMPROVED,False,91,290
2022,518692,Freddie Freeman,NEUTRAL,0.0032,0.4,0.39394728724892564,0.41717032967032963,0.01717032967032961,IMPROVED,False,89,364
2022,594807,Adam Duvall,NEUTRAL,0.0028,0.25297619047619047,0.28051903590375143,0.30754310344827585,0.05456691297208538,IMPROVED,False,84,232
2022,553993,Eugenio Suárez,NEUTRAL,0.0007,0.3423529411764706,0.352358085206318,0.323132183908046,-0.019220757268424593,DECLINED,False,85,348
2022,453568,Charlie Blackmon,NEUTRAL,-0.0014,0.34397590361445785,0.3244337018383084,0.35358255451713394,0.009606650902676095,FLAT,False,83,321
2022,518626,Josh Donaldson,NEUTRAL,-0.0023,0.3347560975609756,0.3474149311620982,0.30396825396825394,-0.03078784359272163,DECLINED,False,82,252
2022,646240,Rafael Devers,NEUTRAL,-0.0033,0.3409574468085106,0.34939657231001264,0.44755244755244755,0.10659500074393696,IMPROVED,False,94,286
2022,527038,Wilmer Flores,NEUTRAL,-0.0037,0.344375,0.3606109327845765,0.3388135593220339,-0.005561440677966101,FLAT,False,80,295
2022,669221,Sean Murphy,NEUTRAL,-0.0052,0.3136904761904762,0.30261028667677353,0.3271043771043771,0.013413900913900934,FLAT,False,84,297
