batter,name,PA,BABIP,hard_hit_rate,barrel_rate,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,wOBA,xwOBA,luck_score_v4,luck_score_v1,verdict_v4,verdict_v1,pull_fired,chase_fired,zcon_fired,sc_woba,oc_woba,sc_pa,oc_pa,delta_woba,scoring_year,outcome_year
408234,Miguel Cabrera,69,0.36363636363636365,0.22093023255813954,0.03488372093023256,0.7647058823529411,0.0,0.4090909090909091,0.3037037037037037,0.2753623188405797,0.27348850052098134,-0.0934,-0.3168,Slight sell,Sell high,False,False,False,0.275,0.299,433,370,0.024,2022,2023
444482,David Peralta,77,0.23076923076923078,0.27184466019417475,0.02912621359223301,0.8877551020408163,0.11764705882352941,0.4074074074074074,0.3092105263157895,0.2746753246753247,0.3157439227439227,0.1696,0.3427,Buy low,Buy low,False,False,False,0.315,0.29,490,422,-0.025,2022,2023
453568,Charlie Blackmon,83,0.2777777777777778,0.23423423423423423,0.04504504504504504,0.9051724137931034,0.2857142857142857,0.47368421052631576,0.2357142857142857,0.34397590361445785,0.3424526678141136,0.0328,0.1003,Neutral,Slight buy,False,False,False,0.317,0.35,577,413,0.033,2022,2023
455117,Martín Maldonado,52,0.11538461538461539,0.2962962962962963,0.05555555555555555,0.8095238095238095,0.1111111111111111,0.3333333333333333,0.19834710743801653,0.20865384615384613,0.29931221153846155,0.2048,0.9221,Buy low,Buy low,False,False,False,0.264,0.266,379,407,0.002,2022,2023
457705,Andrew Mccutchen,91,0.2833333333333333,0.2608695652173913,0.05217391304347826,0.8629032258064516,0.10526315789473684,0.2903225806451613,0.24864864864864866,0.29120879120879123,0.3427890407059363,0.0942,0.081,Slight buy,Slight buy,False,False,False,0.309,0.345,580,473,0.036,2022,2023
457759,Justin Turner,78,0.22807017543859648,0.18487394957983194,0.025210084033613446,0.8738738738738738,0.05263157894736842,0.3620689655172414,0.2948717948717949,0.23397435897435898,0.29124393667230203,0.1969,0.3566,Buy low,Buy low,False,False,False,0.343,0.346,532,626,0.003,2022,2023
462101,Elvis Andrus,77,0.24528301886792453,0.2,0.031578947368421054,0.8518518518518519,0.07692307692307693,0.3148148148148148,0.29878048780487804,0.2941558441558441,0.33733121845216707,0.1466,0.2704,Buy low,Buy low,False,False,False,0.31,0.29,577,406,-0.02,2022,2023
467793,Carlos Santana,69,0.1276595744680851,0.26436781609195403,0.04597701149425287,0.8764044943820225,0.0625,0.4583333333333333,0.16911764705882354,0.25,0.35394603218842347,0.3529,0.8609,Buy low,Buy low,False,False,False,0.308,0.323,506,619,0.015,2022,2023
500743,Miguel Rojas,60,0.18,0.13953488372093023,0.023255813953488372,0.9512195121951219,0.07142857142857142,0.29411764705882354,0.30851063829787234,0.23083333333333333,0.26562304843304846,0.173,0.5943,Buy low,Buy low,False,False,False,0.268,0.271,507,423,0.003,2022,2023
502054,Tommy Pham,77,0.2553191489361702,0.313953488372093,0.046511627906976744,0.8645833333333334,0.2727272727272727,0.32,0.2,0.3181818181818182,0.35766490695451736,0.104,0.2155,Slight buy,Buy low,False,False,False,0.304,0.332,622,481,0.028,2022,2023
502110,J. d. Martinez,61,0.3684210526315789,0.1978021978021978,0.04395604395604396,0.8275862068965517,0.07692307692307693,0.3157894736842105,0.3629032258064516,0.36885245901639346,0.3223063106114603,-0.1199,-0.3447,Slight sell,Sell high,False,True,False,0.343,0.369,596,479,0.026,2022,2023
502671,Paul Goldschmidt,88,0.3442622950819672,0.3025210084033613,0.04201680672268908,0.8365384615384616,0.05263157894736842,0.3548387096774194,0.3670212765957447,0.3431818181818182,0.32465670465994517,-0.1293,-0.2205,Sell high,Sell high,False,True,False,0.419,0.35,651,687,-0.069,2022,2023
514888,José Altuve,41,0.2,0.1276595744680851,0.02127659574468085,0.8717948717948718,0.16666666666666666,0.46153846153846156,0.2857142857142857,0.2658536585365854,0.2814634146341463,0.0491,0.4909,Neutral,Buy low,False,False,False,0.397,0.393,604,410,-0.004,2022,2023
516782,Starling Marte,93,0.2463768115942029,0.17829457364341086,0.031007751937984496,0.8907563025210085,0.125,0.352112676056338,0.3,0.2849462365591398,0.2961954290450083,0.1573,0.262,Buy low,Buy low,False,False,False,0.355,0.278,505,341,-0.077,2022,2023
518692,Freddie Freeman,89,0.3225806451612903,0.21487603305785125,0.0743801652892562,0.8976377952755905,0.13043478260869565,0.2923076923076923,0.23270440251572327,0.4,0.4156676475267067,-0.0339,-0.117,Neutral,Slight sell,False,False,True,0.393,0.411,708,730,0.018,2022,2023
