name,proj_ip
Jesús Luzardo,133.6
Joe Ryan,129.5
Michael Lorenzen,140.3
Yusei Kikuchi,136.2
Cristopher Sánchez,134.3
David Peterson,127.2
Cade Cavalli,110.8
Tarik Skubal,149.3
Dylan Cease,143.8
Dustin May,66.1
Braxton Ashcraft,36.5
Carmen Mlodzinski,59.7
Kyle Bradish,18.0
Aaron Ashby,43.5
Chris Paddack,135.4
Logan Gilbert,151.2
Shane Baz,128.4
Luis Castillo,142.5
Cam Schlittler,7.6
Will Warren,115.7
Aaron Nola,145.1
Ben Brown,125.6
Kodai Senga,136.1
Bryan Woo,119.6
Sean Manaea,131.7
Keider Montero,41.4
Trevor Rogers,19.4
Mike Burrows,23.0
Reid Detmers,129.8
Taijuan Walker,61.4
Javier Assad,125.2
Miles Mikolas,133.9
Zack Littell,123.9
Simeon Woods richardson,111.0
Bailey Ober,135.3
Adrian Houser,13.8
Logan Webb,153.0
Max Scherzer,114.7
Kevin Gausman,147.0
Garrett Crochet,131.5
Brandon Woodruff,130.6
Ryan Weiss,0.8
Andrew Abbott,108.1
Jack Leiter,125.1
Shane Mcclanahan,128.5
Walker Buehler,127.0
Slade Cecconi,39.0
Andrew Painter,96.2
Brayan Bello,126.1
Ryne Nelson,132.6
Janson Junk,24.8
Seth Lugo,147.2
Jake Irvin,133.6
Mick Abel,14.8
Max Meyer,126.2
Brady Singer,134.8
Nathan Eovaldi,139.2
Tyler Mahle,118.8
Michael Soroka,136.1
Lance Mccullers,123.6
Chris Bassitt,138.4
Reynaldo López,138.3
Eury Pérez,91.1
Ryan Feltner,132.9
Noah Cameron,37.1
Cole Ragans,141.2
Edward Cabrera,115.1
Jameson Taillon,132.7
Tim Herrin,50.9
Raisel Iglesias,55.8
Paul Sewald,48.4
Griffin Jax,57.5
Bryan Baker,42.7
Brad Keller,46.8
Lucas Erceg,55.0
Victor Vodnik,53.4
Bryan King,50.9
Luke Weaver,55.8
Valente Bellozo,57.0
Fernando Cruz,50.1
Matt Strahm,54.2
Calvin Faucher,51.7
Keaton Winn,45.0
Jason Adam,55.0
Shane Smith,124.7
Hunter Bigge,45.2
Jordan Romano,48.4
Enmanuel De jesus,0.8
Devin Williams,51.7
Bryan Abreu,59.1
Robert Garcia,52.5
Mitchell Parker,128.7
Jake Bird,50.1
Aroldis Chapman,51.7
Riley Martin,0.8
Cody Bolton,28.7
Tyler Samaniego,0.8
Kolby Allard,18.1
Brooks Raley,16.4
Taylor Rogers,50.9
Aaron Bummer,50.1
John Schreiber,50.9
