name,mlbam_id,april_pa,ros_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,model_hr,model_r,model_rbi,model_avg,model_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,hr_err,signal,signal_norm,signal_hr,signal_avg,signal_woba
Aaron Judge,592450,140,319,53.0,137.0,114.0,0.331,0.43369905956112853,28.799999999999997,85.2,80.39999999999999,0.32,0.46473,39.6,104.39999999999999,99.6,0.4,0.535357142857143,28.799999999999997,86.39999999999999,81.6,0.34,0.42667857142857146,-24.200000000000003,Sell high,sell high,28.799999999999997,0.32,0.4275516
Shohei Ohtani,660271,125,359,55.0,146.0,102.0,0.282,0.4076601671309193,24.0,79.2,72.0,0.302,0.40899,26.4,75.6,68.39999999999999,0.28,0.3924,22.8,69.6,63.599999999999994,0.264,0.3552,-31.0,Slight buy,slight buy,24.48,0.302,0.42534960000000005
Juan Soto,665742,137,333,43.0,120.0,105.0,0.263,0.4004504504504504,15.6,68.39999999999999,58.8,0.27,0.37283,12.0,61.199999999999996,48.0,0.245,0.3521897810218978,14.399999999999999,62.4,52.8,0.247,0.3350948905109489,-27.4,Buy low,buy low,16.38,0.27,0.4026564
Cal Raleigh,663728,135,338,60.0,110.0,125.0,0.247,0.41153846153846163,22.8,64.8,60.0,0.234,0.34259,40.8,76.8,75.6,0.235,0.3844444444444444,30.0,70.8,67.2,0.241,0.3512222222222222,-37.2,Neutral,neutral,22.8,0.234,0.34259
Kyle Schwarber,656941,134,349,56.0,111.0,132.0,0.24,0.40257879656160456,19.2,64.8,56.4,0.238,0.37585,37.199999999999996,79.2,72.0,0.248,0.4044776119402984,27.599999999999998,70.8,64.8,0.248,0.36123880597014923,-36.8,Neutral,neutral,19.2,0.238,0.37585
Geraldo Perdomo,672695,135,344,20.0,98.0,100.0,0.29,0.3545058139534884,12.0,60.0,50.4,0.241,0.31363,15.6,67.2,55.199999999999996,0.269,0.3559259259259259,16.8,64.8,56.4,0.259,0.33696296296296296,-8.0,Neutral,neutral,12.0,0.241,0.31363
Francisco Lindor,596019,137,348,31.0,117.0,86.0,0.267,0.2989942528735632,15.6,66.0,60.0,0.269,0.35269,24.0,78.0,75.6,0.311,0.3886861313868613,21.599999999999998,70.8,67.2,0.279,0.35334306569343066,-15.4,Slight sell,slight sell,15.6,0.269,0.3385824
Corbin Carroll,682998,142,272,31.0,107.0,84.0,0.259,0.34577205882352946,21.599999999999998,69.6,66.0,0.269,0.36989,34.8,80.39999999999999,81.6,0.289,0.41056338028169015,26.4,72.0,69.6,0.269,0.3642816901408451,-9.400000000000002,Neutral,neutral,21.599999999999998,0.269,0.36989
Pete Alonso,624413,137,333,38.0,87.0,126.0,0.272,0.31636636636636634,24.0,72.0,66.0,0.267,0.40326,28.799999999999997,87.6,79.2,0.343,0.4733576642335767,22.8,75.6,68.39999999999999,0.295,0.39567883211678834,-14.0,Sell high,sell high,24.0,0.267,0.37099920000000003
Fernando Tatis Jr.,665487,127,344,25.0,111.0,71.0,0.268,0.3376453488372093,24.0,73.2,69.6,0.279,0.37981,34.8,93.6,91.2,0.358,0.4570866141732284,26.4,79.2,74.39999999999999,0.303,0.3875433070866142,-1.0,Sell high,sell high,24.0,0.279,0.3494252
George Springer,543807,102,306,32.0,106.0,84.0,0.309,0.39133986928104575,18.0,66.0,58.8,0.254,0.33377,10.799999999999999,69.6,56.4,0.306,0.3887254901960785,14.399999999999999,67.2,57.599999999999994,0.277,0.3533627450980392,-14.0,Sell high,sell high,18.0,0.254,0.3070684
Rafael Devers,646240,149,350,35.0,99.0,109.0,0.252,0.36885714285714294,24.0,75.6,69.6,0.285,0.37407,18.0,62.4,51.6,0.229,0.348993288590604,18.0,62.4,55.199999999999996,0.238,0.333496644295302,-11.0,Buy low,buy low,25.200000000000003,0.285,0.40399560000000007
Junior Caminero,691406,120,320,45.0,93.0,110.0,0.264,0.34968750000000004,18.0,63.599999999999994,60.0,0.248,0.31378,27.599999999999998,70.8,70.8,0.264,0.3625,22.8,67.2,64.8,0.256,0.34025,-27.0,Neutral,neutral,18.0,0.248,0.31378
Elly De La Cruz,682829,135,340,22.0,102.0,86.0,0.264,0.3789705882352941,18.0,64.8,58.8,0.252,0.32992,20.4,70.8,66.0,0.281,0.3474074074074074,19.2,66.0,61.199999999999996,0.264,0.3327037037037037,-4.0,Sell high,sell high,18.0,0.252,0.30352640000000003
Cody Bellinger,641355,115,313,29.0,89.0,98.0,0.272,0.39424920127795526,14.399999999999999,63.599999999999994,55.199999999999996,0.255,0.30566,14.399999999999999,52.8,45.6,0.204,0.2843478260869565,15.6,57.599999999999994,51.6,0.226,0.3011739130434783,-14.600000000000001,Buy low,buy low,15.12,0.255,0.3301128
Vladimir Guerrero Jr.,665489,130,348,23.0,96.0,84.0,0.292,0.4020114942528736,20.4,74.39999999999999,67.2,0.292,0.3726,12.0,63.599999999999994,54.0,0.268,0.3523076923076923,15.6,63.599999999999994,56.4,0.258,0.33515384615384614,-2.6000000000000014,Buy low,buy low,21.419999999999998,0.292,0.402408
Matt Olson,621566,131,352,29.0,98.0,95.0,0.272,0.3626420454545455,21.599999999999998,70.8,63.599999999999994,0.268,0.38045,16.8,62.4,50.4,0.234,0.3469465648854962,16.8,62.4,54.0,0.241,0.3324732824427481,-7.400000000000002,Buy low,buy low,22.68,0.268,0.41088600000000003
Pete Crow-Armstrong,691718,123,317,31.0,91.0,95.0,0.247,0.3725552050473186,19.2,61.199999999999996,57.599999999999994,0.234,0.307,26.4,75.6,75.6,0.292,0.38536585365853665,22.8,69.6,67.2,0.27,0.3516829268292683,-11.8,Slight sell,slight sell,19.2,0.234,0.29472
Josh Naylor,647304,125,298,20.0,81.0,92.0,0.295,0.3333892617449664,14.399999999999999,66.0,58.8,0.27,0.3452,18.0,76.8,68.39999999999999,0.321,0.39280000000000004,18.0,69.6,63.599999999999994,0.285,0.35540000000000005,-5.600000000000001,Slight sell,slight sell,14.399999999999999,0.27,0.331392
Trea Turner,607208,126,355,15.0,94.0,69.0,0.304,0.35774647887323946,12.0,64.8,57.599999999999994,0.276,0.31873,3.5999999999999996,60.0,49.199999999999996,0.284,0.33452380952380956,10.799999999999999,61.199999999999996,52.8,0.266,0.32626190476190475,-3.0,Neutral,neutral,12.0,0.276,0.31873
Kyle Tucker,663656,136,327,22.0,91.0,73.0,0.266,0.37782874617737006,21.599999999999998,73.2,67.2,0.284,0.38653,28.799999999999997,79.2,72.0,0.289,0.4113970588235294,22.8,70.8,64.8,0.269,0.3646985294117647,-0.40000000000000213,Neutral,neutral,21.599999999999998,0.284,0.38653
Manny Machado,592518,122,346,27.0,91.0,95.0,0.275,0.3958092485549133,19.2,70.8,66.0,0.283,0.3641,8.4,62.4,54.0,0.279,0.3303278688524591,13.2,62.4,55.199999999999996,0.264,0.32416393442622954,-7.800000000000001,Slight buy,slight buy,19.584,0.283,0.378664
Vinnie Pasquantino,686469,125,331,32.0,72.0,113.0,0.264,0.3773413897280967,14.399999999999999,63.599999999999994,57.599999999999994,0.258,0.30668,18.0,49.199999999999996,46.8,0.179,0.25160000000000005,18.0,56.4,52.8,0.213,0.28480000000000005,-17.6,Buy low,buy low,15.12,0.258,0.3312144
Brent Rooker,667670,134,347,30.0,92.0,89.0,0.262,0.3770893371757925,20.4,69.6,66.0,0.273,0.36969,33.6,74.39999999999999,75.6,0.258,0.35111940298507466,25.2,68.39999999999999,66.0,0.253,0.33455970149253733,-9.600000000000001,Slight buy,slight buy,20.808,0.273,0.38447760000000003
Randy Arozarena,668227,131,340,27.0,95.0,76.0,0.238,0.3663235294117647,14.399999999999999,63.599999999999994,54.0,0.252,0.34246,20.4,60.0,50.4,0.208,0.3427480916030535,19.2,61.199999999999996,54.0,0.228,0.33037404580152674,-12.600000000000001,Neutral,neutral,14.399999999999999,0.252,0.34246
Maikel Garcia,672580,116,326,16.0,81.0,74.0,0.286,0.36748466257668716,10.799999999999999,60.0,52.8,0.254,0.30805,9.6,63.599999999999994,55.199999999999996,0.282,0.328448275862069,13.2,62.4,55.199999999999996,0.265,0.3232241379310345,-5.200000000000001,Neutral,neutral,10.799999999999999,0.254,0.30805
Jarren Duran,680776,149,338,16.0,86.0,84.0,0.256,0.3649408284023669,15.6,67.2,61.199999999999996,0.274,0.33395,7.199999999999999,61.199999999999996,54.0,0.281,0.3395973154362416,12.0,61.199999999999996,55.199999999999996,0.265,0.3287986577181208,-0.40000000000000036,Neutral,neutral,15.6,0.274,0.33395
Byron Buxton,621439,117,247,35.0,97.0,83.0,0.264,0.42105263157894735,19.2,62.4,58.8,0.239,0.32863,28.799999999999997,66.0,69.6,0.239,0.3162393162393162,22.8,64.8,62.4,0.243,0.31711965811965814,-15.8,Neutral,neutral,19.2,0.239,0.32863
James Wood,695578,136,334,31.0,87.0,94.0,0.256,0.36347305389221557,21.599999999999998,72.0,64.8,0.274,0.36431,37.199999999999996,78.0,74.39999999999999,0.252,0.3922794117647059,27.599999999999998,70.8,66.0,0.25,0.35513970588235294,-9.400000000000002,Neutral,neutral,21.599999999999998,0.274,0.36431
Brice Turang,668930,134,307,18.0,97.0,81.0,0.288,0.30390879478827365,14.399999999999999,61.199999999999996,55.199999999999996,0.245,0.3085,12.0,73.2,66.0,0.328,0.3761194029850746,15.6,68.39999999999999,62.4,0.288,0.3470597014925373,-3.6000000000000014,Sell high,sell high,14.399999999999999,0.245,0.28382
Trevor Story,596115,132,303,25.0,91.0,96.0,0.263,0.3094059405940594,15.6,58.8,55.199999999999996,0.235,0.30695,20.4,64.8,63.599999999999994,0.26,0.30757575757575756,19.2,63.599999999999994,61.199999999999996,0.254,0.3127878787878788,-9.4,Slight sell,slight sell,15.6,0.235,0.294672
Christian Yelich,592885,130,304,29.0,88.0,103.0,0.264,0.3504934210526316,12.0,64.8,55.199999999999996,0.271,0.33618,21.599999999999998,62.4,55.199999999999996,0.222,0.32346153846153847,19.2,62.4,56.4,0.235,0.32073076923076926,-17.0,Buy low,buy low,12.600000000000001,0.271,0.3630744
Freddie Freeman,518692,81,326,24.0,81.0,90.0,0.295,0.35337423312883437,20.4,79.2,73.2,0.32,0.40753,34.8,87.6,84.0,0.319,0.4450617283950617,25.2,74.39999999999999,69.6,0.28,0.38153086419753085,-3.6000000000000014,Slight sell,slight sell,20.4,0.32,0.3912288
Gunnar Henderson,683002,97,332,17.0,85.0,68.0,0.274,0.38358433734939756,16.8,66.0,61.199999999999996,0.265,0.34399,16.8,57.599999999999994,55.199999999999996,0.228,0.2907216494845361,18.0,60.0,56.4,0.238,0.30436082474226805,-0.1999999999999993,Buy low,buy low,17.64,0.265,0.37150920000000004
Taylor Ward,621493,119,345,36.0,86.0,103.0,0.228,0.36536231884057974,18.0,64.8,60.0,0.256,0.31949,27.599999999999998,57.599999999999994,58.8,0.191,0.2798319327731093,22.8,60.0,58.8,0.219,0.29891596638655465,-18.0,Buy low,buy low,18.900000000000002,0.256,0.3450492
Mookie Betts,605141,125,311,20.0,95.0,82.0,0.258,0.2990353697749196,12.0,67.2,57.599999999999994,0.282,0.354,18.0,63.599999999999994,56.4,0.25,0.3276,18.0,63.599999999999994,57.599999999999994,0.249,0.3228,-8.0,Buy low,buy low,12.600000000000001,0.282,0.38232
Nico Hoerner,663538,115,315,7.0,89.0,61.0,0.297,0.33031746031746034,8.4,61.199999999999996,54.0,0.271,0.30512,0.0,61.199999999999996,50.4,0.304,0.33608695652173914,8.4,61.199999999999996,54.0,0.276,0.32704347826086955,1.4000000000000004,Neutral,neutral,8.4,0.271,0.30512
Bo Bichette,666182,138,348,18.0,78.0,94.0,0.311,0.35790229885057473,14.399999999999999,67.2,62.4,0.283,0.34024,0.0,58.8,50.4,0.297,0.3105072463768116,8.4,60.0,54.0,0.272,0.3142536231884058,-3.6000000000000014,Buy low,buy low,15.12,0.283,0.3674592
C.J. Abrams,682928,77,343,19.0,92.0,60.0,0.257,0.35583090379008747,16.8,63.599999999999994,58.8,0.249,0.31726,28.799999999999997,74.39999999999999,76.8,0.282,0.3616883116883117,22.8,68.39999999999999,66.0,0.263,0.33984415584415584,-2.1999999999999993,neutral,neutral,16.8,0.249,0.31726
Seiya Suzuki,673548,112,337,32.0,75.0,103.0,0.245,0.3387240356083086,21.599999999999998,73.2,68.39999999999999,0.284,0.36677,34.8,85.2,84.0,0.313,0.4258928571428572,26.4,74.39999999999999,70.8,0.281,0.37194642857142857,-10.400000000000002,Sell high,sell high,21.599999999999998,0.284,0.3374284
Michael Busch,683737,107,276,34.0,78.0,90.0,0.261,0.38405797101449274,15.6,62.4,55.199999999999996,0.245,0.3348,25.2,75.6,70.8,0.293,0.40794392523364487,21.599999999999998,69.6,64.8,0.271,0.3629719626168224,-18.4,Sell high,sell high,15.6,0.245,0.308016
Willy Adames,642715,137,323,30.0,94.0,87.0,0.225,0.3524767801857585,14.399999999999999,60.0,52.8,0.235,0.31227,7.199999999999999,49.199999999999996,39.6,0.208,0.2762773722627737,13.2,56.4,49.199999999999996,0.228,0.29713868613138683,-15.600000000000001,Slight buy,slight buy,14.687999999999999,0.235,0.3247608
Ketel Marte,606466,32,304,28.0,87.0,72.0,0.283,0.39917763157894737,15.6,67.2,60.0,0.274,0.36544,0.0,70.8,50.4,0.346,0.4171875,13.2,64.8,55.199999999999996,0.272,0.36759375,-12.4,neutral,neutral,15.6,0.274,0.36544
Riley Greene,682985,126,322,36.0,84.0,111.0,0.258,0.3804347826086957,16.8,64.8,60.0,0.261,0.3157,26.4,69.6,69.6,0.261,0.32420634920634916,21.599999999999998,66.0,63.599999999999994,0.254,0.3211031746031746,-19.2,Neutral,neutral,16.8,0.261,0.3157
Brandon Nimmo,607043,120,317,25.0,81.0,92.0,0.262,0.3616719242902208,19.2,66.0,62.4,0.257,0.33357,27.599999999999998,62.4,62.4,0.216,0.28500000000000003,22.8,62.4,60.0,0.232,0.3015,-5.800000000000001,Buy low,buy low,20.16,0.257,0.3602556
Tyler Soderstrom,691016,129,314,25.0,75.0,93.0,0.276,0.3192675159235669,20.4,61.199999999999996,57.599999999999994,0.224,0.33323,38.4,82.8,84.0,0.284,0.3856589147286822,28.799999999999997,73.2,70.8,0.266,0.3518294573643411,-4.600000000000001,Slight sell,slight sell,20.4,0.224,0.31990080000000004
Steven Kwan,680757,130,326,11.0,81.0,56.0,0.272,0.3225460122699387,10.799999999999999,64.8,57.599999999999994,0.281,0.33036,16.8,75.6,70.8,0.325,0.36730769230769234,16.8,68.39999999999999,63.599999999999994,0.286,0.3426538461538462,-0.20000000000000107,Neutral,neutral,10.799999999999999,0.281,0.33036
Jose Altuve,514888,127,320,26.0,80.0,77.0,0.265,0.36687499999999995,14.399999999999999,68.39999999999999,62.4,0.285,0.32367,16.8,67.2,62.4,0.276,0.3240157480314961,18.0,64.8,60.0,0.262,0.32100787401574804,-11.600000000000001,Neutral,neutral,14.399999999999999,0.285,0.32367
