type,metric,signal_tier,n,n_direction,model_mae,signal_mae,mae_delta,pct_direction_correct,avg_delta_actual,signal_adj_multiplier,note
hitter,wOBA,buy low,44,44,0.0335,0.0303,-0.0032,0.886,0.0581,1.08,
hitter,wOBA,slight buy,8,8,0.0269,0.0259,-0.001,0.875,0.039,1.04,
hitter,wOBA,neutral,108,67,0.0359,0.0359,0.0,0.448,-0.0079,1.0,
hitter,wOBA,slight sell,15,15,0.0375,0.0362,-0.0013,0.2,-0.0509,0.96,
hitter,wOBA,sell high,25,25,0.035,0.0348,-0.0002,0.12,-0.0613,0.92,
hitter,HR,buy low,49,,6.2857,6.0906,-0.1951,,,1.05,
hitter,HR,slight buy,8,,9.85,9.637,-0.213,,,1.02,
hitter,HR,neutral,135,,6.116,6.116,0.0,,,1.0,
hitter,HR,slight sell,16,,5.775,5.775,0.0,,,1.0,sell-side removed (v2)
hitter,HR,sell high,27,,6.5185,6.5185,0.0,,,1.0,sell-side removed (v2)
pitcher,ERA,buy low,7,7,0.4657,0.4657,0.0,1.0,-1.08,1.0,ERA adj removed (v2)
pitcher,ERA,slight buy,2,2,0.59,0.59,0.0,0.5,-0.28,1.0,
pitcher,ERA,neutral,136,61,0.9008,0.9008,0.0,0.525,-0.2667,1.0,
pitcher,ERA,slight sell,11,11,0.88,0.88,0.0,0.182,1.4164,1.0,
pitcher,ERA,sell high,9,9,0.9967,0.9162,-0.0805,0.0,1.8767,1.1,
