player_name,mlbam_id,year,signal,luck_score,woba_actual,xwoba_actual,predicted_direction,actual_woba_change,correct
Nelson Cruz,443558,2022,Buy Low,0.1015,0.2385,0.3237,IMPROVED,0.098,True
Joey Votto,458015,2022,Slight Buy,0.0285,0.2285,0.2786,IMPROVED,0.1424,True
Eduardo Escobar,500871,2022,Slight Sell,-0.0499,0.3538,0.3064,DECLINED,-0.0799,True
Paul Goldschmidt,502671,2022,Slight Sell,-0.044,0.3432,0.3085,DECLINED,0.1226,False
Marcell Ozuna,542303,2022,Buy Low,0.0448,0.3201,0.3866,IMPROVED,-0.0312,False
Eric Hosmer,543333,2022,Sell High,-0.1092,0.4519,0.3576,DECLINED,-0.1539,True
Marcus Semien,543760,2022,Buy Low,0.0431,0.2145,0.2359,IMPROVED,0.131,True
George Springer,543807,2022,Slight Sell,-0.0419,0.405,0.3468,DECLINED,-0.0652,True
Bryce Harper,547180,2022,Slight Buy,0.0259,0.3463,0.3847,IMPROVED,0.1103,True
Jonathan Schoop,570731,2022,Buy Low,0.0663,0.1925,0.2659,IMPROVED,0.0755,True
Nolan Arenado,571448,2022,Sell High,-0.1024,0.4722,0.3601,DECLINED,-0.1188,True
Enrique Hernández,571771,2022,Slight Buy,0.0346,0.2617,0.2891,IMPROVED,0.0216,True
Christian Walker,572233,2022,Buy Low,0.1304,0.2741,0.3504,IMPROVED,0.0721,True
Darin Ruf,573131,2022,Buy Low,0.0711,0.2385,0.3156,IMPROVED,0.1266,True
Nick Castellanos,592206,2022,Slight Sell,-0.0431,0.3797,0.3675,DECLINED,-0.0954,True
Aaron Judge,592450,2022,Slight Buy,0.0232,0.4101,0.4373,IMPROVED,0.0351,True
Manny Machado,592518,2022,Sell High,-0.1001,0.4626,0.3711,DECLINED,-0.0984,True
Christian Yelich,592885,2022,Slight Buy,0.023,0.3287,0.3532,IMPROVED,0.0229,True
Whit Merrifield,593160,2022,Buy Low,0.104,0.172,0.2889,IMPROVED,0.14,True
Xander Bogaerts,593428,2022,Sell High,-0.0997,0.4041,0.3435,DECLINED,-0.0339,True
Jorge Polanco,593871,2022,Slight Buy,0.0273,0.2853,0.3006,IMPROVED,0.0749,True
Josh Bell,605137,2022,Sell High,-0.0758,0.4393,0.384,DECLINED,-0.0658,True
Mookie Betts,605141,2022,Slight Buy,0.0352,0.3386,0.3314,IMPROVED,0.0574,True
Ketel Marte,606466,2022,Buy Low,0.0529,0.22,0.247,IMPROVED,0.1783,True
Corey Seager,608369,2022,Buy Low,0.053,0.3051,0.3733,IMPROVED,0.0438,True
Jesse Winker,608385,2022,Buy Low,0.121,0.2697,0.3939,IMPROVED,0.0622,True
Jorge Soler,624585,2022,Slight Buy,0.0292,0.2864,0.3112,IMPROVED,0.0391,True
Cody Bellinger,641355,2022,Slight Buy,0.0213,0.3069,0.3135,IMPROVED,-0.016,False
J. P. Crawford,641487,2022,Sell High,-0.0693,0.4399,0.3778,DECLINED,-0.1491,True
Trey Mancini,641820,2022,Buy Low,0.0583,0.2726,0.3736,IMPROVED,0.0962,True
Ryan Mcmahon,641857,2022,Slight Sell,-0.0576,0.3765,0.3641,DECLINED,-0.0728,True
Tyler O'Neill,641933,2022,Slight Buy,0.0392,0.2524,0.2967,IMPROVED,0.0616,True
