player_name,mlbam_id,year,signal,luck_score,woba_actual,xwoba_actual,predicted_direction,actual_woba_change,outcome,in_eval,correct
ID_443558,443558,2022,Buy low,0.3993,0.2385,0.3237,IMPROVED,0.098,IMPROVED,True,True
ID_453568,453568,2022,Buy low,0.1628,0.344,0.3244,IMPROVED,0.0096,FLAT,False,
ID_457705,457705,2022,Neutral,0.059,0.2912,0.3173,,0.0397,IMPROVED,False,
ID_458015,458015,2022,Buy low,0.3212,0.2285,0.2786,IMPROVED,0.1424,IMPROVED,True,True
ID_500871,500871,2022,Sell high,-0.3874,0.3538,0.3064,DECLINED,-0.0799,DECLINED,True,True
ID_502671,502671,2022,Slight sell,-0.0937,0.3432,0.3085,DECLINED,0.1226,IMPROVED,True,False
ID_514917,514917,2022,Slight sell,-0.092,0.2971,0.2829,DECLINED,-0.0155,DECLINED,True,True
ID_516782,516782,2022,Buy low,0.1909,0.2849,0.2935,IMPROVED,0.1189,IMPROVED,True,True
ID_518626,518626,2022,Neutral,-0.0142,0.3348,0.3474,,-0.0308,DECLINED,False,
ID_518692,518692,2022,Neutral,0.0217,0.4,0.3939,,0.0172,IMPROVED,False,
ID_518934,518934,2022,Slight sell,-0.11,0.3909,0.3863,DECLINED,-0.0159,DECLINED,True,True
ID_519203,519203,2022,Sell high,-0.1534,0.4359,0.4071,DECLINED,-0.0923,DECLINED,True,True
ID_519317,519317,2022,Neutral,-0.0336,0.3102,0.3555,,0.0534,IMPROVED,False,
ID_527038,527038,2022,Slight sell,-0.136,0.3444,0.3606,DECLINED,-0.0056,FLAT,False,
ID_542303,542303,2022,Buy low,0.3334,0.3201,0.3866,IMPROVED,-0.0312,DECLINED,True,False
ID_542583,542583,2022,Neutral,-0.049,0.2976,0.2959,,0.0111,FLAT,False,
ID_543063,543063,2022,Slight sell,-0.1345,0.306,0.286,DECLINED,-0.0161,DECLINED,True,True
ID_543068,543068,2022,Neutral,0.0391,0.3994,0.3761,,-0.0406,DECLINED,False,
ID_543333,543333,2022,Sell high,-0.697,0.4519,0.3576,DECLINED,-0.1539,DECLINED,True,True
ID_543685,543685,2022,Neutral,0.0479,0.3323,0.3437,,-0.0281,DECLINED,False,
ID_543760,543760,2022,Buy low,0.6529,0.2145,0.2359,IMPROVED,0.131,IMPROVED,True,True
ID_543807,543807,2022,Neutral,-0.0194,0.405,0.3468,,-0.0652,DECLINED,False,
ID_547180,547180,2022,Buy low,0.2671,0.3463,0.3847,IMPROVED,0.1103,IMPROVED,True,True
ID_553993,553993,2022,Neutral,0.0272,0.3424,0.3524,,-0.0192,DECLINED,False,
ID_570731,570731,2022,Buy low,0.3714,0.1925,0.2659,IMPROVED,0.0755,IMPROVED,True,True
ID_571448,571448,2022,Sell high,-0.4354,0.4722,0.3601,DECLINED,-0.1188,DECLINED,True,True
ID_571657,571657,2022,Neutral,0.0089,0.3116,0.3025,,0.0092,FLAT,False,
ID_571771,571771,2022,Buy low,0.1605,0.2617,0.2891,IMPROVED,0.0216,IMPROVED,True,True
ID_571970,571970,2022,Buy low,0.5374,0.2765,0.3316,IMPROVED,0.0128,FLAT,False,
ID_572233,572233,2022,Buy low,0.6591,0.2741,0.3504,IMPROVED,0.0721,IMPROVED,True,True
ID_573131,573131,2022,Buy low,0.3518,0.2385,0.3156,IMPROVED,0.1266,IMPROVED,True,True
ID_592206,592206,2022,Sell high,-0.2008,0.3797,0.3675,DECLINED,-0.0954,DECLINED,True,True
ID_592450,592450,2022,Buy low,0.2544,0.4101,0.4373,IMPROVED,0.0351,IMPROVED,True,True
ID_592518,592518,2022,Sell high,-0.6101,0.4626,0.3711,DECLINED,-0.0984,DECLINED,True,True
ID_592663,592663,2022,Slight sell,-0.1254,0.3427,0.3074,DECLINED,0.002,FLAT,False,
ID_592669,592669,2022,Neutral,-0.0032,0.335,0.2987,,0.019,IMPROVED,False,
ID_592885,592885,2022,Buy low,0.1928,0.3287,0.3532,IMPROVED,0.0229,IMPROVED,True,True
ID_593160,593160,2022,Buy low,0.535,0.172,0.2889,IMPROVED,0.14,IMPROVED,True,True
ID_593428,593428,2022,Sell high,-0.5643,0.4041,0.3435,DECLINED,-0.0339,DECLINED,True,True
ID_593871,593871,2022,Buy low,0.2647,0.2853,0.3006,IMPROVED,0.0749,IMPROVED,True,True
ID_594807,594807,2022,Neutral,-0.0066,0.253,0.2805,,0.0546,IMPROVED,False,
ID_595777,595777,2022,Buy low,0.3286,0.3341,0.3441,IMPROVED,0.0127,FLAT,False,
ID_596019,596019,2022,Neutral,-0.0283,0.3742,0.3573,,-0.0209,DECLINED,False,
ID_596748,596748,2022,Slight sell,-0.0861,0.3214,0.3042,DECLINED,-0.0677,DECLINED,True,True
ID_605137,605137,2022,Sell high,-0.5369,0.4393,0.384,DECLINED,-0.0658,DECLINED,True,True
ID_605141,605141,2022,Buy low,0.3417,0.3386,0.3314,IMPROVED,0.0574,IMPROVED,True,True
ID_606466,606466,2022,Buy low,0.67,0.22,0.247,IMPROVED,0.1783,IMPROVED,True,True
ID_607208,607208,2022,Neutral,-0.0225,0.3282,0.3098,,0.0586,IMPROVED,False,
ID_608070,608070,2022,Neutral,0.1052,0.4683,0.3981,,-0.0963,DECLINED,False,
ID_608324,608324,2022,Buy low,0.2009,0.3472,0.322,IMPROVED,-0.0035,FLAT,False,
ID_608369,608369,2022,Buy low,0.5336,0.3051,0.3733,IMPROVED,0.0438,IMPROVED,True,True
ID_608385,608385,2022,Buy low,0.3992,0.2697,0.3939,IMPROVED,0.0622,IMPROVED,True,True
ID_621020,621020,2022,Neutral,0.0597,0.2872,0.2824,,0.0988,IMPROVED,False,
