year,version,tier,n,correct,accuracy,era_delta
2022,A,Buy low,19,15,0.7895,-2.705
2022,A,Slight buy,10,6,0.6,-1.723
2022,A,Slight sell,15,15,1.0,1.541
2022,A,Sell high,17,16,0.9412,2.207
2023,A,Buy low,24,21,0.875,-3.058
2023,A,Slight buy,12,7,0.5833,-2.084
2023,A,Slight sell,18,15,0.8333,1.637
2023,A,Sell high,14,12,0.8571,2.244
2024,A,Buy low,33,30,0.9091,-2.883
2024,A,Slight buy,10,6,0.6,-1.617
2024,A,Slight sell,21,16,0.7619,2.051
2024,A,Sell high,20,20,1.0,2.532
2025,A,Buy low,13,11,0.8462,-2.91
2025,A,Slight buy,18,12,0.6667,-2.367
2025,A,Slight sell,22,17,0.7727,1.825
2025,A,Sell high,18,15,0.8333,2.833
2022,B,Buy low,13,8,0.6154,-1.38
2022,B,Slight buy,0,0,,
2022,B,Slight sell,2,2,1.0,1.945
2022,B,Sell high,40,39,0.975,1.821
2023,B,Buy low,12,6,0.5,-1.633
2023,B,Slight buy,1,1,1.0,-2.6
2023,B,Slight sell,7,6,0.8571,1.425
2023,B,Sell high,31,29,0.9355,1.868
2024,B,Buy low,25,15,0.6,-1.5
2024,B,Slight buy,1,0,0.0,
2024,B,Slight sell,7,6,0.8571,1.99
2024,B,Sell high,44,41,0.9318,2.173
2025,B,Buy low,19,11,0.5789,-1.94
2025,B,Slight buy,3,0,0.0,
2025,B,Slight sell,6,4,0.6667,1.927
2025,B,Sell high,40,34,0.85,2.235
2022,C,Buy low,14,8,0.5714,-1.38
2022,C,Slight buy,2,1,0.5,-0.63
2022,C,Slight sell,2,2,1.0,1.91
2022,C,Sell high,36,35,0.9722,1.869
2023,C,Buy low,12,6,0.5,-1.633
2023,C,Slight buy,2,0,0.0,
2023,C,Slight sell,5,5,1.0,1.434
2023,C,Sell high,29,26,0.8966,2.052
2024,C,Buy low,26,15,0.5769,-1.5
2024,C,Slight buy,1,1,1.0,-0.54
2024,C,Slight sell,6,5,0.8333,2.356
2024,C,Sell high,40,39,0.975,2.186
2025,C,Buy low,22,11,0.5,-1.94
2025,C,Slight buy,2,1,0.5,-0.79
2025,C,Slight sell,8,6,0.75,1.53
2025,C,Sell high,29,27,0.931,2.456
2022,D,Buy low,9,6,0.6667,-1.598
2022,D,Slight buy,1,1,1.0,-1.02
2022,D,Slight sell,5,5,1.0,1.298
2022,D,Sell high,33,32,0.9697,1.961
2023,D,Buy low,11,7,0.6364,-1.771
2023,D,Slight buy,2,0,0.0,
2023,D,Slight sell,6,4,0.6667,2.848
2023,D,Sell high,25,24,0.96,1.837
2024,D,Buy low,20,13,0.65,-1.587
2024,D,Slight buy,2,1,0.5,-1.3
2024,D,Slight sell,2,2,1.0,2.41
2024,D,Sell high,42,40,0.9524,2.209
2025,D,Buy low,20,12,0.6,-1.883
2025,D,Slight buy,1,0,0.0,
2025,D,Slight sell,6,5,0.8333,1.794
2025,D,Sell high,29,26,0.8966,2.463
2022,E,Buy low,2,2,1.0,-2.895
2022,E,Slight buy,0,0,,
2022,E,Slight sell,5,5,1.0,1.298
2022,E,Sell high,33,32,0.9697,1.961
2023,E,Buy low,4,4,1.0,-1.525
2023,E,Slight buy,1,1,1.0,-0.93
2023,E,Slight sell,6,4,0.6667,2.848
2023,E,Sell high,25,24,0.96,1.837
2024,E,Buy low,12,10,0.8333,-1.808
2024,E,Slight buy,2,2,1.0,-1.08
2024,E,Slight sell,2,2,1.0,2.41
2024,E,Sell high,42,40,0.9524,2.209
2025,E,Buy low,10,8,0.8,-2.119
2025,E,Slight buy,1,1,1.0,-1.63
2025,E,Slight sell,6,5,0.8333,1.794
2025,E,Sell high,29,26,0.8966,2.463
