player_name,mlbam_id,year,signal,luck_score,woba_actual,xwoba_actual,predicted_direction,actual_woba_change,correct,PA_apr,wOBA,xwOBA_curr,xwOBA_fix,HR_apr
Nelson Cruz,443558,2022,Buy Low,0.1015,0.2385,0.3237,IMPROVED,0.098,True,105,0.29946808510638295,0.35464249639249634,0.3482430254930255,4.0
Joey Votto,458015,2022,Slight Buy,0.0285,0.2285,0.2786,IMPROVED,0.1424,True,95,0.313953488372093,0.3301901052631579,0.3301901052631579,1.0
Eduardo Escobar,500871,2022,Slight Sell,-0.0499,0.3538,0.3064,DECLINED,-0.0799,True,97,0.38,0.32191079154951574,0.3066676138660713,2.0
Paul Goldschmidt,502671,2022,Slight Sell,-0.044,0.3432,0.3085,DECLINED,0.1226,False,92,0.36590909090909096,0.3322803261964693,0.32221003634139683,2.0
Marcell Ozuna,542303,2022,Buy Low,0.0448,0.3201,0.3866,IMPROVED,-0.0312,False,106,0.33967391304347827,0.3618998412128806,0.3527762348395892,4.0
Eric Hosmer,543333,2022,Sell High,-0.1092,0.4519,0.3576,DECLINED,-0.1539,True,91,0.47750000000000004,0.3609125457875458,0.33732149260995414,3.0
Marcus Semien,543760,2022,Buy Low,0.0431,0.2145,0.2359,IMPROVED,0.131,True,104,0.26881720430107525,0.26038152017587113,0.26038152017587113,1.0
George Springer,543807,2022,Slight Sell,-0.0419,0.405,0.3468,DECLINED,-0.0652,True,100,0.46629213483146065,0.40557188311688314,0.35908378671165436,7.0
Bryce Harper,547180,2022,Slight Buy,0.0259,0.3463,0.3847,IMPROVED,0.1103,True,105,0.4579787234042553,0.47205239851762076,0.4448062609514832,7.0
Jonathan Schoop,570731,2022,Buy Low,0.0663,0.1925,0.2659,IMPROVED,0.0755,True,91,0.22987012987012986,0.26077224017812256,0.2504284901781225,1.0
Nolan Arenado,571448,2022,Sell High,-0.1024,0.4722,0.3601,DECLINED,-0.1188,True,86,0.51625,0.42459698065272616,0.3761583046484979,5.0
Enrique Hernández,571771,2022,Slight Buy,0.0346,0.2617,0.2891,IMPROVED,0.0216,True,106,0.32074468085106383,0.32410854821802937,0.3096808752620545,1.0
Christian Walker,572233,2022,Buy Low,0.1304,0.2741,0.3504,IMPROVED,0.0721,True,94,0.35240963855421686,0.3976248480811523,0.37949338911458685,6.0
Darin Ruf,573131,2022,Buy Low,0.0711,0.2385,0.3156,IMPROVED,0.1266,True,98,0.24615384615384614,0.3012824384515711,0.3012824384515711,0.0
Nick Castellanos,592206,2022,Slight Sell,-0.0431,0.3797,0.3675,DECLINED,-0.0954,True,106,0.42692307692307696,0.37046202629056746,0.356862904173167,3.0
Aaron Judge,592450,2022,Slight Buy,0.0232,0.4101,0.4373,IMPROVED,0.0351,True,95,0.5108433734939759,0.49554903755861945,0.46943572137341955,8.0
Manny Machado,592518,2022,Sell High,-0.1001,0.4626,0.3711,DECLINED,-0.0984,True,105,0.5170212765957447,0.40770719233147806,0.3810562088704946,5.0
Christian Yelich,592885,2022,Slight Buy,0.023,0.3287,0.3532,IMPROVED,0.0229,True,97,0.37586206896551727,0.3643352613856302,0.35998915630817274,3.0
Whit Merrifield,593160,2022,Buy Low,0.104,0.172,0.2889,IMPROVED,0.14,True,91,0.20773809523809522,0.3002212768184197,0.3002212768184197,0.0
Xander Bogaerts,593428,2022,Sell High,-0.0997,0.4041,0.3435,DECLINED,-0.0339,True,92,0.4186046511627907,0.3448687253583564,0.3353897955924701,1.0
Jorge Polanco,593871,2022,Slight Buy,0.0273,0.2853,0.3006,IMPROVED,0.0749,True,97,0.31,0.3012623596792669,0.2864828707943573,2.0
