pitcher,year,era,fip,era_fip_gap,ip,signal_e,signal_f,signal_g,signal_h,outcome,era_change
425794,2022,4.1,3.48,0.6199999999999997,26.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.1499999999999995
425844,2022,2.86,3.55,-0.69,22.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.2100000000000004
434378,2022,2.08,2.7,-0.6200000000000001,30.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.5299999999999998
446372,2022,2.84,3.1,-0.26000000000000023,25.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.7700000000000005
448179,2022,6.3,4.1,2.2,20.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.88
450203,2022,6.5,5.43,1.0700000000000003,18.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.66
453286,2022,1.82,1.92,-0.09999999999999987,24.666666666666668,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,DECLINED,0.5900000000000001
471911,2022,3.42,2.53,0.8900000000000001,26.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.43999999999999995
477132,2022,1.69,1.71,-0.020000000000000018,26.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.6099999999999999
500779,2022,3.63,3.86,-0.22999999999999998,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.04999999999999982
502042,2022,4.08,5.87,-1.79,17.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,FLAT,0.11000000000000032
502043,2022,3.18,3.92,-0.7399999999999998,34.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.4300000000000002
506433,2022,1.86,3.17,-1.3099999999999998,30.666666666666668,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,DECLINED,0.78
518516,2022,1.95,3.71,-1.76,27.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,3.2199999999999998
518876,2022,1.41,1.82,-0.41000000000000014,32.0,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,DECLINED,1.3
