year,signal,n,correct,accuracy,era_delta
2022,Buy low,19,15,0.7895,-1.854
2022,Slight buy,10,6,0.6,-0.329
2022,Slight sell,15,15,1.0,1.364
2022,Sell high,17,16,0.9412,1.666
2023,Buy low,24,21,0.875,-2.073
2023,Slight buy,12,7,0.5833,-0.621
2023,Slight sell,18,15,0.8333,1.086
2023,Sell high,14,12,0.8571,1.394
2024,Buy low,33,30,0.9091,-2.298
2024,Slight buy,10,6,0.6,0.064
2024,Slight sell,21,16,0.7619,1.098
2024,Sell high,20,20,1.0,2.04
2025,Buy low,13,11,0.8462,-1.911
2025,Slight buy,18,12,0.6667,-0.83
2025,Slight sell,22,17,0.7727,0.984
2025,Sell high,18,15,0.8333,1.876
