player_id,name,type,call,call_date,week1_luck,week1_woba,week1_xwoba,woba_delta,xwoba_delta,mechanism,prediction_correct,last_updated,notes,week2_luck,week2_woba,week2_xwoba,week3_luck,week3_woba,week3_xwoba,week4_luck,week4_woba,week4_xwoba,luck_delta,week5_luck,week5_woba,week5_xwoba,week6_luck,week6_woba,week6_xwoba,week7_luck,week7_woba,week7_xwoba,week8_luck,week8_woba,week8_xwoba,rolling_4wk_woba_delta,rolling_4wk_luck_delta,window_signal,week9_luck,week9_woba,week9_xwoba,signal_age_weeks,window_4wk_status,urgency_flag,resolution_eta,signal_type,confidence_weight,delta_own_1w,delta_own_4w,own_velocity,own_acceleration
800050,Chase Delauter,Hitter,Buy low,2026-04-22,0.5101,0.317,0.371,0.072,0.022,confirmed,1.0,2026-05-05,,0.4868,0.317,0.371,0.4414,0.323,0.372,0.4414,0.323,0.372,-0.4825,0.4005,0.327,0.376,0.4005,0.327,0.376,0.4005,0.327,0.376,0.0276,0.389,0.393,0.062,-0.3729,confirming,0.0276,0.389,0.393,8,extended,False,0.0,PURE_LUCK,1.0,,,,
608070,José Ramírez,Hitter,Buy low,2026-04-22,0.5076,0.363,0.444,-0.0269999999999999,-0.0419999999999999,still_waiting,,2026-05-05,,0.4834,0.363,0.444,0.5053,0.354,0.435,0.5053,0.354,0.435,-0.0312,0.5447,0.339,0.425,0.5447,0.339,0.425,0.5447,0.339,0.425,0.4956,0.339,0.408,-0.003,-0.0682999999999999,still_waiting,0.4764,0.336,0.402,8,extended,False,7.5,PURE_LUCK,1.0,,,,
664761,Alec Bohm,Hitter,Buy low,2026-04-22,0.4837,0.219,0.273,0.007,-0.008,insufficient_movement,,2026-05-05,,0.4983,0.219,0.273,0.5378,0.21,0.264,0.5378,0.21,0.264,0.0143999999999999,0.5033,0.222,0.27,0.5033,0.222,0.27,0.5033,0.222,0.27,0.4829,0.226,0.269,0.004,-0.0051999999999999,still_waiting,0.4981,0.226,0.265,8,extended,False,8.0,MECHANICAL,0.6,,,,
671056,Iván Herrera,Hitter,Buy low,2026-04-22,0.4626,0.367,0.43,0.015,-0.0309999999999999,contact_deteriorating,,2026-05-05,,0.4754,0.367,0.43,0.372,0.374,0.426,0.372,0.374,0.426,-0.3556,0.3647,0.38,0.423,0.3647,0.38,0.423,0.3647,0.38,0.423,0.1523,0.381,0.402,0.002,-0.2577,still_waiting,0.107,0.382,0.399,8,extended,False,0.1,PURE_LUCK,1.0,,,,
686469,Vinnie Pasquantino,Hitter,Buy low,2026-04-22,0.4344,0.273,0.313,0.0329999999999999,0.021,confirmed,1.0,2026-05-05,,0.4615,0.273,0.313,0.4319,0.281,0.31,0.4319,0.281,0.31,-0.1402,0.4012,0.29,0.311,0.4012,0.29,0.311,0.4012,0.29,0.311,0.3437,0.299,0.333,0.016,-0.1069999999999999,still_waiting,0.2942,0.306,0.334,8,extended,False,3.9,PURE_LUCK,1.0,,,,
663757,Trent Grisham,Hitter,Buy low,2026-04-22,0.4093,0.314,0.401,-0.005,0.0,insufficient_movement,,2026-05-05,,0.4228,0.314,0.401,0.4703,0.301,0.384,0.4703,0.301,0.384,0.0212999999999999,0.5319,0.29,0.395,0.5319,0.29,0.395,0.5319,0.29,0.395,0.5773,0.29,0.395,0.019,-0.1013,still_waiting,0.4306,0.309,0.401,8,extended,False,6.6,PURE_LUCK,1.0,,,,
592518,Manny Machado,Hitter,Buy low,2026-04-22,0.3749,0.297,0.332,0.031,0.0249999999999999,confirmed,1.0,2026-05-05,,0.3802,0.297,0.332,0.3893,0.321,0.362,0.3893,0.321,0.362,-0.1064999999999999,0.2767,0.34,0.367,0.2767,0.34,0.367,0.2767,0.34,0.367,0.2288,0.338,0.363,-0.012,-0.0082999999999999,still_waiting,0.2684,0.328,0.357,8,extended,False,3.4,PURE_LUCK,1.0,,,,
660670,Ronald Acuña,Hitter,Buy low,2026-04-22,0.3594,0.319,0.388,0.018,-0.005,insufficient_movement,,2026-05-05,,0.3939,0.319,0.388,0.3181,0.328,0.391,0.3181,0.328,0.391,-0.1594,0.2611,0.337,0.394,0.2611,0.337,0.394,0.2611,0.337,0.394,0.2,0.337,0.383,0.0,-0.0610999999999999,still_waiting,0.2,0.337,0.383,8,extended,False,2.0,MECHANICAL,0.6,,,,
663647,Ke'Bryan Hayes,Hitter,Buy low,2026-04-22,0.3251,0.199,0.305,0.0189999999999999,0.015,insufficient_movement,,2026-05-05,,0.3402,0.199,0.305,0.3639,0.21,0.318,0.3639,0.21,0.318,0.2613,0.45,0.214,0.324,0.45,0.214,0.324,0.45,0.214,0.324,0.5511,0.197,0.303,0.004,0.1364,deepening,0.5864,0.218,0.32,8,extended,True,9.7,PURE_LUCK,1.0,,,,
608369,Corey Seager,Hitter,Buy low,2026-04-22,0.3215,0.332,0.378,-0.023,-0.003,insufficient_movement,,2026-05-05,,0.3441,0.332,0.378,0.4011,0.318,0.372,0.4011,0.318,0.372,0.0137999999999999,0.3813,0.31,0.363,0.3813,0.31,0.363,0.3813,0.31,0.363,0.3353,0.309,0.375,-0.001,-0.0459999999999999,still_waiting,0.3353,0.309,0.375,8,extended,False,4.7,MECHANICAL,0.6,,,,
