name,team,fpts,W,ERA,K,WHIP,SV,year
Tarik Skubal,DET,625.0,18,2.39,228,0.92,,2024
Zack Wheeler,PHI,611.0,16,2.57,224,0.96,,2024
Chris Sale,ATL,575.5,18,2.38,225,1.01,,2024
Emmanuel Clase,CLE,547.0,4,0.61,66,0.66,47.0,2024
Logan Gilbert,SEA,541.0,9,3.23,220,0.89,,2024
Seth Lugo,KC,540.5,16,3.0,181,1.09,,2024
Ryan Helsley,BAL,522.5,7,2.04,79,1.1,49.0,2024
Corbin Burnes,ARI,521.5,15,2.92,181,1.1,,2024
Shota Imanaga,CHC,518.0,15,2.91,174,1.02,,2024
Dylan Cease,TOR,494.0,14,3.47,224,1.07,,2024
Aaron Nola,PHI,493.5,14,3.57,197,1.2,,2024
Bryce Miller,SEA,486.5,12,2.94,171,0.98,,2024
Cole Ragans,KC,481.5,11,3.14,223,1.14,,2024
George Kirby,SEA,479.5,14,3.53,179,1.07,,2024
Framber Valdez,DET,476.5,15,2.91,169,1.11,,2024
Logan Webb,SF,468.0,13,3.47,172,1.23,,2024
Jose Berrios,TOR,461.5,16,3.6,153,1.15,,2024
Bailey Ober,MIN,460.5,12,3.98,191,1.0,,2024
Sean Manaea,NYM,460.0,12,3.47,184,1.08,,2024
Ronel Blanco,HOU,452.0,13,2.8,166,1.09,,2024
Pablo Lopez,MIN,451.0,15,4.08,198,1.19,,2024
Jack Flaherty,DET,450.0,13,3.17,194,1.07,,2024
Raisel Iglesias,ATL,443.0,6,1.95,68,0.74,34.0,2024
Michael King,SD,438.5,13,2.95,201,1.19,,2024
Kirby Yates,LAA,436.5,7,1.17,85,0.83,33.0,2024
Carlos Rodon,NYY,436.5,16,3.96,195,1.22,,2024
Robert Suarez,ATL,436.5,9,2.77,59,1.05,36.0,2024
Sonny Gray,BOS,430.5,13,3.84,203,1.09,,2024
Paul Skenes,PIT,430.0,11,1.96,170,0.95,,2024
Tanner Bibee,CLE,425.5,12,3.47,187,1.12,,2024
Josh Hader,HOU,420.5,8,3.8,105,0.96,34.0,2024
Nathan Eovaldi,TEX,419.0,12,3.8,166,1.11,,2024
Kevin Gausman,TOR,415.0,14,3.83,162,1.22,,2024
Cristopher Sanchez,PHI,411.5,11,3.32,153,1.24,,2024
Max Fried,NYY,408.0,11,3.25,166,1.16,,2024
Luis Castillo,SEA,403.5,11,3.64,175,1.17,,2024
Jameson Taillon,CHC,402.5,12,3.27,125,1.13,,2024
Hunter Brown,HOU,401.5,11,3.49,179,1.27,,2024
Tanner Houck,BOS,401.0,9,3.12,154,1.14,,2024
Michael Wacha,KC,399.5,13,3.35,145,1.19,,2024
Luis Severino,ATH,394.5,11,3.91,161,1.24,,2024
Hunter Greene,CIN,394.5,9,2.75,169,1.02,,2024
Freddy Peralta,NYM,394.0,11,3.68,200,1.22,,2024
Luis Gil,NYY,392.5,15,3.5,171,1.19,,2024
Erick Fedde,CHW,390.0,9,3.3,154,1.16,,2024
Yusei Kikuchi,LAA,387.0,9,4.05,206,1.2,,2024
Tyler Glasnow,LAD,382.0,9,3.49,168,0.95,,2024
Brandon Pfaadt,ARI,379.5,11,4.71,185,1.24,,2024
Nestor Cortes,SD,378.0,9,3.77,162,1.15,,2024
Zac Gallen,ARI,375.0,14,3.65,156,1.26,,2024
Reynaldo Lopez,ATL,372.0,8,1.99,148,1.11,,2024
Mason Miller,SD,371.0,2,2.49,104,0.88,28.0,2024
Jake Irvin,WAS,368.0,10,4.41,156,1.2,,2024
Zach Eflin,BAL,368.0,10,3.59,134,1.15,,2024
Kutter Crawford,BOS,362.5,9,4.36,175,1.12,,2024
Ranger Suarez,BOS,357.5,12,3.46,145,1.2,,2024
Kyle Finnegan,DET,357.0,3,3.68,60,1.34,38.0,2024
