cbs_rank,player_name_abbrev,player_name_abbrev_norm,position
1,C. Raleigh,c. raleigh,C
1,N. Kurtz,n. kurtz,1B
1,F. Tatis Jr.,f. tatis jr.,2B
1,B. Witt,b. witt,SS
1,J. Ramirez,j. ramirez,3B
1,A. Judge,a. judge,OF
1,S. Ohtani,s. ohtani,DH
2,B. Rice,b. rice,C
2,V. Guerrero Jr.,v. guerrero jr.,1B
2,J. Chisholm,j. chisholm,2B
2,E. De La Cruz,e. de la cruz,SS
2,J. Caminero,j. caminero,3B
2,J. Soto,j. soto,OF
2,Y. Alvarez,y. alvarez,DH
3,D. Baldwin,d. baldwin,C
3,M. Olson,m. olson,1B
3,K. Marte,k. marte,2B
3,G. Henderson,g. henderson,SS
3,C. Carroll,c. carroll,OF
3,K. Schwarber,k. schwarber,DH
4,S. Langeliers,s. langeliers,C
4,I. Herrera,i. herrera,DH
4,P. Alonso,p. alonso,1B
4,B. Turang,b. turang,2B
4,T. Turner,t. turner,SS
4,M. Machado,m. machado,3B
4,K. Tucker,k. tucker,OF
5,H. Goodman,h. goodman,C
5,B. Harper,b. harper,1B
5,S. Stewart,s. stewart,3B
5,N. Hoerner,n. hoerner,2B
5,C. Abrams,c. abrams,SS
5,M. Ballesteros,m. ballesteros,DH
6,W. Contreras,w. contreras,C
6,J. Rodriguez,j. rodriguez,OF
6,F. Freeman,f. freeman,1B
6,O. Albies,o. albies,2B
6,Z. Neto,z. neto,SS
6,M. Garcia,m. garcia,3B
6,C. Yelich,c. yelich,DH
7,J. Wetherholt,j. wetherholt,2B
7,G. Perdomo,g. perdomo,SS
7,A. Riley,a. riley,3B
7,R. Acuna Jr.,r. acuna jr.,OF
7,B. Eldridge,b. eldridge,DH
8,W. Smith,w. smith,C
8,J. Naylor,j. naylor,1B
8,J. Altuve,j. altuve,2B
8,M. Betts,m. betts,SS
8,B. Bichette,b. bichette,3B
9,S. Perez,s. perez,C
9,B. Lowe,b. lowe,2B
9,F. Lindor,f. lindor,SS
9,K. McGonigle,k. mcgonigle,3B
9,J. Chourio,j. chourio,OF
9,M. Ozuna,m. ozuna,DH
10,A. Rutschman,a. rutschman,C
10,R. Devers,r. devers,1B
10,L. Keaschall,l. keaschall,2B
10,C. Seager,c. seager,SS
10,A. Bregman,a. bregman,3B
10,J. Wood,j. wood,OF
11,C. Jensen,c. jensen,C
11,V. Pasquantino,v. pasquantino,1B
11,X. Edwards,x. edwards,2B
11,M. Muncy,m. muncy,3B
11,C. Bellinger,c. bellinger,OF
12,S. Basallo,s. basallo,C
12,M. Busch,m. busch,1B
12,O. Lopez,o. lopez,2B
12,E. Suarez,e. suarez,3B
12,P. Crow-Armstrong,p. crow-armstrong,OF
13,L. Hicks,l. hicks,C
13,M. Murakami,m. murakami,1B
13,I. Paredes,i. paredes,3B
13,T. Bazzana,t. bazzana,2B
13,M. Trout,m. trout,OF
14,F. Alvarez,f. alvarez,C
14,T. Soderstrom,t. soderstrom,1B
14,M. McLain,m. mclain,2B
14,K. Griffin,k. griffin,SS
14,K. Okamoto,k. okamoto,3B
14,B. Buxton,b. buxton,OF
15,D. Dingler,d. dingler,C
15,Y. Diaz,y. diaz,1B
15,B. Donovan,b. donovan,2B
15,D. Swanson,d. swanson,SS
15,C. Montgomery,c. montgomery,3B
15,R. Arozarena,r. arozarena,OF
16,G. Moreno,g. moreno,C
16,J. Aranda,j. aranda,1B
16,C. Rafaela,c. rafaela,2B
16,J. Pena,j. pena,SS
16,M. Chapman,m. chapman,3B
16,R. Anthony,r. anthony,OF
17,R. Jeffers,r. jeffers,C
17,M. Vargas,m. vargas,3B
17,M. Semien,m. semien,2B
17,R. Greene,r. greene,OF
18,C. Walker,c. walker,1B
18,J. Caballero,j. caballero,2B
18,W. Adames,w. adames,SS
18,J. Merrill,j. merrill,OF
19,J. Realmuto,j. realmuto,C
19,J. Polanco,j. polanco,2B
19,J. Jung,j. jung,3B
19,S. Suzuki,s. suzuki,OF
20,A. Kirk,a. kirk,C
20,A. Burleson,a. burleson,1B
20,C. Young,c. young,2B
20,O. Cruz,o. cruz,OF
21,D. Rushing,d. rushing,C
21,R. O'Hearn,r. o'hearn,1B
21,L. Arraez,l. arraez,2B
21,T. Story,t. story,SS
21,R. Lewis,r. lewis,3B
21,M. Harris,m. harris,OF
22,K. Teel,k. teel,C
22,J. Holliday,j. holliday,2B
22,X. Bogaerts,x. bogaerts,SS
22,A. Bohm,a. bohm,3B
22,B. Rooker,b. rooker,OF
23,A. Wells,a. wells,C
23,S. Torkelson,s. torkelson,1B
23,B. Stott,b. stott,2B
23,J. Wilson,j. wilson,SS
23,A. Barger,a. barger,3B
23,G. Springer,g. springer,OF
24,A. Ramirez,a. ramirez,C
24,A. Gimenez,a. gimenez,2B
24,C. Durbin,c. durbin,3B
24,A. Pages,a. pages,OF
25,C. Kelly,c. kelly,C
25,G. Torres,g. torres,2B
25,C. Keith,c. keith,3B
25,E. Tovar,e. tovar,SS
26,T. Stephenson,t. stephenson,C
26,S. Steer,s. steer,1B
26,S. Antonacci,s. antonacci,2B
26,B. Lee,b. lee,3B
26,J. Duran,j. duran,OF
27,L. O'Hoppe,l. o'hoppe,C
