cbs_rank,player_name_abbrev,player_name_abbrev_norm,position
1,P. Skenes,p. skenes,SP
1,M. Miller,m. miller,RP
2,Y. Yamamoto,y. yamamoto,SP
2,A. Munoz,a. munoz,RP
3,C. Sale,c. sale,SP
3,C. Smith,c. smith,RP
4,C. Sanchez,c. sanchez,SP
4,J. Duran,j. duran,RP
5,M. Fried,m. fried,SP
5,A. Chapman,a. chapman,RP
6,J. deGrom,j. degrom,SP
6,R. Iglesias,r. iglesias,RP
7,B. Woo,b. woo,SP
7,D. Bednar,d. bednar,RP
8,G. Crochet,g. crochet,SP
8,R. O'Brien,r. o'brien,RP
9,N. McLean,n. mclean,SP
9,D. Palencia,d. palencia,RP
10,C. Schlittler,c. schlittler,SP
10,D. Williams,d. williams,RP
11,L. Gilbert,l. gilbert,SP
11,K. Jansen,k. jansen,RP
12,S. Ohtani,s. ohtani,SP
12,R. Helsley,r. helsley,RP
13,D. Cease,d. cease,SP
13,L. Varland,l. varland,RP
14,G. Kirby,g. kirby,SP
14,B. Ashcraft,b. ashcraft,RP
15,J. Ryan,j. ryan,SP
15,P. Tolle,p. tolle,RP
16,J. Luzardo,j. luzardo,SP
16,J. Hader,j. hader,RP
17,K. Gausman,k. gausman,SP
17,B. Baker,b. baker,RP
18,F. Peralta,f. peralta,SP
18,S. Dominguez,s. dominguez,RP
19,C. Burns,c. burns,SP
19,P. Fairbanks,p. fairbanks,RP
20,T. Glasnow,t. glasnow,SP
20,T. Scott,t. scott,RP
21,S. Imanaga,s. imanaga,SP
21,L. Erceg,l. erceg,RP
22,F. Valdez,f. valdez,SP
22,P. Sewald,p. sewald,RP
23,J. Misiorowski,j. misiorowski,SP
23,E. Pagan,e. pagan,RP
24,L. Webb,l. webb,SP
24,A. Uribe,a. uribe,RP
25,C. Ragans,c. ragans,SP
25,D. Santana,d. santana,RP
26,G. Williams,g. williams,SP
26,T. Santillan,t. santillan,RP
27,K. Bradish,k. bradish,SP
27,R. Suarez,r. suarez,RP
28,E. Perez,e. perez,SP
28,R. Nelson,r. nelson,RP
29,Z. Wheeler,z. wheeler,SP
29,T. Megill,t. megill,RP
30,S. Alcantara,s. alcantara,SP
30,E. Diaz,e. diaz,RP
