#,type,name,age,signal,luck_score,fp_rank,cohort,contract_year
1,Hitter,Chase Delauter,25,Buy low,0.5101,,2-pre-arb,
2,Hitter,José Ramírez,34,Buy low,0.5076,7,5-locked-up,
3,Hitter,Alec Bohm,30,Buy low,0.4837,,5-locked-up,
4,Hitter,Iván Herrera,26,Buy low,0.4626,,2-pre-arb,
5,Hitter,Vinnie Pasquantino,29,Buy low,0.4344,,5-locked-up,
6,Hitter,Trent Grisham,30,Buy low,0.4093,,5-locked-up,
7,Hitter,Manny Machado,34,Buy low,0.3749,20,5-locked-up,
8,Pitcher,Jesús Luzardo,29,Buy low,0.3686,,5-locked-up,
9,Pitcher,Joe Ryan,30,Buy low,0.3605,,5-locked-up,
10,Hitter,Ronald Acuña,29,Buy low,0.3594,,5-locked-up,
11,Hitter,Ke'bryan Hayes,29,Buy low,0.3251,,5-locked-up,
12,Hitter,Corey Seager,32,Buy low,0.3215,36,5-locked-up,
13,Hitter,Dillon Dingler,28,Buy low,0.3172,,5-locked-up,
14,Hitter,Kyle Karros,24,Buy low,0.3064,,2-pre-arb,
15,Hitter,Trea Turner,33,Buy low,0.2791,18,5-locked-up,
16,Hitter,Aaron Judge,34,Buy low,0.2715,1,5-locked-up,
17,Pitcher,Cristopher Sánchez,30,Buy low,0.2701,,5-locked-up,
18,Hitter,Gunnar Henderson,25,Buy low,0.2672,11,2-pre-arb,
19,Hitter,Jackson Merrill,23,Buy low,0.2659,,2-pre-arb,
20,Hitter,Dansby Swanson,32,Buy low,0.2641,,5-locked-up,
21,Hitter,Caleb Durbin,26,Buy low,0.2641,,2-pre-arb,
22,Hitter,Jakob Marsee,25,Buy low,0.2614,,2-pre-arb,
23,Hitter,Marcell Ozuna,36,Buy low,0.2591,,5-locked-up,
24,Hitter,Austin Wells,27,Buy low,0.2584,,2-pre-arb,
25,Hitter,Kyle Schwarber,33,Buy low,0.2561,28,5-locked-up,
26,Hitter,Alec Burleson,28,Buy low,0.2553,,5-locked-up,
27,Hitter,Michael Busch,29,Buy low,0.2467,,5-locked-up,
28,Hitter,Carson Benge,23,Buy low,0.2429,,2-pre-arb,
29,Hitter,Yordan Álvarez,29,Buy low,0.2413,3,5-locked-up,
30,Hitter,Jonathan Aranda,28,Buy low,0.2367,,5-locked-up,
31,Hitter,Tj Friedl,31,Buy low,0.2346,,5-locked-up,
32,Hitter,Austin Riley,29,Buy low,0.2339,31,5-locked-up,
33,Hitter,Evan Carter,24,Buy low,0.2266,,2-pre-arb,
34,Pitcher,Logan Gilbert,29,Buy low,0.2262,,5-locked-up,
35,Hitter,Jake Cronenworth,32,Buy low,0.2249,,5-locked-up,
36,Hitter,Mike Trout,35,Buy low,0.2219,12,5-locked-up,
37,Hitter,Luke Keaschall,24,Buy low,0.2208,,2-pre-arb,
38,Hitter,TJ Rumfield,26,Buy low,0.2169,,2-pre-arb,
39,Hitter,J. p. Crawford,31,Buy low,0.2156,,5-locked-up,
40,Hitter,Sal Stewart,23,Buy low,0.214,,2-pre-arb,
41,Hitter,Luis Rengifo,29,Buy low,0.2093,,5-locked-up,
42,Hitter,Ezequiel Tovar,25,Buy low,0.2028,,2-pre-arb,
43,Hitter,Bryson Stott,29,Buy low,0.2025,,5-locked-up,
44,Hitter,Salvador Pérez,36,Buy low,0.2025,,5-locked-up,
45,Hitter,Matt Mclain,27,Buy low,0.2009,,2-pre-arb,
46,Hitter,Nolan Schanuel,24,Buy low,0.199,,2-pre-arb,
47,Hitter,Shohei Ohtani,32,Buy low,0.1984,2,5-locked-up,
48,Hitter,Josh Smith,29,Buy low,0.1943,,5-locked-up,
49,Hitter,Cody Bellinger,31,Buy low,0.1913,22,5-locked-up,
50,Hitter,Tyler Soderstrom,25,Buy low,0.186,,2-pre-arb,
51,Hitter,Ketel Marte,33,Buy low,0.1829,,5-locked-up,
52,Hitter,Josh Naylor,29,Buy low,0.1805,,5-locked-up,
53,Pitcher,Kyle Bradish,30,Buy low,0.178,,5-locked-up,
54,Hitter,Munetaka Murakami,26,Buy low,0.1764,,2-pre-arb,
55,Hitter,Steven Kwan,29,Buy low,0.1728,,5-locked-up,
56,Hitter,Tyler Stephenson,30,Buy low,0.1719,,5-locked-up,
57,Hitter,Miguel Vargas,27,Buy low,0.1706,,2-pre-arb,
58,Hitter,Víctor Caratini,33,Buy low,0.1679,,5-locked-up,
59,Hitter,Xander Bogaerts,34,Buy low,0.1625,,5-locked-up,
60,Pitcher,Shane Baz,27,Buy low,0.1574,,2-pre-arb,
61,Hitter,Bryce Harper,34,Buy low,0.151,29,5-locked-up,
62,Hitter,Matt Chapman,33,Sell high,-0.4535,,5-locked-up,
63,Hitter,Garrett Mitchell,28,Sell high,-0.4461,,5-locked-up,
64,Pitcher,José Soriano,28,Sell high,-0.4425,,5-locked-up,
65,Hitter,Ben Rice,27,Sell high,-0.4165,,2-pre-arb,
66,Pitcher,Michael Wacha,35,Sell high,-0.3705,,5-locked-up,
