Rank,Player Name,Team,Bye
1,Aaron Judge,NYY,
2,Shohei Ohtani,LAD,
3,Yordan Alvarez,HOU,
4,Ronald Acuna Jr.,ATL,
5,Juan Soto,NYM,
6,Freddie Freeman,LAD,
7,Jose Ramirez,CLE,
8,Corbin Carroll,ARI,
9,Elly De La Cruz,CIN,
10,Vladimir Guerrero Jr.,TOR,
11,Gunnar Henderson,BAL,
12,Mike Trout,LAA,
13,Adley Rutschman,BAL,
14,Bo Bichette,TOR,
15,Julio Rodriguez,SEA,
16,Rafael Devers,BOS,
17,Pete Alonso,NYM,
18,Trea Turner,PHI,
19,Fernando Tatis Jr.,SD,
20,Manny Machado,SD,
21,Alex Bregman,BOS,
22,Cody Bellinger,CHC,
23,William Contreras,MIL,
24,Brice Turang,MIL,
25,Willy Adames,SF,
26,James Wood,WSH,
27,Cal Raleigh,SEA,
28,Kyle Schwarber,PHI,
29,Bryce Harper,PHI,
30,Matt Olson,ATL,
31,Austin Riley,ATL,
32,Christian Yelich,MIL,
33,Sean Murphy,ATL,
34,Riley Greene,DET,
35,Bobby Witt Jr.,KC,
36,Corey Seager,TEX,
37,Ian Happ,CHC,
38,Bobby Witt Jr.,KC,
39,Carlos Correa,HOU,
40,Jose Altuve,HOU,
