Rank,Player Name,Team,Bye
1,Mason Miller,SD,
2,Shohei Ohtani,LAD,
2,Cade Smith,CLE,
2,Paul Skenes,PIT,
3,Jhoan Durán,PHI,
3,Cristopher Sánchez,PHI,
4,Aroldis Chapman,BOS,
4,Jacob Degrom,TEX,
5,Andrés Muñoz,SEA,
5,Chris Sale,ATL,
6,David Bednar,NYY,
6,Zack Wheeler,PHI,
7,Jesús Luzardo,PHI,
7,Devin Williams,NYM,
8,Bryan Woo,SEA,
9,Garrett Crochet,BOS,
10,Tarik Skubal,DET,
10,Raisel Iglesias,ATL,
11,Max Fried,NYY,
12,Dylan Cease,TOR,
13,Logan Gilbert,SEA,
14,Yoshinobu Yamamoto,LAD,
14,Bryan Baker,TB,
15,George Kirby,SEA,
16,Abner Uribe,MIL,
16,Logan Webb,SF,
17,Riley O'brien,STL,
17,Joe Ryan,MIN,
18,Shota Imanaga,CHC,
18,Pete Fairbanks,MIA,
19,Nathan Eovaldi,TEX,
20,Drew Rasmussen,TB,
21,Nolan Mclean,NYM,
21,Louis Varland,TOR,
22,Jeff Hoffman,TOR,
22,Kevin Gausman,TOR,
23,Shane Mcclanahan,TB,
24,Ryan Helsley,BAL,
24,Freddy Peralta,NYM,
25,Framber Valdez,DET,
26,Jacob Misiorowski,MIL,
27,Kenley Jansen,DET,
28,Adrián Morejón,SD,
28,Cole Ragans,KC,
29,Tyler Glasnow,LAD,
30,Hunter Brown,HOU,
31,Trevor Megill,MIL,
31,Ranger Suarez,BOS,
32,Spencer Strider,ATL,
33,Gavin Williams,CLE,
34,Sonny Gray,BOS,
34,Tanner Scott,LAD,
35,Alex Vesia,LAD,
35,Mackenzie Gore,TEX,
36,Tanner Bibee,CLE,
36,Paul Sewald,AZ,
37,Dylan Lee,ATL,
37,Chase Burns,CIN,
39,Emmet Sheehan,LAD,
39,Seranthony Domínguez,CWS,
40,Aaron Nola,PHI,
40,Garrett Whitlock,BOS,
41,José Soriano,LAA,
42,Robert Suarez,ATL,
42,Cam Schlittler,NYY,
43,Kyle Bradish,BAL,
43,Gregory Soto,PIT,
44,Luis Castillo,SEA,
44,Lucas Erceg,KC,
