"last_name, first_name",batter_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
"Arraez, Luis",650333,611,13.7,40.9,108.4,86.3,94.8,89.3,83.9,401,164,379.0,145,23.7,10,1.6,1.5
"Semien, Marcus",543760,546,17.0,33.0,112.1,87.4,97.8,91.1,84.4,422,173,387.0,192,35.2,36,6.6,5.0
"Ramírez, José",608070,544,19.6,34.0,116.6,89.2,99.6,93.0,87.5,451,184,389.0,216,39.7,47,8.6,6.9
"Witt Jr., Bobby",677951,538,15.1,35.7,116.9,92.7,104.0,95.3,91.1,468,187,411.0,260,48.3,77,14.3,10.9
"Guerrero Jr., Vladimir",665489,524,7.4,35.1,117.6,93.8,105.7,97.1,91.6,471,162,412.0,287,54.9,72,13.7,10.3
"Hoerner, Nico",663538,519,10.4,36.0,110.1,85.7,96.0,87.4,85.7,400,150,368.0,143,27.6,6,1.2,0.9
"Duran, Jarren",680776,515,9.5,33.6,113.9,90.8,101.9,94.8,88.8,433,159,403.0,226,43.9,48,9.3,6.5
"Donovan, Brendan",680977,511,13.2,36.6,108.7,88.7,98.6,92.1,87.2,422,165,385.0,192,37.6,28,5.5,4.3
"Altuve, Jose",514888,509,14.1,34.8,108.4,86.5,97.3,89.1,84.3,438,157,390.0,159,31.2,33,6.5,4.8
"Peña, Jeremy",665161,500,7.5,28.8,109.5,88.2,99.3,91.3,86.3,418,144,399.0,194,38.8,27,5.4,4.2
"Bregman, Alex",608324,499,18.2,34.9,109.1,89.1,99.0,92.8,86.9,424,178,387.0,202,40.5,32,6.4,5.0
"Giménez, Andrés",665926,495,8.7,32.7,109.6,86.3,96.5,89.6,84.6,413,140,394.0,141,28.5,14,2.8,2.2
"Lindor, Francisco",596019,494,17.0,35.4,112.7,90.9,101.1,95.1,85.4,432,188,397.0,234,47.4,67,13.6,9.7
"Arenado, Nolan",571448,493,16.9,35.9,107.5,86.3,96.9,88.9,84.6,425,164,384.0,156,31.6,16,3.2,2.5
"Volpe, Anthony",683011,486,8.4,33.1,108.7,87.7,98.2,91.6,84.9,421,146,383.0,172,35.4,19,3.9,2.8
"Diaz, Yainer",673237,486,8.9,35.0,111.4,90.2,101.3,94.6,87.5,455,147,394.0,231,47.5,37,7.6,6.0
"Winn, Masyn",691026,486,13.2,33.1,111.1,87.0,98.1,89.3,87.0,417,160,394.0,159,32.7,18,3.7,2.8
"Garcia, Maikel",672580,481,6.4,33.9,108.6,90.4,100.1,92.4,89.5,423,147,401.0,206,42.8,18,3.7,2.9
"Ohtani, Shohei",660271,479,16.2,37.8,119.2,95.8,106.7,99.7,91.4,476,199,415.0,288,60.1,103,21.5,14.1
"Burleson, Alec",676475,478,13.6,34.3,111.0,89.7,99.4,93.4,86.3,435,169,387.0,199,41.7,31,6.5,5.2
"Verdugo, Alex",657077,478,9.9,31.6,110.7,88.3,98.0,91.6,86.5,422,151,390.0,167,34.9,27,5.6,4.3
"Henderson, Gunnar",683002,475,9.2,34.5,113.1,92.8,104.0,96.1,90.8,430,163,399.0,256,53.9,53,11.2,7.4
"Rutschman, Adley",668939,475,18.8,35.4,109.3,88.2,98.1,90.4,86.4,425,184,391.0,174,36.6,29,6.1,4.5
"Bohm, Alec",664761,474,10.1,35.2,110.8,90.4,100.8,92.4,90.0,427,160,397.0,216,45.6,32,6.8,5.3
"Machado, Manny",592518,473,12.7,33.8,115.6,92.5,103.4,95.7,91.3,438,167,402.0,231,48.8,52,11.0,8.1
"Profar, Jurickson",595777,473,13.4,31.3,110.3,91.1,101.0,93.1,91.0,431,164,386.0,210,44.4,34,7.2,5.1
"Díaz, Yandy",650490,472,5.0,28.4,117.4,92.2,103.4,94.8,92.0,440,135,395.0,230,48.7,36,7.6,5.8
"Santander, Anthony",623993,471,22.7,35.0,114.4,89.8,100.3,94.6,86.1,442,192,395.0,196,41.6,55,11.7,8.3
"Carroll, Corbin",682998,471,12.0,27.8,111.5,89.3,101.1,94.6,88.1,440,149,399.0,192,40.8,34,7.2,5.0
"Castellanos, Nick",592206,469,15.2,39.0,113.1,88.4,99.3,91.4,85.4,445,184,398.0,179,38.2,38,8.1,5.8
"Reynolds, Bryan",668804,469,9.4,37.5,111.6,89.9,101.0,94.5,84.9,440,167,406.0,213,45.4,45,9.6,6.5
"Perez, Salvador",521692,467,19.0,39.4,113.3,91.1,101.9,95.1,86.7,457,196,420.0,209,44.8,57,12.2,8.7
"Tovar, Ezequiel",678662,467,18.9,38.5,110.6,88.8,99.3,93.1,84.1,456,195,410.0,186,39.8,42,9.0,6.0
"Cronenworth, Jake",630105,463,13.9,35.4,110.9,88.6,99.5,92.6,85.9,422,167,392.0,170,36.7,36,7.8,5.5
"Naylor, Josh",647304,462,11.1,30.1,110.9,89.9,100.8,94.3,87.5,445,158,399.0,189,40.9,39,8.4,6.2
"Merrill, Jackson",701538,462,14.6,39.4,111.6,90.4,100.8,93.5,86.9,442,190,399.0,203,43.9,52,11.3,8.8
"Turang, Brice",668930,462,6.1,32.0,107.8,87.0,96.9,89.1,86.5,419,133,386.0,137,29.7,11,2.4,1.8
"Torres, Gleyber",650402,461,15.0,38.2,111.2,88.6,98.3,91.9,85.3,418,177,380.0,163,35.4,29,6.3,4.4
"Soto, Juan",665742,461,10.7,35.4,115.7,94.2,105.7,99.5,89.3,447,172,404.0,262,57.0,91,19.7,12.8
"Alvarez, Yordan",670541,461,18.3,35.4,117.0,93.1,104.1,95.5,90.9,461,202,407.0,229,49.7,67,14.5,10.6
"Contreras, William",661388,459,6.1,29.0,118.1,92.8,103.9,98.0,89.7,448,144,408.0,227,49.5,46,10.0,6.8
"Freeman, Freddie",518692,450,14.3,43.1,112.3,89.4,100.3,92.8,85.3,437,185,394.0,188,41.8,41,9.1,6.4
"Bleday, JJ",668709,448,18.6,37.1,113.3,88.5,99.0,90.9,86.8,417,183,392.0,162,36.2,37,8.3,5.8
"Paredes, Isaac",670623,443,22.4,37.0,107.3,85.0,95.9,89.4,79.5,415,179,375.0,120,27.1,20,4.5,3.1
"Vaughn, Andrew",683734,443,16.6,33.6,112.2,90.3,100.9,93.8,87.8,432,176,403.0,192,43.3,41,9.3,6.6
"Ozuna, Marcell",542303,440,14.4,40.5,114.8,92.1,103.3,97.1,85.4,448,196,412.0,235,53.4,68,15.5,9.9
"Adames, Willy",642715,440,20.6,38.2,112.3,88.6,99.8,93.0,83.4,446,192,400.0,179,40.7,53,12.0,7.7
"Alonso, Pete",624413,440,14.4,30.5,116.3,89.8,102.8,95.3,86.1,471,171,409.0,204,46.4,58,13.2,8.3
"Pasquantino, Vinnie",686469,439,14.6,31.9,112.2,91.0,101.0,93.7,90.8,442,175,397.0,204,46.5,31,7.1,5.6
"Steer, Spencer",668715,439,17.4,34.2,108.0,88.0,99.2,92.7,84.9,439,175,390.0,175,39.9,28,6.4,4.3
"Olson, Matt",621566,435,16.1,35.4,113.9,91.5,102.7,95.4,87.3,450,188,403.0,206,47.4,54,12.4,7.9
"Bellinger, Cody",641355,432,17.4,32.9,109.2,87.8,97.3,90.6,85.4,430,179,396.0,142,32.9,27,6.3,4.7
