player_id,name,season,pa,wFA/C,wSI/C,wFC/C,wSL/C,wCH/C,wCU/C,wKC/C,wFS/C,wFA_rv,wSI_rv,wFC_rv,wSL_rv,wCH_rv,wCU_rv,wKC_rv,wFS_rv,wFA_pitches,wSI_pitches,wFC_pitches,wSL_pitches,wCH_pitches,wCU_pitches,wKC_pitches,wFS_pitches
682928,"Abrams, CJ",2024,162,0.8,2.9,2.8,-1.7,-1.5,-0.2,,-3.2,5,10,5,-6,-4,0,,-3,609,335,192,335,257,234,,109
547989,"Abreu, José",2024,34,-1.4,-3.1,,-0.9,-7.7,,,,-2,-3,,-1,-3,,,,173,91,,81,38,,,
677800,"Abreu, Wilyer",2024,158,0.2,3.8,1,-0.3,2.4,-1.2,,-2.7,1,8,1,0,5,-2,,-2,725,209,137,178,192,165,,85
660670,"Acuña Jr., Ronald",2024,77,-1,2.7,-1.7,2.2,4.3,-1.9,,,-3,5,-1,2,3,-1,,,349,174,74,95,73,42,,
682668,"Acuña, Luisangel",2024,14,-4.4,17.1,,,,,,,-3,3,,,,,,,63,17,,,,,,
642715,"Adames, Willy",2024,230,-0.7,0.4,-1.1,2.9,2.6,-0.4,,-0.9,-6,2,-3,12,5,-1,,-1,875,525,250,428,179,187,,91
677941,"Adams, Jordyn",2024,15,,,,-3.4,,,,,,,,-2,,,,,,,,50,,,,
656180,"Adams, Riley",2024,38,2.2,-4.1,,-2.7,3.3,,,,3,-5,,-3,2,,,,145,109,,112,66,,,
666176,"Adell, Jo",2024,159,-1.2,0.3,0.7,1,0.4,-1.8,,-2.2,-8,1,1,3,1,-2,,-1,632,318,109,292,125,98,,55
501303,"Adrianza, Ehire",2024,11,4.7,,,,,,,,2,,,,,,,,41,,,,,,,
605113,"Ahmed, Nick",2024,79,-1.3,0.5,-4.6,-2.4,-2,-1.2,,,-4,1,-3,-3,-1,-1,,,271,155,57,129,69,81,,
645277,"Albies, Ozzie",2024,133,-0.2,-0.9,1.4,-1.3,2.5,-0.4,,-1.6,-1,-2,2,-2,5,-1,,-1,547,202,177,186,200,163,,71
677942,"Alexander, Blaze",2024,53,2.5,-1,3.1,-4.3,-0.8,-1.9,,,6,-1,1,-5,0,-1,,,248,123,34,126,59,48,,
669397,"Allen, Nick",2024,42,-2.3,-5.8,2.5,-3.1,,,,,-3,-2,1,-2,,,,,116,38,41,63,,,,
624413,"Alonso, Pete",2024,188,1.6,0.1,0.3,-1.6,1.8,-0.3,,3.4,13,1,1,-8,3,-1,,3,827,597,195,520,185,173,,79
514888,"Altuve, Jose",2024,186,1.2,-0.3,0.4,1.1,0.2,-0.1,,-0.8,8,-1,1,5,1,0,,-1,642,452,187,436,259,193,,96
805373,"Alvarez Jr., Nacho",2024,12,-6.1,,,,,,,,-3,,,,,,,,44,,,,,,,
669137,"Alvarez, Armando",2024,10,,,,,,-5.9,,,,,,,,-1,,,,,,,,15,,
