player_id,name,season,pa,wFA/C,wSI/C,wFC/C,wSL/C,wCH/C,wCU/C,wKC/C,wFS/C,wFA_rv,wSI_rv,wFC_rv,wSL_rv,wCH_rv,wCU_rv,wKC_rv,wFS_rv,wFA_pitches,wSI_pitches,wFC_pitches,wSL_pitches,wCH_pitches,wCU_pitches,wKC_pitches,wFS_pitches
545361,"Trout, Mike",2026,91,1.9,0.6,4.4,-1.3,1.6,-3.3,,,8,1,3,-1,1,-2,,,423,105,78,92,78,55,,
686555,"Collins, Isaac",2026,86,-0.6,-0.4,,,-1,,,,-2,0,,,-1,,,,269,83,,,68,,,
663538,"Hoerner, Nico",2026,81,-1.1,2.9,1.1,-0.1,-6.4,0.4,,,-3,5,1,0,-5,0,,,243,165,69,122,72,51,,
686469,"Pasquantino, Vinnie",2026,80,-1.6,1.1,,-2.4,0.2,0.2,,,-4,1,,-2,0,0,,,266,119,,67,86,83,,
802415,"Simpson, Chandler",2026,78,-2.3,0.4,,2.4,-2.4,,,-0.1,-6,0,,1,-2,,,0,258,98,,55,64,,,40
669364,"Edwards, Xavier",2026,77,3.5,1.8,0.8,1.5,0.5,-2.1,,,10,2,1,1,1,-1,,,279,113,67,89,118,69,,
805300,"Marsee, Jakob",2026,77,-1.1,-2.7,0.1,-0.7,2.4,3.1,,,-4,-4,0,-1,2,2,,,312,142,65,89,83,60,,
682829,"De La Cruz, Elly",2026,76,1.9,0.7,1.9,3.3,3.8,-0.2,,-0.4,5,1,1,3,5,0,,0,276,89,48,78,133,135,,53
650333,"Arraez, Luis",2026,75,0.2,0.8,2.2,-2.2,-0.1,10,,,1,1,1,-2,0,4,,,276,166,55,73,55,40,,
666018,"Aranda, Jonathan",2026,75,-0.9,1.8,-0.3,2.9,2.4,5.2,,-1.2,-3,2,0,3,1,4,,-1,333,119,52,98,58,72,,45
683737,"Busch, Michael",2026,75,0.5,1.4,1,-0.3,-0.8,-0.5,,,1,2,1,0,-1,0,,,245,156,79,117,75,73,,
680757,"Kwan, Steven",2026,74,-0.2,0.4,-0.1,-0.2,-3.8,,,-1.3,-1,1,0,0,-3,,,0,322,140,66,85,71,,,25
663757,"Grisham, Trent",2026,74,-1.6,0.9,1.3,0.4,1.6,,,,-5,1,1,0,1,,,,277,119,59,99,61,,,
808959,"Murakami, Munetaka",2026,73,2.8,1.9,5.4,-2.6,5.1,3.4,,,8,2,3,-4,6,3,,,268,121,63,138,117,81,,
672580,"Garcia, Maikel",2026,72,-0.5,-2.6,1.6,-0.2,,6.9,,,-1,-5,1,0,,3,,,247,191,74,79,,45,,
646240,"Devers, Rafael",2026,70,-0.8,0.5,3.4,-3,-5.1,,,5.4,-3,1,2,-2,-4,,,2,343,142,52,80,69,,,34
695657,"Montgomery, Colson",2026,70,-1.3,0.2,13.7,3.8,3.4,2.5,,,-3,0,6,3,3,2,,,254,112,46,80,87,67,,
672960,"Okamoto, Kazuma",2026,70,3.6,-1.8,-3.5,1,0.2,-2.4,,,7,-3,-3,1,0,-2,,,193,173,88,108,61,69,,
668804,"Reynolds, Bryan",2026,69,1.7,2.1,-4.1,-2.7,0.7,0,,,4,2,-2,-3,1,0,,,240,116,52,114,146,109,,
663586,"Riley, Austin",2026,69,-0.2,1.3,1.9,-0.8,-2.8,-2.1,,,0,2,1,-1,-3,-1,,,266,135,68,95,92,66,,
802139,"Wetherholt, JJ",2026,68,1.5,1.2,0.7,-2.9,1.6,2.5,,-0.9,4,2,1,-3,2,2,,0,254,134,72,103,102,69,,33
607043,"Nimmo, Brandon",2026,68,0.6,0.9,0,-0.5,-4.7,3,,,2,1,0,0,-3,2,,,270,144,77,97,67,68,,
695578,"Wood, James",2026,68,2.4,2.2,-3.3,3,2.9,-3.4,,,6,3,-2,5,3,-4,,,264,127,55,152,97,109,,
682985,"Greene, Riley",2026,68,0.9,4.1,2.4,3.7,-0.3,-0.1,,-0.7,3,5,2,3,0,0,,0,297,116,69,78,130,57,,48
641487,"Crawford, J.P.",2026,67,0.5,0.3,-3.9,-1.9,2.9,,,,2,0,-3,-2,2,,,,278,120,80,86,56,,,
641355,"Bellinger, Cody",2026,67,0.8,-0.4,3.2,4.1,-1.5,7.9,,3,2,0,2,5,-1,4,,1,243,130,68,127,96,55,,35
687263,"Neto, Zach",2026,67,0.9,-0.6,1.6,0.6,-0.1,-1.9,,,2,-1,1,1,0,-1,,,235,149,68,184,99,55,,
672695,"Perdomo, Geraldo",2026,66,1.1,-1.7,-4.7,-1.2,-1.1,,,-3.3,3,-2,-2,-1,-1,,,-1,280,120,48,66,104,,,36
663728,"Raleigh, Cal",2026,66,-2.3,1.6,-1,-2,1.1,-2.3,,-0.2,-7,1,-1,-2,1,-2,,0,290,49,100,89,105,85,,36
664023,"Happ, Ian",2026,65,0.1,1.1,5.7,2.8,-1.5,-0.6,,1.3,0,1,4,3,-3,0,,1,303,60,77,99,168,74,,45
702284,"Young, Cole",2026,65,-0.7,-0.1,1.4,2.3,-3.3,,,,-2,0,1,2,-3,,,,271,135,57,99,98,,,
678246,"Vargas, Miguel",2026,65,1.5,2.1,-0.1,-0.6,3,4.1,,,4,4,0,-1,2,2,,,259,177,66,130,60,41,,
800050,"DeLauter, Chase",2026,65,0.9,4.1,,6,-2.5,-3.4,,,2,4,,5,-3,-2,,,240,100,,90,110,45,,
686217,"Frelick, Sal",2026,65,-2.2,1.8,0.1,0.4,,,,,-6,2,0,0,,,,,278,93,79,62,,,,
621020,"Swanson, Dansby",2026,64,0.8,1.4,0.9,-3.4,-4.5,,,,2,2,0,-5,-4,,,,202,118,43,160,79,,,
