player_name,player_name_norm,team,primary_position,all_positions,fp_ros_rank,fp_pos_rank
Aaron Judge,aaron judge,NYY,OF,"LF,CF,RF,DH",1,OF1
Bobby Witt Jr.,bobby witt jr.,KC,SS,SS,2,SS1
Shohei Ohtani,shohei ohtani,LAD,DH,"SP,DH",3,DH1
Paul Skenes,paul skenes,PIT,P,SP,4,SP1
Jose Ramirez,jose ramirez,CLE,3B,"3B,DH",5,3B1
Elly De La Cruz,elly de la cruz,CIN,SS,SS,6,SS2
Juan Soto,juan soto,NYM,OF,"LF,RF,DH",7,OF2
Yordan Alvarez,yordan alvarez,HOU,OF,"LF,DH",8,OF3
Julio Rodriguez,julio rodriguez,SEA,OF,CF,9,OF4
Kyle Tucker,kyle tucker,LAD,OF,"RF,DH",10,OF5
Corbin Carroll,corbin carroll,ARI,OF,"CF,RF",11,OF6
Ronald Acuna Jr.,ronald acuna jr.,ATL,OF,RF,12,OF7
Gunnar Henderson,gunnar henderson,BAL,SS,SS,13,SS3
Cristopher Sanchez,cristopher sanchez,PHI,P,SP,14,SP2
Junior Caminero,junior caminero,TB,3B,3B,15,3B2
Chris Sale,chris sale,ATL,P,SP,16,SP3
Fernando Tatis Jr.,fernando tatis jr.,SD,OF,"2B,RF",17,OF8
Kyle Schwarber,kyle schwarber,PHI,DH,"LF,DH",18,DH2
Vladimir Guerrero Jr.,vladimir guerrero jr.,TOR,1B,"1B,DH",19,1B1
Mason Miller,mason miller,SD,P,RP,20,RP1
Yoshinobu Yamamoto,yoshinobu yamamoto,LAD,P,SP,21,SP4
Nick Kurtz,nick kurtz,ATH,1B,1B,22,1B2
Jacob deGrom,jacob degrom,TEX,P,SP,23,SP5
James Wood,james wood,WSH,OF,"LF,RF,DH",24,OF9
Logan Gilbert,logan gilbert,SEA,P,SP,25,SP6
Max Fried,max fried,NYY,P,SP,26,SP7
Trea Turner,trea turner,PHI,SS,SS,27,SS4
Matt Olson,matt olson,ATL,1B,1B,28,1B3
Ketel Marte,ketel marte,ARI,2B,"2B,DH",29,2B1
Garrett Crochet,garrett crochet,BOS,P,SP,30,SP8
Jazz Chisholm Jr.,jazz chisholm jr.,NYY,2B,"2B,3B",31,2B2
Jackson Chourio,jackson chourio,MIL,OF,"LF,CF,RF",32,OF10
Zach Neto,zach neto,LAA,SS,SS,33,SS5
Pete Crow-Armstrong,pete crow-armstrong,CHC,OF,CF,34,OF11
Bryce Harper,bryce harper,PHI,1B,1B,35,1B4
Bryan Woo,bryan woo,SEA,P,SP,36,SP9
Ben Rice,ben rice,NYY,1B,"C,1B,DH",37,1B5
CJ Abrams,cj abrams,WSH,SS,SS,38,SS6
Manny Machado,manny machado,SD,3B,3B,39,3B3
Pete Alonso,pete alonso,BAL,1B,"1B,DH",40,1B6
Cade Smith,cade smith,CLE,P,RP,41,RP2
Freddie Freeman,freddie freeman,LAD,1B,1B,42,1B7
Brice Turang,brice turang,MIL,2B,2B,43,2B3
Brent Rooker,brent rooker,ATH,OF,"LF,RF,DH",44,OF12
Cam Schlittler,cam schlittler,NYY,P,SP,45,SP10
Sal Stewart,sal stewart,CIN,1B,"1B,2B,3B",46,1B8
Dylan Cease,dylan cease,TOR,P,SP,47,SP11
Freddy Peralta,freddy peralta,NYM,P,SP,48,SP12
Andres Munoz,andres munoz,SEA,P,RP,49,RP3
Oneil Cruz,oneil cruz,PIT,CF,CF,50,CF1
Drake Baldwin,drake baldwin,ATL,C,"C,DH",51,C1
Shea Langeliers,shea langeliers,ATH,C,"C,DH",52,C2
Riley Greene,riley greene,DET,OF,"LF,CF,RF,DH",53,OF13
Maikel Garcia,maikel garcia,KC,2B,"2B,3B,SS,OF",54,2B4
Austin Riley,austin riley,ATL,3B,3B,55,3B4
Cal Raleigh,cal raleigh,SEA,C,"C,DH",56,C3
Jesus Luzardo,jesus luzardo,PHI,P,SP,57,SP13
Byron Buxton,byron buxton,MIN,CF,"CF,DH",58,CF2
Nolan McLean,nolan mclean,NYM,P,SP,59,SP14
Logan Webb,logan webb,SF,P,SP,60,SP15
George Kirby,george kirby,SEA,P,SP,61,SP16
Nico Hoerner,nico hoerner,CHC,2B,2B,62,2B5
Joe Ryan,joe ryan,MIN,P,SP,63,SP17
Jackson Merrill,jackson merrill,SD,CF,CF,64,CF3
Zack Wheeler,zack wheeler,PHI,P,SP,65,SP18
Aroldis Chapman,aroldis chapman,BOS,P,RP,66,RP4
William Contreras,william contreras,MIL,C,"C,DH",67,C4
Michael Harris II,michael harris ii,ATL,OF,CF,68,OF14
David Bednar,david bednar,NYY,P,RP,69,RP5
Mookie Betts,mookie betts,LAD,SS,SS,70,SS7
Cole Ragans,cole ragans,KC,P,SP,71,SP19
Jhoan Duran,jhoan duran,PHI,P,RP,72,RP6
Cody Bellinger,cody bellinger,NYY,OF,"LF,CF,RF",73,OF15
Seiya Suzuki,seiya suzuki,CHC,OF,"LF,RF,DH",74,OF16
Josh Naylor,josh naylor,SEA,1B,"1B,DH",75,1B9
Mike Trout,mike trout,LAA,OF,"CF,RF,DH",76,OF17
Kevin Gausman,kevin gausman,TOR,P,SP,77,SP20
Tarik Skubal,tarik skubal,DET,P,SP,78,SP21
Jacob Misiorowski,jacob misiorowski,MIL,P,SP,79,SP22
Andy Pages,andy pages,LAD,OF,"LF,CF,RF",80,OF18
Framber Valdez,framber valdez,DET,P,SP,81,SP23
Corey Seager,corey seager,TEX,SS,SS,82,SS8
Geraldo Perdomo,geraldo perdomo,ARI,SS,SS,83,SS9
Hunter Goodman,hunter goodman,COL,C,"C,DH",84,C5
Shota Imanaga,shota imanaga,CHC,P,SP,85,SP24
Rafael Devers,rafael devers,SF,1B,"1B,DH",86,1B10
Devin Williams,devin williams,NYM,P,RP,87,RP7
Bo Bichette,bo bichette,NYM,SS,"3B,SS",88,SS10
Chase Burns,chase burns,CIN,P,"SP,RP",89,"SP,RP1"
Alex Bregman,alex bregman,CHC,3B,3B,90,3B5
Munetaka Murakami,munetaka murakami,CWS,1B,"1B,3B",91,1B11
Francisco Lindor,francisco lindor,NYM,SS,SS,92,SS11
Jarren Duran,jarren duran,BOS,OF,"LF,CF,DH",93,OF19
Roman Anthony,roman anthony,BOS,OF,"LF,CF,RF,DH",94,OF20
Yandy Diaz,yandy diaz,TB,1B,"1B,DH",95,1B12
Vinnie Pasquantino,vinnie pasquantino,KC,1B,"1B,DH",96,1B13
Randy Arozarena,randy arozarena,SEA,OF,"LF,CF",97,OF21
Kevin McGonigle,kevin mcgonigle,DET,SS,"3B,SS",98,SS12
Tyler Glasnow,tyler glasnow,LAD,P,SP,99,SP25
Ozzie Albies,ozzie albies,ATL,2B,2B,100,2B6
Gavin Williams,gavin williams,CLE,P,SP,101,SP26
Teoscar Hernandez,teoscar hernandez,LAD,OF,"LF,RF",102,OF22
George Springer,george springer,TOR,OF,"LF,CF,RF,DH",103,OF23
Sandy Alcantara,sandy alcantara,MIA,P,SP,104,SP27
Tyler Soderstrom,tyler soderstrom,ATH,1B,"1B,LF",105,1B14
Drew Rasmussen,drew rasmussen,TB,P,SP,106,SP28
Parker Messick,parker messick,CLE,P,SP,107,SP29
Wyatt Langford,wyatt langford,TEX,OF,"LF,CF",108,OF24
Jo Adell,jo adell,LAA,OF,"LF,CF,RF",109,OF25
Michael King,michael king,SD,P,SP,110,SP30
Alec Burleson,alec burleson,STL,OF,"1B,LF,RF,DH",111,OF26
Eury Perez,eury perez,MIA,P,SP,112,SP31
Nathan Eovaldi,nathan eovaldi,TEX,P,SP,113,SP32
JJ Wetherholt,jj wetherholt,STL,SS,"2B,3B,SS",114,SS13
Emmet Sheehan,emmet sheehan,LAD,P,SP,115,SP33
Daniel Palencia,daniel palencia,CHC,P,RP,116,RP8
Hunter Brown,hunter brown,HOU,P,SP,117,SP34
Kyle Bradish,kyle bradish,BAL,P,SP,118,SP35
Sonny Gray,sonny gray,BOS,P,SP,119,SP36
Jose Altuve,jose altuve,HOU,2B,"2B,LF,DH",120,2B7
Will Smith,will smith,LAD,C,C,121,C6
Ranger Suarez,ranger suarez,BOS,P,SP,122,SP37
Dansby Swanson,dansby swanson,CHC,SS,SS,123,SS14
Jose Soriano,jose soriano,LAA,P,SP,124,SP38
Brandon Nimmo,brandon nimmo,TEX,OF,"LF,CF,RF",125,OF27
Ivan Herrera,ivan herrera,STL,C,"C,DH",126,C7
Willy Adames,willy adames,SF,SS,SS,127,SS15
Robbie Ray,robbie ray,SF,P,SP,128,SP39
Jordan Walker,jordan walker,STL,OF,"LF,RF",129,OF28
Ian Happ,ian happ,CHC,OF,LF,130,OF29
Taylor Ward,taylor ward,BAL,OF,LF,131,OF30
Christian Walker,christian walker,HOU,1B,1B,132,1B15
Otto Lopez,otto lopez,MIA,2B,"2B,SS",133,2B8
Shane McClanahan,shane mcclanahan,TB,P,SP,134,SP40
Michael Busch,michael busch,CHC,1B,1B,135,1B16
Chandler Simpson,chandler simpson,TB,OF,"LF,CF",136,OF31
Christian Yelich,christian yelich,MIL,OF,"LF,DH",137,OF32
Blake Snell,blake snell,LAD,P,SP,138,SP41
Willson Contreras,willson contreras,BOS,1B,1B,139,1B17
Louis Varland,louis varland,TOR,P,RP,140,RP9
Kenley Jansen,kenley jansen,DET,P,RP,141,RP10
Raisel Iglesias,raisel iglesias,ATL,P,RP,142,RP11
Jeremy Pena,jeremy pena,HOU,SS,SS,143,SS16
Josh Hader,josh hader,HOU,P,RP,144,RP12
Ryan Helsley,ryan helsley,BAL,P,RP,145,RP13
Carlos Rodon,carlos rodon,NYY,P,SP,146,SP42
Brandon Lowe,brandon lowe,PIT,2B,2B,147,2B9
Bryan Baker,bryan baker,TB,P,RP,148,RP14
Mickey Moniak,mickey moniak,COL,OF,"LF,CF,RF,DH",149,OF33
Salvador Perez,salvador perez,KC,C,"C,1B,DH",150,C8
Kris Bubic,kris bubic,KC,P,SP,151,SP43
Matt Chapman,matt chapman,SF,3B,3B,152,3B6
Trey Yesavage,trey yesavage,TOR,P,SP,153,SP44
Braxton Ashcraft,braxton ashcraft,PIT,P,"SP,RP",154,"SP,RP2"
Wilyer Abreu,wilyer abreu,BOS,OF,"LF,CF,RF",155,OF34
Steven Kwan,steven kwan,CLE,OF,"LF,CF",156,OF35
Pete Fairbanks,pete fairbanks,MIA,P,RP,157,RP15
Bryan Reynolds,bryan reynolds,PIT,OF,"LF,CF,RF,DH",158,OF36
Edward Cabrera,edward cabrera,CHC,P,SP,159,SP45
Jacob Wilson,jacob wilson,ATH,SS,SS,160,SS17
Xavier Edwards,xavier edwards,MIA,SS,"2B,SS",161,SS18
Tanner Bibee,tanner bibee,CLE,P,SP,162,SP46
Miguel Vargas,miguel vargas,CWS,3B,"1B,3B",163,3B7
Spencer Strider,spencer strider,ATL,P,SP,164,SP47
MacKenzie Gore,mackenzie gore,TEX,P,SP,165,SP48
Nick Lodolo,nick lodolo,CIN,P,SP,166,SP49
Konnor Griffin,konnor griffin,PIT,SS,"SS,CF",167,SS19
Gerrit Cole,gerrit cole,NYY,P,SP,168,SP50
Kyle Stowers,kyle stowers,MIA,OF,"LF,CF,RF",169,OF37
Xander Bogaerts,xander bogaerts,SD,SS,SS,170,SS20
Adley Rutschman,adley rutschman,BAL,C,C,171,C9
Abner Uribe,abner uribe,MIL,P,RP,172,RP16
Trevor Story,trevor story,BOS,SS,SS,173,SS21
Jonathan Aranda,jonathan aranda,TB,1B,1B,174,1B18
Riley O'Brien,riley o'brien,STL,P,RP,175,RP17
Eugenio Suarez,eugenio suarez,CIN,3B,"3B,DH",176,3B8
Luke Keaschall,luke keaschall,MIN,2B,2B,177,2B10
Isaac Paredes,isaac paredes,HOU,3B,"1B,3B",178,3B9
Lucas Erceg,lucas erceg,KC,P,RP,179,RP18
Ramon Laureano,ramon laureano,SD,OF,"LF,CF,RF",180,OF38
Tanner Scott,tanner scott,LAD,P,RP,181,RP19
