mlbam_id,xwoba_gap,babip_allowed,pa,year
424144,0.068,0.3333,24.0,2022
425794,0.0026,0.359,116.0,2022
425844,-0.1037,0.2632,87.0,2022
434378,-0.0344,0.2208,92.0,2022
445276,-0.0686,0.15,32.0,2022
445926,0.0001,0.4103,42.0,2022
446372,-0.0359,0.3067,83.0,2022
448179,-0.0028,0.3425,71.0,2022
448281,-0.07,0.2143,17.0,2022
450203,0.0014,0.3103,86.0,2022
453178,-0.0164,0.25,42.0,2022
453268,0.0192,0.2727,29.0,2022
453284,0.0,0.5,,2022
453286,-0.0432,0.1923,94.0,2022
453343,-0.031,0.3529,34.0,2022
455119,0.113,0.4231,31.0,2022
456034,0.0533,0.2941,18.0,2022
456713,0.0394,0.24,36.0,2022
458677,0.0589,0.4286,13.0,2022
458681,0.0,0.5385,,2022
459429,-0.1262,0.1667,27.0,2022
461325,0.0,0.0,,2022
468504,-0.0138,0.1892,45.0,2022
471911,-0.0276,0.2778,87.0,2022
472610,-0.0111,0.2381,27.0,2022
475479,0.0153,0.3,31.0,2022
476595,0.0395,0.4091,32.0,2022
477132,-0.0101,0.25,85.0,2022
489265,0.0424,0.125,8.0,2022
489334,0.0352,0.2308,31.0,2022
491624,0.0,,,2022
493603,0.0575,0.3871,37.0,2022
500779,-0.0363,0.2879,78.0,2022
501381,-0.0658,0.2,39.0,2022
501625,-0.1063,0.1667,20.0,2022
501925,-0.0347,0.2143,29.0,2022
502042,-0.0077,0.2182,66.0,2022
502043,-0.0036,0.2447,110.0,2022
502085,-0.0769,0.0556,31.0,2022
502171,0.0885,0.4118,40.0,2022
502179,-0.0798,0.3529,47.0,2022
502202,-0.0559,0.3077,30.0,2022
502624,0.0,0.4286,,2022
503285,-0.0986,0.1538,16.0,2022
503449,-0.0296,0.375,25.0,2022
506433,-0.0251,0.2584,111.0,2022
517008,0.0158,0.4118,31.0,2022
518489,-0.045,0.2917,30.0,2022
518516,-0.0058,0.1795,93.0,2022
518553,0.0056,0.3846,38.0,2022
518617,0.0596,0.3125,33.0,2022
518748,0.0347,0.4737,22.0,2022
518813,0.0059,0.2353,20.0,2022
518876,-0.028,0.2584,114.0,2022
518886,0.0175,0.3333,18.0,2022
519008,0.0131,0.3333,25.0,2022
519043,-0.0031,0.2222,36.0,2022
519151,0.0515,0.2727,13.0,2022
519293,0.0015,0.0714,35.0,2022
519326,0.032,0.3514,42.0,2022
520980,0.0367,0.4091,16.0,2022
521230,0.0153,0.4688,43.0,2022
527048,0.0056,0.2667,82.0,2022
528748,0.0358,0.3,62.0,2022
541640,-0.024,0.25,26.0,2022
542585,0.0,0.0,,2022
542881,-0.0604,0.2449,66.0,2022
542888,0.0782,0.3824,34.0,2022
542914,-0.056,0.1538,39.0,2022
542947,0.0901,0.4091,22.0,2022
543037,-0.0148,0.2429,100.0,2022
543056,-0.0224,0.1905,31.0,2022
543101,0.0694,0.4107,63.0,2022
543135,-0.0056,0.2211,113.0,2022
543238,-0.0357,0.2143,23.0,2022
543243,-0.0044,0.12,27.0,2022
543272,0.0323,0.3333,19.0,2022
543294,-0.0144,0.25,110.0,2022
543339,-0.0234,0.2,26.0,2022
543475,0.0223,0.2892,91.0,2022
543507,0.0309,0.3,35.0,2022
543521,0.0616,0.3846,36.0,2022
543606,-0.0035,0.3137,68.0,2022
543766,-0.078,0.2963,25.0,2022
543829,0.0829,0.25,8.0,2022
544365,0.0,0.4167,,2022
544727,0.0259,0.3043,35.0,2022
545343,0.031,0.1875,22.0,2022
547001,-0.0298,0.3,34.0,2022
547179,-0.03,0.2037,60.0,2022
547184,0.0,0.3333,,2022
547943,0.0543,0.3214,35.0,2022
547973,-0.0695,0.1053,34.0,2022
548384,-0.0046,0.3529,25.0,2022
548389,-0.0435,0.2857,62.0,2022
552640,-0.0249,0.2121,34.0,2022
554340,0.017,0.2581,33.0,2022
554430,0.0125,0.3091,83.0,2022
554431,-0.067,0.1905,29.0,2022
570240,0.0,0.4286,,2022
570257,-0.0353,0.1905,30.0,2022
570488,-0.0767,0.125,32.0,2022
570632,-0.0242,0.2903,36.0,2022
570663,-0.0739,0.1875,37.0,2022
570666,-0.0367,0.3939,33.0,2022
571479,0.0148,0.2,20.0,2022
571578,0.0533,0.4355,100.0,2022
571656,0.0208,0.3077,43.0,2022
571710,0.0451,0.3529,33.0,2022
571760,-0.0131,0.2,40.0,2022
571800,-0.0171,0.2,45.0,2022
571863,0.0221,0.2,19.0,2022
571871,0.0,0.3,,2022
571901,-0.0387,0.1,41.0,2022
571927,0.005,0.3768,81.0,2022
571945,-0.0117,0.2075,116.0,2022
571946,0.0,0.3333,,2022
571948,-0.0132,0.2381,26.0,2022
571976,0.279,0.0,5.0,2022
572070,-0.0456,0.1667,37.0,2022
572125,-0.0675,0.25,10.0,2022
572193,-0.077,0.1429,40.0,2022
572371,0.0,0.0,,2022
572383,0.2752,0.4,4.0,2022
572403,0.0405,0.3333,22.0,2022
572703,0.0,0.5,,2022
572955,0.0488,0.4,28.0,2022
572971,0.0962,0.3846,58.0,2022
573009,-0.0222,0.3103,30.0,2022
573124,-0.1585,0.1905,31.0,2022
573185,0.0,0.2222,,2022
573186,0.0035,0.2857,86.0,2022
573204,0.0632,0.5,32.0,2022
579328,0.0314,0.2727,71.0,2022
592094,-0.092,0.0,30.0,2022
592155,0.0,0.3333,,2022
592169,0.0,0.75,,2022
592222,0.0,0.5,,2022
592332,-0.0263,0.3293,95.0,2022
592351,-0.0255,0.25,36.0,2022
592390,0.06,0.2667,39.0,2022
592411,0.0,0.4444,,2022
592454,0.0,0.0,,2022
592473,0.032,0.3529,27.0,2022
592662,-0.0092,0.2816,125.0,2022
592716,0.0,0.4444,,2022
592717,0.0225,0.3438,38.0,2022
592741,-0.0891,0.2353,32.0,2022
592761,0.0997,0.1379,26.0,2022
592767,0.0131,0.28,78.0,2022
592773,-0.0677,0.1429,31.0,2022
592789,-0.0313,0.2,66.0,2022
592791,0.0389,0.3115,77.0,2022
592804,0.1721,0.4118,24.0,2022
592826,-0.0323,0.3158,79.0,2022
