pitcher_id,name,curr_swstr_pct,curr_fb_velo,curr_spin_rate,n_fastballs,n_pa
663903,"Singer, Brady",0.125,90.3,2442.0,210,70
691587,"Pérez, Eury",0.26,98.2,2650.0,226,69
694819,"Misiorowski, Jacob",0.436,98.8,2576.0,283,65
592332,"Gausman, Kevin",0.226,93.8,2248.0,223,64
671096,"Abbott, Andrew",0.061,92.4,2307.0,216,63
671737,"Bradley, Taj",0.127,96.3,2280.0,239,61
669194,"Nelson, Ryne",0.225,95.9,2305.0,226,61
650911,"Sánchez, Cristopher",0.138,94.7,2135.0,213,61
664285,"Valdez, Framber",0.108,93.9,2170.0,225,61
605280,"Holmes, Clay",0.082,94.6,2309.0,215,60
695505,"Burns, Chase",0.212,98.1,2543.0,250,60
625643,"López, Reynaldo",0.118,93.9,2014.0,206,59
592662,"Ray, Robbie",0.212,93.5,2355.0,222,57
656427,"Flaherty, Jack",0.189,92.6,2245.0,190,57
543135,"Eovaldi, Nathan",0.2,94.5,2168.0,57,18
669923,"Kirby, George",0.228,96.6,2197.0,183,55
676282,"Cantillo, Joey",0.149,91.7,1868.0,210,55
657277,"Webb, Logan",0.259,,,42,13
680573,"Woods Richardson, Simeon",0.124,92.5,2189.0,188,54
663460,"Bubic, Kris",0.289,91.5,2415.0,188,53
666142,"Ragans, Cole",0.221,94.2,2522.0,207,53
693433,"Woo, Bryan",0.27,95.5,2211.0,220,53
641778,"Lauer, Eric",0.194,90.3,2121.0,183,53
642547,"Peralta, Freddy",0.26,93.6,2404.0,234,52
676755,"Mattson, Isaac",0.16,93.6,2358.0,198,51
669461,"Liberatore, Matthew",0.085,94.4,2073.0,156,50
593958,"Rodriguez, Eduardo",0.208,91.8,2254.0,171,39
657746,"Ryan, Joe",0.261,92.7,2261.0,215,49
669432,"Rogers, Trevor",0.202,92.5,2444.0,201,49
605288,"Houser, Adrian",0.267,,,48,11
693821,"Elder, Bryce",0.105,92.4,2218.0,96,21
686799,"Kochanowicz, Jack",0.175,96.2,2315.0,97,27
656302,"Cease, Dylan",0.326,98.0,2510.0,191,48
656550,"Holmes, Grant",0.184,94.7,2336.0,159,47
624133,"Suarez, Ranger",0.111,91.9,2067.0,59,12
669358,"Baz, Shane",0.239,96.9,2445.0,172,38
571927,"Matz, Steven",0.185,93.0,2226.0,190,47
519242,"Sale, Chris",0.198,95.2,2278.0,171,45
667755,"Soriano, José",0.164,97.9,2248.0,134,33
684007,"Imanaga, Shota",0.177,92.0,2530.0,204,45
678394,"Bello, Brayan",0.183,93.2,2028.0,148,45
669373,"Skubal, Tarik",0.176,96.7,2331.0,168,45
680732,"Burke, Sean",0.191,93.9,2539.0,167,45
641816,"Mahle, Tyler",0.185,92.6,2327.0,207,45
696149,"Chandler, Bubba",0.223,98.9,2435.0,197,45
669022,"Gore, MacKenzie",0.266,95.7,2247.0,182,45
680736,"Wrobleski, Justin",0.1,93.8,2416.0,170,45
808963,"Sasaki, Roki",0.179,97.0,2130.0,152,44
690986,"Harrison, Kyle",0.305,94.6,2356.0,196,44
607259,"Martinez, Nick",0.136,,,49,13
672282,"Detmers, Reid",0.191,94.1,2156.0,197,39
622491,"Castillo, Luis",0.276,95.1,2257.0,185,44
645261,"Alcantara, Sandy",0.118,97.2,2251.0,98,38
605135,"Bassitt, Chris",0.263,,,46,12
701542,"Warren, Will",0.247,93.9,2550.0,185,43
677958,"Rocker, Kumar",0.183,95.2,2133.0,142,43
680694,"Bradish, Kyle",0.125,93.9,2373.0,71,18
677944,"Cecconi, Slade",0.237,92.9,2353.0,157,43
656849,"Peterson, David",0.265,91.7,2168.0,75,15
681190,"Vásquez, Randy",0.239,94.9,2440.0,135,43
690997,"McLean, Nolan",0.167,96.5,2371.0,84,16
683175,"Phillips, Connor",0.2,98.1,2500.0,137,28
605488,"Springs, Jeffrey",0.202,91.2,2187.0,193,42
801403,"Dollander, Chase",0.305,99.1,2362.0,154,42
694738,"Roupp, Landen",0.131,92.9,2144.0,187,41
605540,"Woodruff, Brandon",0.247,92.4,2365.0,124,41
641743,"Kay, Anthony",0.134,95.9,2356.0,145,41
660271,"Ohtani, Shohei",0.27,98.0,2488.0,164,41
607067,"Rea, Colin",0.127,94.1,2142.0,140,41
663978,"Paddack, Chris",0.172,93.0,2187.0,136,30
693645,"Schlittler, Cam",0.427,97.5,2427.0,162,41
663855,"Hicks, Jordan",0.083,97.5,2050.0,130,40
608379,"Wacha, Michael",0.258,93.0,2181.0,129,40
694335,"Svanson, Matt",0.123,95.9,2263.0,128,40
668678,"Gallen, Zac",0.043,93.5,2316.0,162,40
594798,"deGrom, Jacob",0.256,97.0,2459.0,155,39
676979,"Crochet, Garrett",0.242,95.9,2394.0,121,28
669372,"Ginn, J.T.",0.167,94.5,2057.0,125,39
665795,"Cabrera, Edward",0.25,95.7,2215.0,69,16
695076,"Lowder, Rhett",0.104,93.0,2256.0,112,26
663687,"Harris, Hogan",0.203,95.2,2325.0,154,38
601713,"Pivetta, Nick",0.238,94.1,2339.0,163,38
676106,"Hancock, Emerson",0.299,94.9,2517.0,168,38
607192,"Glasnow, Tyler",0.129,95.2,2527.0,140,38
592836,"Walker, Taijuan",0.0,,,42,11
680802,"Weiss, Ryan",0.133,95.3,2453.0,154,37
669387,"Mlodzinski, Carmen",0.17,94.7,2066.0,121,37
676440,"Bibee, Tanner",0.095,94.2,2159.0,147,37
641927,"Ober, Bailey",0.217,88.8,2322.0,144,31
663554,"Mize, Casey",0.25,93.3,2189.0,147,35
676083,"Junk, Janson",0.169,94.2,2304.0,127,37
622663,"Severino, Luis",0.268,96.8,2219.0,84,20
671922,"Smith, Cade",0.257,96.5,2277.0,152,37
663623,"Irvin, Jake",0.254,93.0,2347.0,132,36
643511,"Rogers, Tyler",0.104,82.6,1985.0,115,36
676962,"Brown, Ben",0.185,96.5,2204.0,117,25
656605,"Keller, Mitch",0.152,93.2,2328.0,134,36
608331,"Fried, Max",0.286,94.6,2110.0,108,27
681347,"Burrows, Mike",0.16,95.0,2296.0,108,24
666200,"Luzardo, Jesús",0.194,97.2,2267.0,123,35
800048,"Messick, Parker",0.123,93.5,2141.0,142,33
605400,"Nola, Aaron",0.222,91.7,2340.0,130,30
641835,"Mayza, Tim",0.237,94.0,2010.0,132,35
641941,"Pagán, Emilio",0.194,94.2,2557.0,121,35
686218,"Sheehan, Emmet",0.241,94.2,2401.0,134,23
677960,"Weathers, Ryan",0.234,95.9,2319.0,146,35
592773,"Stanek, Ryne",0.296,98.2,2342.0,127,35
682227,"Williamson, Brandon",0.094,92.5,2180.0,98,24
682052,"Lopez, Jacob",0.145,90.5,2139.0,148,34
694477,"Patrick, Chad",0.116,93.9,2285.0,96,26
607200,"Fedde, Erick",0.036,93.1,1992.0,78,17
681517,"Leahy, Kyle",0.094,93.5,2187.0,135,29
650633,"King, Michael",0.483,93.9,2305.0,77,20
808967,"Yamamoto, Yoshinobu",0.207,95.4,2226.0,120,32
647336,"Soroka, Michael",0.17,94.0,2492.0,126,30
683004,"Leiter, Jack",0.256,96.8,2446.0,179,34
608566,"Márquez, Germán",0.207,94.3,2146.0,121,34
696147,"Bachman, Sam",0.278,98.7,2345.0,65,16
668909,"Williams, Gavin",0.283,96.7,2286.0,132,34
676617,"O'Brien, Riley",0.288,98.1,2208.0,107,33
571510,"Boyd, Matthew",0.333,92.7,2313.0,135,33
656876,"Rasmussen, Drew",0.205,96.0,2515.0,83,15
656492,"Griffin, Foster",0.069,91.5,2032.0,69,18
676917,"Cavalli, Cade",0.172,96.2,2312.0,134,33
650644,"Civale, Aaron",0.154,91.4,2402.0,51,16
595345,"Okert, Steven",0.154,90.6,2172.0,60,14
678606,"Ferrer, Jose A.",0.164,95.7,2272.0,117,32
641793,"Littell, Zack",0.064,91.3,2010.0,92,32
527048,"Pérez, Martín",0.068,90.7,2090.0,115,32
665871,"Assad, Javier",0.089,92.9,2145.0,110,32
669302,"Gilbert, Logan",0.228,95.5,2105.0,168,23
656641,"Latz, Jacob",0.125,93.3,2216.0,106,32
700241,"McGreevy, Michael",0.094,91.2,2251.0,111,31
678906,"Teng, Kai-Wei",0.161,95.0,2500.0,72,16
813349,"Early, Connelly",0.2,93.7,2330.0,147,31
