batter_id,player_name,april_pa,career_pa,signal,april_hr,april_avg,april_xwoba,april_barrel_pct,proj_remaining_hr,proj_remaining_avg,proj_remaining_r,proj_remaining_rbi,proj_full_hr,proj_full_avg,proj_full_r,proj_full_rbi,actual_hr,actual_avg,actual_r,actual_rbi,actual_fpts
467793,Carlos Santana,120,1719,Neutral,2,0.215,0.271,7.0,11,0.228,47,41,13,0.226,58,50,11.0,0.219,49.0,54.0,261.5
502054,Tommy Pham,105,1581,Neutral,0,0.168,0.233,3.0,8,0.246,48,41,8,0.233,55,46,10.0,0.245,44.0,52.0,253.0
502671,Paul Goldschmidt,130,1992,Sell High,2,0.35,0.375,9.6,13,0.273,55,50,15,0.289,72,65,10.0,0.274,76.0,45.0,317.0
514888,Jose Altuve,127,1696,Slight Sell,4,0.271,0.264,6.5,12,0.292,56,51,16,0.288,71,65,26.0,0.265,80.0,77.0,435.5
521692,Salvador Perez,123,1705,Buy Low,2,0.233,0.397,15.4,18,0.309,64,60,20,0.294,75,70,30.0,0.236,54.0,100.0,397.5
527038,Wilmer Flores,117,1298,Neutral,7,0.229,0.282,7.2,11,0.244,49,44,18,0.241,63,58,16.0,0.241,44.0,71.0,273.0
543760,Marcus Semien,124,2195,Buy Low,2,0.179,0.306,9.1,13,0.269,54,49,15,0.252,64,57,15.0,0.23,62.0,62.0,324.5
543807,George Springer,102,1880,Neutral,2,0.299,0.358,14.5,15,0.268,56,50,17,0.273,68,60,32.0,0.309,106.0,84.0,525.5
545361,Mike Trout,120,987,Buy Low,9,0.178,0.359,16.9,19,0.298,64,58,28,0.276,78,72,26.0,0.232,73.0,64.0,345.0
547180,Bryce Harper,135,1603,Slight Buy,5,0.234,0.37,11.6,16,0.303,62,55,21,0.29,77,68,27.0,0.261,72.0,75.0,428.5
553993,Eugenio Suárez,120,1963,Slight Buy,10,0.2,0.362,18.1,17,0.274,58,53,27,0.261,74,69,49.0,0.228,91.0,118.0,489.0
571448,Nolan Arenado,122,1867,Neutral,3,0.243,0.293,5.1,11,0.277,55,48,14,0.271,68,59,12.0,0.237,48.0,52.0,263.5
571970,Max Muncy,101,1437,Neutral,1,0.195,0.315,10.9,12,0.228,48,42,13,0.223,56,48,9.0,0.214,17.0,23.0,98.0
572233,Christian Walker,119,1880,Neutral,4,0.196,0.29,12.7,14,0.25,53,47,18,0.24,64,57,27.0,0.238,72.0,88.0,371.5
573262,Mike Yastrzemski,107,1413,Slight Sell,5,0.275,0.341,8.6,11,0.24,49,42,16,0.246,63,54,17.0,0.233,68.0,46.0,338.0
