stat,group,n,MAE,bias,R2
HR,All,141,6.7,-3.78,0.317
HR,career_pa < 1000,39,5.18,-2.05,0.416
HR,career_pa >= 1000,102,7.28,-4.44,0.279
HR,Buy Low,19,6.26,-2.47,0.339
HR,Sell High,8,6.12,-0.62,0.656
AVG,All,141,0.02,0.01,0.056
AVG,career_pa < 1000,39,0.02,0.0,0.186
AVG,career_pa >= 1000,102,0.02,0.01,-0.024
AVG,Buy Low,19,0.02,0.02,-1.232
AVG,Sell High,8,0.01,0.0,0.741
R,All,141,16.4,-3.62,0.217
R,career_pa < 1000,39,13.92,0.9,0.139
R,career_pa >= 1000,102,17.34,-5.34,0.199
R,Buy Low,19,15.68,3.26,0.232
R,Sell High,8,16.62,0.12,0.453
RBI,All,141,17.63,-9.65,0.084
RBI,career_pa < 1000,39,14.85,-5.92,0.181
RBI,career_pa >= 1000,102,18.7,-11.07,0.02
RBI,Buy Low,19,18.21,-9.26,0.101
RBI,Sell High,8,13.0,2.75,0.526
