sweep,param,value,signal,acc_2022,acc_2023,acc_2024,acc_2025,acc_4yr,n_total,n_2025,is_prod,is_recommended
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,3.5,SLIGHT_BUY,,1.0,1.0,1.0,1.0,5,2,False,True
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,3.6,SLIGHT_BUY,,1.0,1.0,1.0,1.0,5,2,False,False
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,3.7,SLIGHT_BUY,,1.0,1.0,1.0,1.0,5,2,False,False
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,3.75,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,3.8,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,3.9,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P1: Pitcher Slight Buy — ERA Floor,ERA Floor,4.0,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,True,False
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,3.5,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.8541666666666666,0.912568306010929,183,48,False,True
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,3.6,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.8541666666666666,0.912568306010929,183,48,False,False
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,3.7,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.8541666666666666,0.912568306010929,183,48,False,False
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,3.75,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.851063829787234,0.9120879120879121,182,47,False,False
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,3.8,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.851063829787234,0.9120879120879121,182,47,False,False
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,3.9,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.851063829787234,0.9120879120879121,182,47,False,False
P1: Pitcher Slight Buy ERA Floor — Overall Impact,ERA Floor,4.0,OVERALL,0.975,0.9166666666666666,0.9152542372881356,0.851063829787234,0.9120879120879121,182,47,True,False
P2: Pitcher Buy Low — ERA Floor,ERA Floor,3.0,BUY_LOW,1.0,0.8,0.7692307692307693,0.7272727272727273,0.7741935483870968,31,11,False,False
P2: Pitcher Buy Low — ERA Floor,ERA Floor,3.25,BUY_LOW,1.0,1.0,0.7692307692307693,0.7272727272727273,0.8,30,11,False,False
P2: Pitcher Buy Low — ERA Floor,ERA Floor,3.5,BUY_LOW,1.0,1.0,0.7692307692307693,0.7272727272727273,0.8,30,11,True,False
P2: Pitcher Buy Low — ERA Floor,ERA Floor,3.75,BUY_LOW,1.0,1.0,0.8333333333333334,0.8,0.8571428571428571,28,10,False,True
P2: Pitcher Buy Low — ERA Floor,ERA Floor,4.0,BUY_LOW,1.0,1.0,0.8181818181818182,0.8,0.8518518518518519,27,10,False,False
P3: Pitcher Buy Low — IP Minimum,Min IP,10.0,BUY_LOW,1.0,0.8,0.7692307692307693,0.7272727272727273,0.78125,32,11,False,False
P3: Pitcher Buy Low — IP Minimum,Min IP,15.0,BUY_LOW,1.0,0.8,0.7692307692307693,0.7272727272727273,0.78125,32,11,False,False
P3: Pitcher Buy Low — IP Minimum,Min IP,20.0,BUY_LOW,1.0,1.0,0.7692307692307693,0.7272727272727273,0.8,30,11,True,False
P3: Pitcher Buy Low — IP Minimum,Min IP,25.0,BUY_LOW,1.0,1.0,0.8181818181818182,0.7,0.8076923076923077,26,10,False,False
P3: Pitcher Buy Low — IP Minimum,Min IP,30.0,BUY_LOW,1.0,1.0,1.0,1.0,1.0,15,4,False,True
P3: Pitcher Slight Buy — IP Minimum,Min IP,10.0,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P3: Pitcher Slight Buy — IP Minimum,Min IP,15.0,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P3: Pitcher Slight Buy — IP Minimum,Min IP,20.0,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,True,False
P3: Pitcher Slight Buy — IP Minimum,Min IP,25.0,SLIGHT_BUY,,1.0,1.0,1.0,1.0,3,1,False,False
P3: Pitcher Slight Buy — IP Minimum,Min IP,30.0,SLIGHT_BUY,,,1.0,,1.0,1,0,False,False
P4: Pitcher Buy Low — FIP Ceiling,FIP Ceil,3.75,BUY_LOW,1.0,1.0,0.75,0.75,0.7916666666666666,24,8,False,True
P4: Pitcher Buy Low — FIP Ceiling,FIP Ceil,4.0,BUY_LOW,1.0,1.0,0.75,0.7272727272727273,0.7857142857142857,28,11,False,False
P4: Pitcher Buy Low — FIP Ceiling,FIP Ceil,4.25,BUY_LOW,1.0,1.0,0.75,0.7272727272727273,0.7931034482758621,29,11,False,False
P4: Pitcher Buy Low — FIP Ceiling,FIP Ceil,4.5,BUY_LOW,1.0,1.0,0.7692307692307693,0.7272727272727273,0.8,30,11,True,False
P4: Pitcher Buy Low — FIP Ceiling,FIP Ceil,4.75,BUY_LOW,1.0,1.0,0.7857142857142857,0.7272727272727273,0.8125,32,11,False,False
P4: Pitcher Buy Low — FIP Ceiling,FIP Ceil,5.0,BUY_LOW,1.0,1.0,0.7857142857142857,0.7272727272727273,0.8125,32,11,False,False
P5: Pitcher Buy Low — SwStr% Floor,SwStr Floor,0.06,BUY_LOW,1.0,1.0,0.7857142857142857,0.75,0.8125,32,12,False,True
P5: Pitcher Buy Low — SwStr% Floor,SwStr Floor,0.07,BUY_LOW,1.0,1.0,0.7857142857142857,0.75,0.8125,32,12,False,False
P5: Pitcher Buy Low — SwStr% Floor,SwStr Floor,0.08,BUY_LOW,1.0,1.0,0.7692307692307693,0.7272727272727273,0.8,30,11,True,False
P5: Pitcher Buy Low — SwStr% Floor,SwStr Floor,0.09,BUY_LOW,1.0,1.0,0.7692307692307693,0.7,0.7931034482758621,29,10,False,False
P5: Pitcher Buy Low — SwStr% Floor,SwStr Floor,0.1,BUY_LOW,1.0,1.0,0.75,0.7142857142857143,0.8,25,7,False,False
P6: Pitcher Slight Buy — Luck Score Lower Bound,SB LS Threshold,0.04,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P6: Pitcher Slight Buy — Luck Score Lower Bound,SB LS Threshold,0.05,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P6: Pitcher Slight Buy — Luck Score Lower Bound,SB LS Threshold,0.06,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,False,False
P6: Pitcher Slight Buy — Luck Score Lower Bound,SB LS Threshold,0.065,SLIGHT_BUY,,1.0,1.0,1.0,1.0,4,1,True,False
