player_name,signal,luck_gap,april_woba,april_xwoba,april_barrel_pct,ros_woba,ros_pa,delta,actual_direction,correct,miss,borderline,injury_flag,team_change,explainable,data_source
Tommy Edman,Slight Buy,0.1015,0.2785,0.38,10.2,0.287,204,0.0085,flat,0,1,0,0,1,1,computed
Ty France,Slight Buy,0.0694,0.3116,0.381,14.0,0.2975,265,-0.014,flat,0,1,0,0,1,1,computed
Trea Turner,Slight Sell,0.0428,0.3358,0.293,3.5,0.3577,355,0.0219,improved,0,1,0,0,1,1,computed
Rafael Devers,Slight Buy,0.0401,0.3559,0.396,23.2,0.3689,350,0.0129,flat,0,1,0,0,1,1,computed
Sal Frelick,Slight Sell,0.027,0.336,0.309,1.0,0.3302,278,-0.0058,flat,0,1,0,0,1,1,computed
Andy Pages,Slight Sell,0.0256,0.3326,0.307,8.7,0.3318,319,-0.0008,flat,0,1,0,0,1,1,computed
Matt Olson,Buy Low,0.023,0.375,0.398,16.7,0.3626,352,-0.0124,flat,0,1,0,0,1,1,computed
Eric Wagaman,Buy Low,0.01,0.354,0.364,8.8,0.2697,272,-0.0844,declined,0,1,1,0,1,1,computed
Eugenio Suárez,Slight Buy,0.0,0.362,0.362,18.1,0.347,,-0.015,declined,0,1,1,0,1,1,fs_proxy
Alex Bregman,Sell High,0.0,0.356,0.356,11.1,0.356,133,0.0,flat,0,1,1,1,0,1,fs_proxy
Ryan Mountcastle,Slight Buy,0.0,0.288,0.288,14.3,0.284,100,-0.004,flat,0,1,1,1,0,1,fs_proxy
Andrés Giménez,Buy Low,0.0,0.303,0.303,3.6,0.269,,-0.034,declined,0,1,1,0,1,1,fs_proxy
Julio Rodríguez,Buy Low,0.0,0.336,0.336,9.1,0.341,,0.005,flat,0,1,1,0,1,1,fs_proxy
Andrew Vaughn,Buy Low,0.0,0.309,0.309,15.5,0.311,136,0.002,flat,0,1,1,1,0,1,fs_proxy
Michael Massey,Buy Low,0.0,0.241,0.241,2.5,0.254,,0.013,flat,0,1,1,0,1,1,fs_proxy
Victor Scott II,Sell High,-0.0089,0.2751,0.284,5.6,0.2736,261,-0.0015,flat,0,1,1,0,1,1,computed
Bo Bichette,Slight Buy,-0.0118,0.3688,0.357,7.2,0.3579,348,-0.0109,flat,0,1,1,0,1,1,computed
Zach McKinstry,Sell High,-0.0158,0.3202,0.336,8.8,0.3385,261,0.0183,improved,0,1,1,0,1,1,computed
