batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA,xwOBA_gap,team,park_factor,career_babip,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,park_adj_hrfb_expected,oaa_babip_adj,xwoba_3yr,wrc_plus_3yr,quality_tier,luck_score,platoon_modifier,career_pa,birth_year,age,seasonal_pattern,amplification_cap_applied,verdict,this_is_real,tier_sell,age_flag
608369,Corey Seager,96,0.176,0.411,0.143,0.196,89.46964285714286,0.836,0.278,0.5,0.31,0.375,0.321,0.146,0.26,0.56,0.303,0.366,0.063,TEX,1.05,0.3286,0.3286,32,0.3187,0.3371,0.1522,0.0025274725274725277,0.4007258916776751,133.6,Superstar (130+),0.5418,,4957.0,1994,32,Slow starter (amplified) + fader conflict,False,Buy low,,,
608070,José Ramírez,108,0.217,0.467,0.12,0.213,90.596,0.927,0.182,0.387,0.287,0.24,0.44,0.176,0.13,1.357,0.367,0.45,0.083,CLE,1.0,0.331,0.331,34,0.3211,0.3272,0.145,-0.0019119496855345914,0.3450791788856305,109.5,Above Avg (100-119),0.5243,Anti-platoon luck (amplified),6833.0,1992,34,Fader conflict (dampened),False,Buy low,,,
671056,Iván Herrera,106,0.25,0.478,0.104,0.224,90.93432835820896,0.939,0.214,0.299,0.26,0.478,0.209,0.17,0.151,1.125,0.351,0.416,0.065,STL,1.0,0.3402,0.3402,26,0.3402,0.3411,0.145,0.000897025171624714,0.36896688741721856,117.1,Above Avg (100-119),0.4897,Anti-platoon luck (amplified),851.0,2000,26,,False,Buy low,,,
686469,Vinnie Pasquantino,109,0.169,0.365,0.081,0.176,88.51756756756757,0.879,0.13,0.5,0.314,0.351,0.311,0.101,0.211,0.478,0.269,0.307,0.038,KC,1.0,0.316,0.316,29,0.316,0.3172,0.145,0.0011636363636363637,0.33734759358288774,107.1,Above Avg (100-119),0.4582,Platoon-driven (dampened),1864.0,1997,29,,False,Buy low,,,
800050,Chase Delauter,89,0.203,0.403,0.09,0.179,89.4776119402985,0.923,0.2,0.433,0.206,0.358,0.224,0.135,0.112,1.2,0.321,0.378,0.057,CLE,1.0,,0.3,25,0.3,0.2979,0.145,-0.0020724233983286907,,100.0,Above Avg (100-119),0.4265,Anti-platoon luck (amplified),58.0,2001,25,,False,Buy low,,,
592518,Manny Machado,92,0.2,0.368,0.053,0.088,87.6,0.81,0.2,0.368,0.219,0.439,0.175,0.174,0.207,0.842,0.297,0.328,0.031,SD,1.0,0.3265,0.3265,34,0.3167,0.3212,0.145,0.004502512562814071,0.34341519250780445,109.0,Above Avg (100-119),0.4129,,8259.0,1992,34,V-shape seasonal (strong buy),False,Buy low,,,
663757,Trent Grisham,78,0.152,0.571,0.082,0.143,92.3,0.935,0.176,0.408,0.155,0.429,0.347,0.192,0.179,1.071,0.297,0.399,0.102,NYY,1.0,0.2551,0.2551,30,0.2551,0.2589,0.145,0.0038193548387096773,0.339782156133829,107.9,Above Avg (100-119),0.3869,,2892.0,1996,30,,False,Buy low,,,
683002,Gunnar Henderson,115,0.21,0.507,0.101,0.159,90.36811594202898,0.823,0.35,0.464,0.317,0.391,0.29,0.096,0.296,0.324,0.323,0.367,0.044,BAL,1.0,0.32,0.32,25,0.32,0.3191,0.145,-0.0008853118712273642,0.35514558232931726,112.7,Above Avg (100-119),0.3594,Anti-platoon luck (amplified),2201.0,2001,25,,False,Buy low,,,
660670,Ronald Acuña,113,0.284,0.44,0.133,0.147,88.34266666666666,0.812,0.048,0.333,0.254,0.413,0.28,0.124,0.186,0.667,0.32,0.397,0.077,ATL,1.0,0.3498,0.3498,29,0.3498,0.351,0.145,0.0012078774617067835,0.42373922571219874,134.5,Superstar (130+),0.3557,,3743.0,1997,29,,False,Buy low,,,
670770,Tj Friedl,97,0.222,0.254,0.017,0.085,83.2457627118644,0.95,0.0,0.317,0.272,0.508,0.215,0.103,0.206,0.5,0.228,0.233,0.005,CIN,1.08,0.3069,0.3069,31,0.3069,0.3216,0.1566,8.695652173913044e-05,0.2939222503160556,100.8,Above Avg (100-119),0.3399,,1946.0,1995,31,,False,Buy low,,,
663647,Ke'bryan Hayes,62,0.082,0.404,0.085,0.17,90.41702127659576,0.944,0.059,0.08,0.248,0.34,0.34,0.097,0.097,1.0,0.187,0.313,0.126,CIN,1.08,0.2964,0.2964,29,0.2964,0.3301,0.1566,0.002029268292682927,0.29688128772635813,101.8,Above Avg (100-119),0.3392,,2583.0,1997,29,,False,Buy low,,,
621020,Dansby Swanson,95,0.184,0.519,0.148,0.185,90.66666666666669,0.809,0.238,0.519,0.209,0.407,0.389,0.179,0.253,0.708,0.338,0.392,0.054,CHC,1.0,0.3025,0.3025,32,0.2934,0.2948,0.145,0.0014150943396226414,0.33802185501066095,107.3,Above Avg (100-119),0.333,,5328.0,1994,32,Fader conflict (dampened),False,Buy low,,,
664761,Alec Bohm,88,0.167,0.364,0.0,0.061,88.0878787878788,0.889,0.0,0.227,0.237,0.515,0.152,0.057,0.17,0.333,0.213,0.258,0.045,PHI,1.06,0.3299,0.3299,30,0.3299,0.3402,0.1537,0.0005015673981191223,0.33849506101104004,113.9,Above Avg (100-119),0.3226,Platoon-driven (dampened),3014.0,1996,30,Fader conflict (dampened),False,Buy low,,,
