batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA,xwOBA_gap,team,park_factor,career_babip,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,park_adj_hrfb_expected,oaa_babip_adj,xwoba_3yr,wrc_plus_3yr,quality_tier,luck_score,platoon_modifier,career_pa,birth_year,age,seasonal_pattern,amplification_cap_applied,verdict,chase_signal,this_is_real,tier_sell,age_flag
608070,José Ramírez,108,0.217,0.467,0.12,0.213,90.596,0.927,0.182,0.387,0.287,0.24,0.44,0.176,0.13,1.357,0.367,0.45,0.083,CLE,1.0,0.331,0.331,34,0.3211,0.3272,0.145,-0.0019119496855345914,0.3450791788856305,109.5,Above Avg (100-119),0.5243,Anti-platoon luck (amplified),6833.0,1992,34,Fader conflict (dampened),False,Buy low,,,,
671056,Iván Herrera,106,0.25,0.478,0.104,0.224,90.93432835820896,0.939,0.214,0.299,0.26,0.478,0.209,0.17,0.151,1.125,0.351,0.416,0.065,STL,1.0,0.3402,0.3402,26,0.3402,0.3411,0.145,0.000897025171624714,0.36896688741721856,117.1,Above Avg (100-119),0.4897,Anti-platoon luck (amplified),851.0,2000,26,,False,Buy low,,,,
608369,Corey Seager,100,0.189,0.407,0.153,0.186,89.64915254237289,0.835,0.316,0.508,0.301,0.373,0.322,0.14,0.26,0.538,0.32,0.381,0.061,TEX,1.05,0.3286,0.3286,32,0.3187,0.3367,0.1522,0.002057742782152231,0.4007258916776751,133.6,Superstar (130+),0.4703,Platoon-driven (dampened),4957.0,1994,32,Slow starter (amplified) + fader conflict,False,Buy low,,,,
686469,Vinnie Pasquantino,109,0.169,0.365,0.081,0.176,88.51756756756757,0.879,0.13,0.5,0.314,0.351,0.311,0.101,0.211,0.478,0.269,0.307,0.038,KC,1.0,0.316,0.316,29,0.316,0.3172,0.145,0.0011636363636363637,0.33734759358288774,107.1,Above Avg (100-119),0.4582,Platoon-driven (dampened),1864.0,1997,29,,False,Buy low,,,,
800050,Chase Delauter,89,0.203,0.403,0.09,0.179,89.4776119402985,0.923,0.2,0.433,0.206,0.358,0.224,0.135,0.112,1.2,0.321,0.378,0.057,CLE,1.0,,0.3,25,0.3,0.2979,0.145,-0.0020724233983286907,,100.0,Above Avg (100-119),0.4265,Anti-platoon luck (amplified),58.0,2001,25,,False,Buy low,,,,
664761,Alec Bohm,93,0.174,0.377,0.014,0.072,88.5463768115942,0.888,0.0,0.217,0.233,0.522,0.159,0.065,0.172,0.375,0.223,0.267,0.044,PHI,1.06,0.3299,0.3299,30,0.3299,0.3397,0.1537,-4.69208211143695e-05,0.33849506101104004,113.9,Above Avg (100-119),0.3823,Platoon-driven (dampened),3014.0,1996,30,Fader conflict (dampened),False,Buy low,,,,
592518,Manny Machado,97,0.22,0.393,0.049,0.098,87.72459016393442,0.811,0.2,0.344,0.229,0.443,0.164,0.165,0.206,0.8,0.3,0.324,0.024,SD,1.0,0.3265,0.3265,34,0.3167,0.3213,0.145,0.00464578313253012,0.34341519250780445,109.0,Above Avg (100-119),0.3695,,8259.0,1992,34,V-shape seasonal (strong buy),False,Buy low,,,,
683002,Gunnar Henderson,115,0.21,0.507,0.101,0.159,90.36811594202898,0.823,0.35,0.464,0.317,0.391,0.29,0.096,0.296,0.324,0.323,0.367,0.044,BAL,1.0,0.32,0.32,25,0.32,0.3191,0.145,-0.0008853118712273642,0.35514558232931726,112.7,Above Avg (100-119),0.3594,Anti-platoon luck (amplified),2201.0,2001,25,,False,Buy low,,,,
660670,Ronald Acuña,118,0.282,0.43,0.127,0.139,88.36835443037975,0.813,0.045,0.329,0.253,0.43,0.278,0.119,0.186,0.636,0.314,0.385,0.071,ATL,1.0,0.3498,0.3498,29,0.3498,0.3513,0.145,0.001465263157894737,0.42373922571219874,134.5,Superstar (130+),0.3573,,3743.0,1997,29,,False,Buy low,,,,
670770,Tj Friedl,97,0.222,0.254,0.017,0.085,83.2457627118644,0.95,0.0,0.317,0.272,0.508,0.215,0.103,0.206,0.5,0.228,0.233,0.005,CIN,1.08,0.3069,0.3069,31,0.3069,0.3216,0.1566,8.695652173913044e-05,0.2939222503160556,100.8,Above Avg (100-119),0.3399,,1946.0,1995,31,,False,Buy low,,,,
