pitcher,name,Team,IP,ERA,ERA_adj_sc,FIP,xFIP,xERA,ERA_minus_FIP,ERA_minus_xERA,BABIP_allowed,lob_pct,hr_fb_rate,hard_hit_rate_allowed,barrel_rate_allowed,swstr_rate,k_pct,bb_pct,G,GS,TBF,key_fangraphs,fg_swstr_rate,fg_hr_fb_rate,BABIP_allowed_all,xERA_all,IP_sc,IP_sc_adj,RA_sc,FIP_sc,lob_pct_sc,ERA_all_sc,park_factor,career_babip_allowed,career_hh_allowed,career_barrel_allowed,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,xwoba_gap,gb_pct,luck_score,conf_phase,career_ip,birth_year,age,fip_minus,pitcher_quality_tier,rtm_signal,rtm_confluence,amplification_cap_applied,stuff_plus_avg,best_pitch_type,stuff_plus_signal,total_starts,disaster_starts,disaster_rate,qs_count,qs_rate,start_variance,volatility_flag,volatility_label,verdict,raw_buy_score,buy_qualified,lob_confluence_flag,tier_sell,age_flag
666200,Jesús Luzardo,PHI,26.7,6.41,6.41,3.22,,3.993,3.19,2.42,0.395,0.587,0.2,0.217,0.039,0.147,,,,,,19959.0,,,0.3947368421052631,3.992691581967213,26.666666666666668,26.666666666666668,19.0,3.2191506890353505,0.5865921787709497,6.41,1.06,0.2799,0.3899,0.0804,0.2799,29,0.2799,0.2967,0.0224,0.506,0.4531,April,713.0,1997,29,76.9,Elite (FIP-<80),-0.773,Buy confluence,False,95.4,FF,,5,1,0.2,1,0.2,5.51,True,High variance — signals less reliable,Buy low,1.9343,True,Low strand rate,,
601713,Nick Pivetta,SD,16.0,4.5,4.5,1.23,,0.468,3.27,4.03,0.333,0.556,0.0,0.137,0.011,0.117,,,,,,15454.0,,,0.3333333333333333,0.4678860000000004,16.0,16.0,8.0,1.231650689035351,0.5555555555555556,4.5,1.0,0.2711,0.4358,0.1033,0.2711,33,0.2765,0.2765,0.0355,0.333,0.3931,April,1227.0,1993,33,31.1,Elite (FIP-<80),0.762,No confluence,False,90.8,CU,,4,1,0.25,0,0.0,8.57,True,High variance — signals less reliable,Neutral,1.9794,True,,,
671212,Joe Boyle,TB,15.3,6.46,6.46,3.04,,4.585,3.42,1.87,0.233,0.342,0.1,0.238,0.025,0.11,,,,,,29608.0,,,0.2325581395348837,4.585370999999999,15.333333333333334,15.333333333333332,11.0,3.041433297731003,0.3424657534246575,6.46,0.94,0.2652,0.4325,0.0661,0.2652,27,0.2652,0.2493,-0.04,0.409,0.3359,April,131.1,1999,27,81.9,Above Avg (80-95),-1.545,Buy confluence,False,,,,3,1,0.333,1,0.333,5.56,True,High variance — signals less reliable,Buy low,2.0396,True,Low strand rate,,
547179,Michael Lorenzen,COL,21.7,10.02,10.02,5.24,,5.784,4.78,4.24,0.434,0.547,0.2,0.338,0.041,0.095,,,,,,14843.0,,,0.4186046511627907,5.760281121739132,21.666666666666668,20.666666666666668,23.0,5.235682947099867,0.546875,9.55,1.18,0.2881,0.3917,0.0801,0.2881,34,0.2939,0.3468,0.0788,0.489,0.3166,April,1010.0,1992,34,112.4,Below Avg (105-115),-0.544,Buy confluence,False,107.0,FF,,6,2,0.333,0,0.0,11.64,True,High variance — signals less reliable,Neutral,2.9008,False,,,
669302,Logan Gilbert,SEA,32.0,4.22,4.22,2.98,,3.624,1.24,0.6,0.36,0.707,0.12,0.297,0.04,0.125,,,,,,22250.0,,,0.3595505617977528,3.6242634558823537,32.0,32.0,15.0,2.9816506890353507,0.7065217391304348,4.22,1.0,0.2695,0.4292,0.0791,0.2695,29,0.2695,0.2695,0.0337,0.359,0.2812,April,859.0,1997,29,75.4,Elite (FIP-<80),-0.644,Buy confluence,False,98.8,SL,,6,0,0.0,2,0.333,2.42,False,,Buy low,0.766,True,,,
622491,Luis Castillo,SEA,22.3,6.45,6.45,3.55,,5.201,2.9,1.25,0.397,0.635,0.143,0.242,0.055,0.11,,,,,,15689.0,,,0.3972602739726027,5.200914807339449,22.33333333333333,22.33333333333333,16.0,3.5544118830652014,0.6353591160220994,6.45,1.0,0.277,0.4223,0.0894,0.277,34,0.2825,0.2825,0.0248,0.434,0.2781,April,1423.2,1992,34,89.9,Above Avg (80-95),-1.651,Buy confluence,False,98.9,SI,,5,1,0.2,0,0.0,7.07,True,High variance — signals less reliable,Neutral,1.7634,False,,,
680694,Kyle Bradish,BAL,24.3,5.55,5.55,3.48,,3.506,2.07,2.04,0.417,0.697,0.133,0.25,0.044,0.113,,,,,,24586.0,,,0.4166666666666667,3.5059541304347817,24.33333333333333,24.33333333333333,15.0,3.476513702733981,0.6965174129353233,5.55,1.0,0.2774,0.4009,0.0733,0.2774,30,0.2774,0.2774,0.0741,0.486,0.2752,April,371.1,1996,30,88.1,Above Avg (80-95),-0.026,Buy confluence,False,,,,5,0,0.0,0,0.0,2.84,False,,Buy low,1.2815,True,,,
693645,Cam Schlittler,NYY,27.7,2.28,2.28,0.83,,1.434,1.45,0.85,0.277,0.667,0.0,0.228,0.027,0.168,,,,,,-1.0,,,0.2769230769230769,1.4341475428571422,27.666666666666668,27.666666666666664,7.0,0.8295422553004106,0.6666666666666666,2.28,1.0,0.265,0.402,0.082,0.265,25,0.265,0.265,-0.0375,0.485,0.2337,April,94.2,2001,25,21.0,Elite (FIP-<80),-0.604,Buy confluence,False,89.3,FF,,5,0,0.0,2,0.4,2.75,False,,Neutral,0.8624,True,,,
669358,Shane Baz,BAL,27.7,5.2,5.2,3.68,,4.304,1.52,0.9,0.36,0.68,0.095,0.212,0.036,0.099,,,,,,22264.0,,,0.3595505617977528,4.303926595238094,27.666666666666668,27.666666666666668,16.0,3.684963942047399,0.6796116504854368,5.2,1.0,0.2838,0.4142,0.0869,0.2838,27,0.2838,0.2838,0.0394,0.396,0.2286,April,302.0,1999,27,93.2,Above Avg (80-95),-0.624,Buy confluence,False,100.8,CU,,5,0,0.0,0,0.0,2.25,False,,Buy low,0.9333,True,,,
657746,Joe Ryan,MIN,27.0,4.0,4.0,2.4,,2.102,1.6,1.9,0.243,0.551,0.045,0.192,0.051,0.123,,,,,,21390.0,,,0.2428571428571428,2.1018603551401864,27.0,27.0,12.0,2.402946985331647,0.5508474576271186,4.0,1.0,0.2721,0.3907,0.0939,0.2721,30,0.2721,0.2721,-0.0087,0.324,0.2224,April,662.2,1996,30,60.8,Elite (FIP-<80),0.298,No confluence,False,91.3,FF,,5,1,0.2,2,0.4,4.67,True,High variance — signals less reliable,Buy low,0.9535,True,Low strand rate,,
