pitcher,name,Team,IP,ERA,ERA_adj_sc,FIP,xFIP,xERA,ERA_minus_FIP,ERA_minus_xERA,BABIP_allowed,lob_pct,hr_fb_rate,hard_hit_rate_allowed,barrel_rate_allowed,swstr_rate,k_pct,bb_pct,G,GS,TBF,key_fangraphs,fg_swstr_rate,fg_hr_fb_rate,BABIP_allowed_all,xERA_all,IP_sc,IP_sc_adj,RA_sc,FIP_sc,FIP_sc_all,lob_pct_sc,ERA_all_sc,park_factor,park_change,park_change_label,career_babip_allowed,career_hh_allowed,career_barrel_allowed,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,xwoba_gap,gb_pct,luck_score,conf_phase,career_ip,birth_year,age,fip_minus,pitcher_quality_tier,rtm_signal,rtm_confluence,amplification_cap_applied,stuff_plus_avg,best_pitch_type,stuff_plus_signal,total_starts,disaster_starts,disaster_rate,qs_count,qs_rate,start_variance,volatility_flag,volatility_label,pitch_mix_signal,pitch_mix_note,verdict,raw_buy_score,buy_qualified,lob_confluence_flag,curr_csw,career_csw_p,csw_gap,tier_sell,age_flag,owned_pct,contract_year,player_name,team,ip,player_type,role_override
666200,Jesús Luzardo,PHI,33.7,5.08,5.08,2.64,,2.927,2.44,2.15,0.352,0.608,0.176,0.194,0.032,0.151,,,,,,19959.0,,,0.3516483516483517,2.92663471724138,33.666666666666664,33.666666666666664,19.0,2.6396660628923967,2.5977434688338668,0.6084656084656085,5.08,1.06,False,,0.2799,0.3899,0.0804,0.2799,29,0.2799,0.2967,0.0177,0.511,0.5322,May,713.0,1997,29,61.8,Elite (FIP-<80),-0.287,Buy confluence,False,95.4,FF,,6,1,0.167,2,0.333,5.6,True,High variance — signals less reliable,0.05,velo_gain +0.05,Buy low,1.4767,True,Low strand rate,0.3298,0.306,0.0238,,,91.01,False,Jesús Luzardo,PHI,33.7,SP,False
663687,Hogan Harris,ATH,18.7,5.79,0.0,1.03,,-3.431,4.76,9.22,0.0,,0.0,0.133,0.027,0.095,,,,,,21520.0,,,0.26,3.705104125000001,18.666666666666668,2.0,0.0,1.0258046767537827,4.912453511266682,,5.79,0.96,False,,0.2949,0.3917,0.0738,0.2949,30,0.2949,0.2831,0.0071,0.5,0.5157,May,210.0,1996,30,26.6,Elite (FIP-<80),4.461,No confluence,False,105.3,FF,,19,0,0.0,0,0.0,,False,,0.0,,Neutral,2.8153,True,,0.261,,,,,2.7,False,Hogan Harris,ATH,18.7,RP,False
657746,Joe Ryan,MIN,37.7,4.78,4.78,2.87,,2.713,1.91,2.07,0.275,0.546,0.097,0.204,0.049,0.116,,,,,,21390.0,,,0.2745098039215686,2.712501593548386,37.66666666666666,37.66666666666666,20.0,2.866512641355553,2.824590047297023,0.5459770114942529,4.78,1.0,False,,0.2721,0.3907,0.0939,0.2721,30,0.2721,0.2721,0.0132,0.362,0.4215,May,662.2,1996,30,71.2,Elite (FIP-<80),0.157,No confluence,False,91.3,FF,,7,2,0.286,2,0.286,4.91,True,High variance — signals less reliable,0.07,new_pitch +0.07,Buy low,1.1497,True,Low strand rate,0.285,0.3225,-0.0375,,,97.4,False,Joe Ryan,MIN,37.7,SP,False
656302,Dylan Cease,TOR,38.3,3.52,3.52,2.01,,2.851,1.51,0.67,0.36,0.731,0.091,0.186,0.016,0.157,,,,,,18525.0,,,0.3595505617977528,2.851390469879518,38.333333333333336,38.333333333333336,15.0,2.0084133724059567,1.9664907783474268,0.7312252964426877,3.52,1.0,False,,0.268,0.3735,0.0736,0.268,31,0.268,0.268,0.0061,0.511,0.4034,May,1030.0,1995,31,49.9,Elite (FIP-<80),-0.841,Buy confluence,False,101.8,FF,,7,0,0.0,1,0.143,2.47,False,,-0.05,abandonment -0.10 | velo_gain +0.05,Neutral,0.9213,True,,0.3206,0.2868,0.0338,,,97.89,False,Dylan Cease,TOR,38.3,SP,False
669387,Carmen Mlodzinski,PIT,34.0,4.5,4.5,2.38,,4.431,2.12,0.07,0.381,0.692,0.056,0.324,0.048,0.091,,,,,,27572.0,,,0.3814432989690721,4.4309857857142845,34.0,34.0,17.0,2.378745853224371,2.336823259165841,0.691699604743083,4.5,1.0,False,,0.2926,0.3905,0.0479,0.2926,27,0.2926,0.2926,0.002,0.459,0.3596,May,200.0,1999,27,59.0,Elite (FIP-<80),-2.051,Buy confluence,False,101.3,FF,,7,1,0.143,1,0.143,4.43,True,High variance — signals less reliable,0.0,,Buy low,1.2858,True,,0.2954,0.2884,0.007,,,5.11,False,Carmen Mlodzinski,PIT,34.0,SP,True
547179,Michael Lorenzen,COL,34.0,7.36,7.36,4.93,,5.436,2.43,1.92,0.378,0.609,0.207,0.358,0.054,0.091,,,,,,14843.0,,,0.3688524590163934,5.427524463414635,34.0,33.0,27.0,4.934895585844692,4.925058553283488,0.6092436974789915,7.15,1.18,True,Park change (KC->COL) - career baseline less reliable,0.2881,0.3917,0.0801,0.2881,34,0.2939,0.3468,0.0502,0.469,0.3469,May,1010.0,1992,34,103.7,Average (95-105),-0.506,Buy confluence,False,107.0,FF,,8,2,0.25,1,0.125,10.65,True,High variance — signals less reliable,0.0,,Neutral,1.4752,False,,0.2732,0.2733,-0.0001,,,0.61,False,Michael Lorenzen,COL,34.0,SP,False
650911,Cristopher Sánchez,PHI,39.7,3.63,3.63,2.47,,3.121,1.16,0.51,0.395,0.781,0.158,0.294,0.065,0.136,,,,,,20778.0,,,0.3947368421052631,3.1211823166666663,39.66666666666666,39.66666666666666,16.0,2.471182828014287,2.429260233955757,0.7806691449814127,3.63,1.06,False,,0.2893,0.3777,0.0613,0.2893,30,0.2893,0.3067,0.0519,0.564,0.3437,May,558.0,1996,30,57.8,Elite (FIP-<80),-0.651,Buy confluence,False,90.3,SL,,7,0,0.0,4,0.571,2.85,False,,0.0,,Neutral,0.7222,True,,0.3159,0.305,0.0109,,,98.65,False,Cristopher Sánchez,PHI,39.7,SP,False
579328,Yusei Kikuchi,LAA,30.7,5.87,5.87,3.61,,4.693,2.26,1.18,0.352,0.631,0.13,0.269,0.043,0.102,,,,,,20633.0,,,0.3516483516483517,4.693487330985915,30.666666666666668,30.666666666666668,20.0,3.612761198492913,3.570838604434383,0.6308411214953271,5.87,1.0,False,,0.3002,0.439,0.1019,0.3002,35,0.3062,0.3062,0.0115,0.394,0.2946,May,1006.0,1991,35,89.6,Above Avg (80-95),-1.083,Buy confluence,False,105.3,FF,,7,1,0.143,0,0.0,4.36,True,High variance — signals less reliable,0.0,,Buy low,1.3657,True,Low strand rate,0.2769,0.2696,0.0073,,Age 35+ — monitor second half,12.52,False,Yusei Kikuchi,LAA,30.7,SP,False
672282,Reid Detmers,LAA,39.7,3.63,3.63,2.7,,2.255,0.93,1.38,0.312,0.718,0.094,0.198,0.032,0.129,,,,,,27468.0,,,0.3119266055045872,2.2545123392857134,39.66666666666666,39.66666666666666,16.0,2.698073584316808,2.656150990258278,0.7177033492822967,3.63,1.0,False,,0.2972,0.4028,0.0797,0.2972,27,0.2972,0.2972,0.0365,0.384,0.2715,May,465.0,1999,27,67.0,Elite (FIP-<80),0.445,No confluence,False,89.3,FF,,7,1,0.143,4,0.571,3.54,False,,0.0,,Neutral,0.5693,True,,0.3088,0.3067,0.0021,,,24.74,False,Reid Detmers,LAA,39.7,SP,False
656849,David Peterson,NYM,30.0,6.0,6.0,3.56,,4.871,2.44,1.13,0.375,0.65,0.167,0.322,0.026,0.104,,,,,,20302.0,,,0.375,4.8710425625,30.0,30.0,20.0,3.559138010087116,3.517215416028586,0.6504065040650406,6.0,0.95,False,,0.3043,0.4399,0.0723,0.3043,31,0.3043,0.2891,0.0262,0.576,0.2651,May,642.1,1995,31,93.0,Above Avg (80-95),-1.311,Buy confluence,False,102.9,FF,,7,1,0.143,0,0.0,4.41,True,High variance — signals less reliable,-0.08,rv_degrade -0.08,Neutral,1.4834,False,,0.2816,0.294,-0.0124,,,4.2,False,David Peterson,NYM,30.0,SP,False
