player_name,year,signal,correct,contract_start,contract_end,contract_yrs,aav_m,age,contract_year,yrs_remaining,cohort
Nelson Cruz,2022,Buy Low,True,2022.0,2023.0,1.0,15.0,41.0,False,1.0,4-Post-Prime
Joey Votto,2022,Slight Buy,True,,,,,,,,No contract data
Eduardo Escobar,2022,Slight Sell,True,2022.0,2024.0,2.0,10.0,32.0,False,2.0,5-Mid-Contract
Paul Goldschmidt,2022,Slight Sell,False,2020.0,2024.0,5.0,26.0,34.0,False,2.0,4-Post-Prime
Marcell Ozuna,2022,Buy Low,False,2021.0,2025.0,4.0,16.25,31.0,False,3.0,5-Mid-Contract
Eric Hosmer,2022,Sell High,True,2018.0,2025.0,8.0,18.0,32.0,False,3.0,5-Mid-Contract
Marcus Semien,2022,Buy Low,True,2022.0,2028.0,7.0,25.0,31.0,False,6.0,3-Secured
George Springer,2022,Slight Sell,True,2021.0,2026.0,6.0,25.0,32.0,False,4.0,3-Secured
Bryce Harper,2022,Slight Buy,True,2019.0,2031.0,13.0,25.384615,29.0,False,9.0,3-Secured
Jonathan Schoop,2022,Buy Low,True,2021.0,2023.0,2.0,7.5,30.0,False,1.0,5-Mid-Contract
Nolan Arenado,2022,Sell High,True,2019.0,2027.0,8.0,32.5,30.0,False,5.0,3-Secured
Enrique Hernández,2022,Slight Buy,True,2021.0,2022.0,2.0,7.0,30.0,True,0.0,1-Payday
Christian Walker,2022,Buy Low,True,,,,,,,,No contract data
Darin Ruf,2022,Buy Low,True,,,,,,,,No contract data
Nick Castellanos,2022,Slight Sell,True,2022.0,2026.0,5.0,20.0,29.0,False,4.0,3-Secured
Aaron Judge,2022,Slight Buy,True,2022.0,2022.0,1.0,19.0,29.0,True,0.0,2-Prove-It
Manny Machado,2022,Sell High,True,2019.0,2028.0,10.0,30.0,29.0,False,6.0,3-Secured
Christian Yelich,2022,Slight Buy,True,2020.0,2029.0,7.0,26.928571,30.0,False,7.0,3-Secured
Whit Merrifield,2022,Buy Low,True,2019.0,2024.0,4.0,4.0625,32.0,False,2.0,5-Mid-Contract
Xander Bogaerts,2022,Sell High,True,2019.0,2026.0,6.0,20.0,29.0,False,4.0,3-Secured
Jorge Polanco,2022,Slight Buy,True,2019.0,2025.0,5.0,5.15,28.0,False,3.0,5-Mid-Contract
Josh Bell,2022,Sell High,True,2022.0,2022.0,1.0,10.0,29.0,True,0.0,1-Payday
Mookie Betts,2022,Slight Buy,True,2021.0,2032.0,12.0,30.416667,29.0,False,10.0,3-Secured
Ketel Marte,2022,Buy Low,True,2018.0,2022.0,5.0,4.8,28.0,True,0.0,1-Payday
Corey Seager,2022,Buy Low,True,2022.0,2031.0,10.0,32.5,27.0,False,9.0,3-Secured
Jesse Winker,2022,Buy Low,True,2022.0,2023.0,2.0,7.25,28.0,False,1.0,5-Mid-Contract
Jorge Soler,2022,Slight Buy,True,2022.0,2024.0,3.0,12.0,30.0,False,2.0,5-Mid-Contract
Cody Bellinger,2022,Slight Buy,False,2022.0,2022.0,1.0,17.0,26.0,True,0.0,2-Prove-It
J. P. Crawford,2022,Sell High,True,2022.0,2026.0,5.0,10.2,26.0,False,4.0,5-Mid-Contract
Trey Mancini,2022,Buy Low,True,,,,,,,,No contract data
Ryan Mcmahon,2022,Slight Sell,True,2022.0,2027.0,6.0,11.666667,27.0,False,5.0,5-Mid-Contract
Tyler O'Neill,2022,Slight Buy,True,,,,,,,,No contract data
