batter_id,name,type,age,signal,spotrac_url,snapshot_date,contract_years,contract_total_m,annual_salary_m,guaranteed_m,contract_end_year,years_remaining,raw_text
2,José Ramírez,Hitter,34,Buy low,https://www.spotrac.com/mlb/cleveland-guardians/jose-ramirez-14106/,20231210,7,141.0,20.14,141.0,2029,3,"Jose Ramirez signed a 7 year / $141,000,000 contract with the Cleveland Guardians, including $141,000,000 guaranteed, and an annual average salary of "
3,Alec Bohm,Hitter,30,Buy low,https://www.spotrac.com/mlb/philadelphia-phillies/alec-bohm-26026/,20240217,1,4.0,4.0,4.0,2024,0,"Alec Bohm signed a 1 year / $4,000,000 contract with the Philadelphia Phillies, including $4,000,000 guaranteed, and an annual average salary of $4,00"
4,Iván Herrera,Hitter,26,Buy low,https://www.spotrac.com/mlb/st-louis-cardinals/ivan-herrera-20857/,20230725,1,0.72,0.72,0.72,2023,0,"Ivan Herrera signed a 1 year / $720,000 contract with the St. Louis Cardinals, including $720,000 guaranteed, and an annual average salary of $720,000"
7,Manny Machado,Hitter,34,Buy low,https://www.spotrac.com/mlb/san-diego-padres/manny-machado-11638/,20240323,11,350.0,31.82,,2034,8,"Manny Machado signed a 11 year / $350,000,000 contract with the San Diego Padres, including a $45,000,000 signing bonus, $350,000,000 guaranteed, and "
9,Joe Ryan,Pitcher,30,Buy low,https://www.spotrac.com/mlb/minnesota-twins/joe-ryan-26243/,20230622,1,0.73,0.73,0.73,2023,0,"Joe Ryan signed a 1 year / $730,250 contract with the Minnesota Twins, including $730,250 guaranteed, and an annual average salary of $730,250. In 202"
10,Ronald Acuña,Hitter,29,Buy low,https://www.spotrac.com/mlb/atlanta-braves/ronald-acuna-jr-25027/,20240422,8,100.0,12.5,100.0,2029,3,"Ronald Acuña Jr. signed a 8 year / $100,000,000 contract with the Atlanta Braves, including $100,000,000 guaranteed, and an annual average salary of $"
12,Corey Seager,Hitter,32,Buy low,https://www.spotrac.com/mlb/texas-rangers/corey-seager-18169/,20240328,10,325.0,32.5,,2032,6,"Corey Seager signed a 10 year / $325,000,000 contract with the Texas Rangers, including a $5,000,000 signing bonus, $325,000,000 guaranteed, and an an"
15,Trea Turner,Hitter,33,Buy low,https://www.spotrac.com/mlb/philadelphia-phillies/trea-turner-17690/,20240414,11,300.0,27.27,300.0,2034,8,"Trea Turner signed a 11 year / $300,000,000 contract with the Philadelphia Phillies, including $300,000,000 guaranteed, and an annual average salary o"
16,Aaron Judge,Hitter,34,Buy low,https://www.spotrac.com/mlb/new-york-yankees/aaron-judge-18499/,20231004,9,360.0,40.0,360.0,2031,5,"Aaron Judge signed a 9 year / $360,000,000 contract with the New York Yankees, including $360,000,000 guaranteed, and an annual average salary of $40,"
18,Gunnar Henderson,Hitter,25,Buy low,https://www.spotrac.com/mlb/baltimore-orioles/gunnar-henderson-30440/,20240320,1,0.76,0.76,0.76,2024,0,"Gunnar Henderson signed a 1 year / $756,200 contract with the Baltimore Orioles, including $756,200 guaranteed, and an annual average salary of $756,2"
