"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
35,668930,"Turang, Brice","2025-09-01",776500,35,100,0.667,1,1,1.667,0.861,0.689,0.401,2,3,103.8,11,2052,88.3,88.76,1,13,22,0.5,6.42,115,147,114,149,285,319,300,"-1.665","1.665","71.2","6.8",5,2,1,0,0,1,1,20,2,40,2.61114,0.36229,0.31029,0.05029,"91.9",186,100,50,20,6.18,-1.09,-0.37,2.42,0.8,1,"4.757142857",0.64,1.284,"-4.757142857",0.266,0.16000000000000003,0.383,0.172,7.7,"45.4",5.496536851100915,13.151848457996119,34.83280407014376,0.38461538461538464,35.092263696459035,29.677933337070183
31,668930,"Turang, Brice","2025-07-23",777024,31,100,0.6,0.2,0.75,0.8,0.618,0.624,0.427,3,5,95.8,2.8,2454,90.3,89.4,1,12,19,-0.8999999999999915,5.59,123,145,116,150,282,318,293,"-1.881","1.881","71.6","6.4",6,4,2,1,0,0,1,16.7,1,16.7,2.51516,0.30645,0.39935,-0.08258,"92.4",204,75,50,33.33333333333333,5.26,-1.54,0,2.41,0.667,2,"6.067741935",0.522,1.041,"-6.067741935",0.173,0.14500000000000002,-0.241,-0.006,8.3,"24.0",4.124461072153178,12.08999288757546,30.86242117597754,0.3333333333333333,31.721494829182788,29.660755485399882
29,668930,"Turang, Brice","2025-08-11",776786,29,100,0.25,0.75,,1,0.546,0.423,0.178,1,4,105.3,30,2407,89.7,89.61,2,7,22,-0.10000000000000853,6.32,113,148,99,151,281,315,285,"-0.655","0.655","68.8","6.6",5,1,0,0,0,1,3,60,1,20,2.09207,0.7869,0.85586,0.58207,"91.5",246,100,100,20,5.03,1.51,0.05,2.65,0.4,1,"2.25862069",0.343,0.703,"-2.25862069",0.072,0.056999999999999995,0.297,0.123,28.6,"30.0",3.760925631269095,9.170943494520426,32.25365757741902,0.2857142857142857,29.67289536948006,30.957868328518636
29,668930,"Turang, Brice","2025-08-26",776586,29,100,0.25,0.75,0,1,0.546,0.368,0.148,1,4,95.1,38.5,2282,89,89.44,2,9,20,0.4000000000000057,6.61,126,149,112,151,283,313,300,"-0.955","0.955","64.7","6.4",5,2,0,0,0,1,2,40,1,20,2.45828,0.44828,0.30897,-0.43793,"90.0",195,50,50,20,5.6,-2,-0.05,2.7,0.4,1,"3.293103448",0.319,0.557,"-3.293103448",0.102,0.08100000000000002,0.443,0.178,22.2,"32.6",8.311598924193447,15.006851314142402,31.22861495899478,0.4444444444444444,32.31104309052831,29.648671848444586
28,668930,"Turang, Brice","2025-04-29",778125,28,100,0.25,0,0.5,0.25,0.315,0.203,0.042,1,4,60.7,3,2284,86.3,86.35,5,10,18,0,6.53,108,144,103,146,284,309,295,"-0.754","0.754","57.0","6.2",5,2,1,0,0,0,2,40,1,20,2.63071,0.48464,0.06179,0.07036,"88.0",127,0,0,0,5.07,0.62,-0.43,2.24,0.4,0,"2.692857143",0.282,0.05,"-2.692857143",0.208,0.11800000000000005,0.2,0.112,50,"21.5",1.4322164145996714,-8.316007309164137,32.46262302947966,0.4,38.4170031302139,30.718270642405415
28,668930,"Turang, Brice","2025-04-02",778477,28,100,0.167,0,0.333,0.167,0.147,0.074,0.08,1,6,67,-21.7,2402,89.7,89.45,6,18,10,-0.20000000000000284,6.2,108,140,106,144,282,308,296,"1.231","-1.231","63.8","6.4",6,3,1,0,0,0,3,50,0,0,2.18643,0.68321,0.48143,0.48143,"89.6",131,0,0,0,6,1.26,-0.28,2.48,0.167,0,"-4.396428571",0.08,0.082,"4.396428571",0.087,0.08700000000000001,0.085,0.073,33.3,"39.3",-1.0250315758667081,5.613699751251874,28.754354860793644,0.2777777777777778,38.108102906659006,29.21921124750849
27,668930,"Turang, Brice","2025-08-29",776546,27,100,0.5,0,1,0.5,0.491,0.343,0.273,2,4,109,0.5,2287,88.9,88.22,5,7,20,-0.7000000000000028,6.55,122,149,100,153,280,317,298,"-0.774","0.774","73.6","6.9",5,2,2,0,0,0,2,40,1,20,2.46889,0.51926,0.46333,-0.50333,"109.0",55,100,0,0,5.59,-0.92,-0.54,2.06,0.6,0,"2.866666667",0.419,0.302,"-2.866666667",0.227,0.181,0.198,0.148,71.4,"38.8",6.089841605903723,13.013563120718493,31.46388157770646,0.7142857142857143,37.406862456538676,26.93186571350447
25,668930,"Turang, Brice","2025-09-22",776222,25,100,0.25,0,0.5,0.25,0.315,0.221,0.091,1,4,92.7,24.5,2452,87.7,87.93,3,8,17,0.20000000000000284,6.66,125,150,109,152,286,314,303,"0.305","-0.305","63.0","6.5",5,2,1,0,0,0,2,40,1,20,2.8876,0.1816,0.0512,0.0128,"90.5",147,50,0,0,6.46,-0.74,-0.3,2.7,0.4,0,"-1.22",0.273,0.161,"1.22",0.159,0.127,0.089,0.094,37.5,"48.3",7.037212354574013,16.73357901355493,29.91335172912142,0.5,36.29088185812035,27.007513983314745
25,668930,"Turang, Brice","2025-09-13",776339,25,100,0,0,0,0,0.138,0.162,0.029,0,4,70.6,11.5,2288,88.7,88.8,2,9,16,0.09999999999999432,6.39,106,141,92,147,295,314,297,"0.663","-0.663","65.4","6.1",5,2,0,0,0,0,2,40,1,20,2.742,0.19,-0.0252,0.1804,"89.2",200,0,0,0,5.55,-0.72,-0.28,2.88,0.2,0,"-2.652",0.223,0.036,"2.652",-0.029,-0.022999999999999993,-0.036,-0.024,22.2,"39.5",-1.4625162515043413,-6.0158245472140255,33.90712452035329,0.4444444444444444,35.65744545383001,28.036044780183854
25,668930,"Turang, Brice","2025-06-08",777586,25,100,0,0,0,0,0.138,0.491,0.459,0,4,80.3,12.5,2388,92.3,92.56,0,14,11,0.29999999999999716,6.58,109,149,114,153,288,310,302,"0.652","-0.652","70.0","6.5",5,4,0,0,0,0,0,0,1,20,1.6988,1.022,0.2832,-0.1648,"89.1",205,25,0,0,5.95,-1.58,-0.21,2.8,0.2,0,"-2.608",0.567,0.545,"2.608",-0.459,-0.36699999999999994,-0.545,-0.353,0,"49.3",5.437169115960188,11.783980015125055,27.41567192295167,0.21428571428571427,36.11130820167973,29.639572697519714
25,668930,"Turang, Brice","2025-05-14",777925,25,100,0,0,0,0,0.277,0.331,0.095,0,3,81.9,28.5,2398,88.1,88.48,3,9,16,0.4000000000000057,6.62,106,148,108,150,289,317,311,"0.367","-0.367","68.0","6.8",5,2,0,0,0,0,1,20,2,40,2.856,0.1248,-0.1776,0.248,"88.0",162,0,0,0,5.94,-1.13,-0.16,2.23,0.4,0,"-1.468",0.457,0.112,"1.468",-0.095,-0.056999999999999995,-0.112,-0.054,33.3,"40.2",5.7897763108979765,9.905720904291707,28.72201679923284,0.4444444444444444,37.015336462243866,29.663020558872446
25,668930,"Turang, Brice","2025-04-09",778379,25,100,0.4,0,0.5,0.4,0.409,0.26,0.191,2,5,95.8,1.3,2111,94.3,95.24,1,9,16,0.9000000000000057,6.46,108,146,114,146,296,337,307,"-0.587","0.587","66.0","6.4",6,4,2,0,0,0,1,16.7,1,16.7,1.86,0.6792,0.54833,-0.36417,"93.0",142,50,0,0,5.77,-1.92,-0.48,2.44,0.5,0,"2.348",0.326,0.216,"-2.348",0.209,0.174,0.184,0.149,11.1,"42.2",4.699828410741431,15.417557327719186,28.81327418053217,0.3333333333333333,37.44448027178531,27.222283704544836
25,668930,"Turang, Brice","2025-08-03",776894,25,100,0.333,1,0,1.333,0.679,0.568,0.312,2,6,101.9,20,2136,92.9,92,1,10,15,-0.9000000000000057,5.87,115,149,114,152,293,322,302,"-2.621","2.621","71.7","6.5",6,4,0,0,0,2,2,33.3,0,0,2.1776,0.4932,1.1052,-0.5884,"94.2",259,100,50,33.33333333333333,5.6,-1.12,-0.15,2.4,0.333,2,"10.484",0.312,1.079,"-10.484",0.021,0.02100000000000002,0.254,0.111,10,"24.6",0.025732823955020523,11.261434075933435,36.017266460259705,0.3,31.462863189022926,29.04502160722512
25,668930,"Turang, Brice","2025-07-27",776978,25,100,0.25,0.25,0.25,0.5,0.389,0.253,0.154,1,4,86.9,22,2525,91.3,91.65,2,13,12,0.4000000000000057,6.41,112,147,111,152,299,315,294,"-0.432","0.432","66.6","6.5",5,4,0,1,0,0,0,0,1,20,2.0292,0.746,0.2948,-0.1852,"89.7",178,25,0,0,5.84,-1.75,0.14,2.36,0.4,0,"1.728",0.324,0.18,"-1.728",0.096,0.07600000000000001,0.32,0.136,15.4,"29.8",7.068913852485426,9.67717818628621,31.35264620885391,0.5384615384615384,31.73485690231656,31.033122591977833
