"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
35,656546,"Hoffman, Jeff","2025-10-19",813038,35,100,0,0,0,0,0.099,0.122,0.026,0,6,66.7,51,2108,90.4,90.65,8,20,15,0.19999999999998863,6.55,124,150,120,152,286,327,296,"1.237","-1.237","69.2","7.5",7,2,0,0,0,0,4,57.1,1,14.3,2.10714,0.70457,0.81657,-0.49143,"88.8",162,0,0,0,5.67,-2.43,0.06,2.3,0.143,0,"-3.534285714",0.166,0.035,"3.534285714",-0.026,-0.02300000000000002,-0.035,-0.023,40,"36.0",12.660016514203061,-0.6441675168638853,31.70141706016878,0.6,38.4427466450533,30.76966704048143
33,656546,"Hoffman, Jeff","2025-10-27",813032,37,89.2,0.167,0,0.2,0.167,0.229,0.217,0.142,1,6,82.4,54.2,2429,91.3,91.74,2,16,17,0.4000000000000057,6.61,110,150,124,149,293,316,295,"0.555","-0.555","72.1","7.6",8,5,1,0,0,0,1,12.5,1,12.5,1.93,0.82121,0.65091,-0.15455,"91.4",111,20,0,0,5.68,-2.59,0.17,2.27,0.375,0,"-1.681818182",0.356,0.168,"1.681818182",0.025,0.019000000000000017,-0.001,0.012,12.5,"35.9",11.763476071923714,-5.046693807899008,36.37623615404405,0.6875,38.11802749519583,32.59627507800879
33,656546,"Hoffman, Jeff","2025-07-11",777152,33,100,0.5,0.5,0.667,1,0.642,0.451,0.289,3,6,101,13.5,2370,92,92.27,7,16,17,0.29999999999999716,6.6,103,149,116,148,309,328,294,"-2.174","2.174","69.2","7.6",7,4,2,0,0,1,2,28.6,1,14.3,2.17424,0.54697,0.7297,0,"97.3",190,75,25,14.285714285714285,5.87,-2.53,-0.03,2.06,0.571,1,"6.587878788",0.39,0.7,"-6.587878788",0.211,0.18099999999999994,0.3,0.191,43.8,"37.2",14.878273370549888,-9.271084702266599,32.53292342286735,0.6875,37.60193523411069,33.121307725165515
33,656546,"Hoffman, Jeff","2025-08-10",776788,33,100,0,0,0,0,0.576,0.577,0.005,0,1,59.8,40,2556,93.8,94.35,1,7,26,0.5,6.55,112,142,114,143,295,318,294,"-1.249","1.249","61.5","6.3",7,2,0,0,0,0,0,0,5,71.4,1.60364,0.99424,0.81788,-0.22273,"89.5",98,50,0,0,5.69,-2.67,0.25,2.65,0.833,0,"3.784848485",0.834,0.005,"-3.784848485",-0.005,-0.0010000000000000009,-0.005,-0.001,14.3,"36.5",10.01159136068353,-32.19819403708517,39.33065494897467,0.42857142857142855,36.409699251531976,32.966601706292565
27,656546,"Hoffman, Jeff","2025-04-30",778114,27,100,0,0,0,0,0,0.126,0.123,0,6,90.9,1.3,2487,93,92.89,7,15,12,-0.09999999999999432,6.52,117,151,122,151,293,326,301,"1.661","-1.661","70.4","7.2",6,3,0,0,0,0,3,50,0,0,2.02593,0.65667,0.4963,-0.52889,"92.7",148,33.33333333333333,0,0,5.88,-2.52,-0.3,2.81,0,0,"-6.151851852",0.123,0.17,"6.151851852",-0.123,-0.123,-0.17,-0.126,46.7,"38.3",7.783062447109932,3.513856749343125,27.962660859806565,0.4,38.751448727648246,26.795351001103185
26,656546,"Hoffman, Jeff","2025-05-02",778081,26,100,0.25,0.25,0.333,0.5,0.389,0.241,0.141,1,4,84.5,20.7,2309,93,93.17,2,11,15,0.20000000000000284,6.55,109,149,110,152,284,329,295,"-0.517","0.517","65.6","6.8",5,3,0,1,0,0,1,20,1,20,1.83346,0.83269,0.765,-0.57423,"88.1",196,0,0,0,5.84,-2.58,-0.3,2.6,0.4,0,"1.988461538",0.313,0.148,"-1.988461538",0.109,0.08700000000000002,0.352,0.148,18.2,"38.5",1.448301202699834,4.0806580188587285,27.054031807416628,0.5555555555555556,42.116507628653544,28.236566513368437
26,656546,"Hoffman, Jeff","2025-10-08",813060,26,100,0.333,0.167,0.4,0.5,0.404,0.549,0.321,2,6,100.2,21.6,2104,89.8,90.12,7,15,11,0.29999999999999716,6.65,118,148,119,152,290,324,295,"-0.567","0.567",,,7,5,1,1,0,0,1,14.3,1,14.3,2.36077,0.49038,0.73462,-0.88,"96.1",227,60,40,28.57142857142857,5.73,-2.49,-0.21,2.6,0.429,2,"2.180769231",0.418,0.963,"-2.180769231",0.012,0.01100000000000001,-0.463,-0.145,46.7,"37.0",,,,,,
25,656546,"Hoffman, Jeff","2025-08-26",776582,25,100,0.6,1.2,0.333,1.8,0.91,0.648,0.384,3,5,98,19,2402,91.8,91.66,2,10,15,-0.09999999999999432,6.7,120,148,119,149,288,324,291,"-3.201","3.201","70.6","7.2",7,5,1,0,0,2,0,0,1,14.3,1.928,0.842,0.8532,-0.3612,"94.3",227,80,40,28.57142857142857,5.7,-2.48,0.03,2.14,0.714,2,"12.804",0.56,1.137,"-12.804",0.216,0.15399999999999991,0.663,0.262,20,"36.1",14.581904421625357,-7.8521075999057315,29.841259014746285,0.5,36.33839055053498,33.853279476497505
25,656546,"Hoffman, Jeff","2025-09-26",776177,25,100,0,0,0,0,0.277,0.352,0.125,0,3,88.8,2,2265,90.6,91.23,1,8,17,0.6000000000000085,6.55,102,144,116,149,290,323,292,"0.086","-0.086","70.4","7.0",5,3,0,0,0,0,0,0,2,40,1.8656,0.9152,0.85708,-0.58375,"90.6",154,66.66666666666666,0,0,5.73,-2.42,-0.4,2.92,0.4,0,"-0.344",0.475,0.175,"0.344",-0.125,-0.07499999999999996,-0.175,-0.075,12.5,"37.1",5.724574995474521,1.410702581600793,30.36433756546855,0.375,40.06229312346387,29.193273161040423
24,656546,"Hoffman, Jeff","2025-04-13",778344,24,100,0.143,0.143,0.333,0.286,0.179,0.159,0.164,1,7,84.8,19.3,2457,93.8,94.15,6,13,11,0.4000000000000057,6.61,114,145,112,139,297,318,296,"1.113","-1.113","68.5","7.1",7,3,0,1,0,0,4,57.1,0,0,1.74292,0.87167,0.85917,-0.14667,"89.1",193,0,0,0,5.89,-2.61,0.07,2.5,0.143,0,"-4.6375",0.164,0.202,"4.6375",-0.021,-0.02100000000000002,0.084,0.02,46.2,"37.8",12.897165768963726,1.5008396410562777,33.04889730792766,0.6153846153846154,34.6220607881638,27.39524655695371
