"last_name, first_name",pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin
"Lynn, Lance",458681,2491.0,2327.0,2599.0,,1844.0,2598.0,,,,
"Bieber, Shane",669456,2357.0,,2527.0,2551.0,1665.0,2352.0,,,,
"Márquez, Germán",608566,2157.0,2140.0,,2382.0,1816.0,2728.0,,,,
"Giolito, Lucas",608337,2349.0,,,2095.0,1410.0,2493.0,,,,
"Scherzer, Max",453286,2472.0,,2574.0,2384.0,1440.0,2782.0,,,,
"Woodruff, Brandon",605540,2457.0,2364.0,,2525.0,1817.0,2606.0,,,,
"Cole, Gerrit",543037,2505.0,2505.0,2512.0,2581.0,1750.0,2803.0,,,,
"Civale, Aaron",650644,2346.0,2270.0,2499.0,2709.0,2028.0,2840.0,,,,
"Bauer, Trevor",545333,2779.0,2780.0,2911.0,,1731.0,2933.0,,,2949.0,
"Darvish, Yu",506433,2582.0,2492.0,2677.0,2792.0,,2719.0,1638.0,,2791.0,
"Castillo, Luis",622491,2181.0,2100.0,,2484.0,1942.0,,,,,
"Hendricks, Kyle",543294,1969.0,1862.0,,,2062.0,2811.0,,,,
"Nola, Aaron",605400,2180.0,2101.0,,,1518.0,2499.0,,,,
"Cueto, Johnny",456501,2222.0,2123.0,,2231.0,1333.0,2335.0,,,,
"Gibson, Kyle",502043,2261.0,2130.0,2688.0,2475.0,1652.0,2418.0,,,,
"Senzatela, Antonio",622608,2140.0,,,2177.0,2133.0,2312.0,,,,
"deGrom, Jacob",594798,2477.0,,,2565.0,1638.0,2632.0,,,,
"Ryu, Hyun Jin",547943,1995.0,1953.0,2026.0,,1478.0,2542.0,,,,
"Freeland, Kyle",607536,2448.0,2388.0,2474.0,,1375.0,2444.0,,,,
"Gallen, Zac",668678,2378.0,2192.0,2333.0,2399.0,1530.0,2432.0,,,,
