name,mlbam_id,luck_signal,luck_score,prior_xwoba,prior_pa,recent_xwoba,recent_pa,trend_delta,trend_dir,combined,xwoba_april,ros_woba,audit_correct,woba_change
Paul Goldschmidt,502671,Sell High,-0.0790,0.3233,82,0.3572,76,0.0338,Hot,Conflicted Sell,0.3676,0.3150,True,-0.0712
José Altuve,514888,Slight Sell,-0.0461,0.2761,79,0.2467,76,-0.0294,Cold,Strong Sell,0.2634,0.3669,False,0.0429
Salvador Pérez,521692,Buy Low,0.0553,0.4080,78,0.3025,74,-0.1055,Cold,Conflicted Buy,0.3948,0.3371,True,0.0403
Marcus Semien,543760,Buy Low,0.0657,0.2984,71,0.3238,84,0.0254,Hot,Strong Buy,0.3087,0.3296,True,0.0888
Bryce Harper,547180,Slight Buy,0.0334,0.3853,86,0.3870,85,0.0017,Neutral,Buy (Neutral trend),0.3694,0.3955,True,0.0458
Mike Yastrzemski,573262,Slight Sell,-0.0608,0.3593,68,0.3364,77,-0.0229,Cold,Strong Sell,0.3437,0.2849,True,-0.1151
Aaron Judge,592450,Sell High,-0.1061,0.4458,85,0.4904,87,0.0446,Hot,Conflicted Sell,0.4900,0.4337,True,-0.1017
Manny Machado,592518,Slight Buy,0.0348,0.3967,75,0.4446,75,0.0480,Hot,Strong Buy,0.3816,0.3958,True,0.0655
Jorge Polanco,593871,Slight Sell,-0.0431,0.4115,43,0.4229,61,0.0114,Neutral,Sell (Neutral trend),0.4848,0.2833,True,-0.2304
Josh Bell,605137,Buy Low,0.0811,0.3229,68,0.2470,56,-0.0760,Cold,Conflicted Buy,0.2751,0.3510,True,0.1141
Mookie Betts,605141,Slight Buy,0.0247,0.2941,75,0.3578,88,0.0637,Hot,Strong Buy,0.3142,0.2990,False,-0.0286
Brandon Nimmo,607043,Buy Low,0.0484,0.2816,75,0.3652,79,0.0837,Hot,Strong Buy,0.3229,0.3617,True,0.0767
Trea Turner,607208,Slight Sell,-0.0423,0.2859,87,0.3239,87,0.0381,Hot,Conflicted Sell,0.2929,0.3577,False,0.0232
