mlbam_id,name,luck_signal,audit_correct,ros_woba,trend_score_v2,trend_dir_v2,recent_pa,prior_pa,l1,l2,l3,l4,l5
672386,Alejandro Kirk,Buy Low,True,0.3719,0.3680,Hot,58,56,0.0792,0.1385,0.0498,0.0053,0.0952
678882,Ceddanne Rafaela,Buy Low,True,0.3406,0.3669,Hot,75,54,0.1412,0.2156,-0.0084,0.0008,0.0177
624424,Michael Conforto,Slight Buy,True,0.3086,0.3179,Hot,72,64,-0.0133,0.3106,-0.0013,0.0176,0.0042
683737,Michael Busch,Slight Sell,True,0.3841,0.2942,Hot,67,68,0.1801,0.1618,-0.0609,-0.0029,0.0160
669257,Will Smith,Slight Sell,False,0.4188,0.2689,Hot,64,47,0.0824,0.0859,0.0129,0.0436,0.0441
681624,Andy Pages,Slight Sell,True,0.3318,0.2624,Hot,89,51,0.0683,0.1041,0.0546,0.0136,0.0219
681082,Bryson Stott,Sell High,True,0.2668,0.2437,Hot,75,75,0.0530,0.2085,-0.0368,-0.0121,0.0311
605141,Mookie Betts,Slight Buy,False,0.2990,0.2119,Hot,88,75,0.0380,0.0985,0.0190,-0.0203,0.0767
669065,Kyle Stowers,Slight Sell,False,0.4071,0.1792,Hot,73,67,0.0676,0.1608,-0.0524,0.0087,-0.0055
663757,Trent Grisham,Slight Sell,True,0.3568,0.1747,Hot,73,44,0.0446,0.0525,0.0313,0.0225,0.0239
547180,Bryce Harper,Slight Buy,True,0.3955,0.1299,Hot,85,86,0.0160,0.1003,0.0375,-0.0148,-0.0092
642715,Willy Adames,Slight Buy,True,0.3525,0.1278,Hot,84,88,-0.0644,0.1189,0.0576,-0.0059,0.0216
641355,Cody Bellinger,Slight Buy,True,0.3942,0.1259,Hot,80,66,-0.0322,0.0463,0.0447,0.0377,0.0293
686469,Vinnie Pasquantino,Buy Low,True,0.3773,0.1258,Hot,85,83,0.0027,0.1412,0.0103,-0.0028,-0.0256
608324,Alex Bregman,Sell High,True,,0.1199,Flat,90,80,0.0164,0.1361,-0.0098,-0.0204,-0.0025
690993,Colt Keith,Buy Low,True,0.3478,0.1179,Flat,56,48,-0.0379,0.1119,0.0325,0.0026,0.0088
664040,Brandon Lowe,Buy Low,True,0.3972,0.1141,Flat,75,66,-0.0467,0.1093,0.0219,0.0260,0.0037
673237,Yainer Diaz,Buy Low,True,0.3344,0.0978,Flat,80,59,0.0308,0.0201,0.0549,0.0092,-0.0172
621043,Carlos Correa,Slight Buy,True,0.3398,0.0971,Flat,63,68,-0.0111,0.0399,0.0721,-0.0317,0.0280
670764,Taylor Walls,Slight Buy,True,0.3039,0.0927,Flat,54,50,-0.0584,0.1088,-0.0166,0.0277,0.0312
607208,Trea Turner,Slight Sell,False,0.3577,0.0922,Flat,87,87,-0.0353,0.0038,0.0272,0.0222,0.0743
687363,Victor Scott,Sell High,True,0.2736,0.0918,Flat,65,63,0.0536,0.0235,0.0105,-0.0154,0.0196
656716,Zach Mckinstry,Sell High,True,0.3385,0.0870,Flat,77,61,0.0132,0.0633,0.0100,-0.0338,0.0343
502671,Paul Goldschmidt,Sell High,True,0.3150,0.0813,Flat,76,82,0.0511,0.0809,-0.0650,0.0013,0.0130
592518,Manny Machado,Slight Buy,True,0.3958,0.0809,Flat,75,75,-0.0391,0.0069,0.0863,-0.0003,0.0270
656775,Cedric Mullins,Slight Sell,True,0.2767,0.0784,Flat,76,63,0.0910,0.0144,-0.0675,-0.0624,0.1030
605137,Josh Bell,Buy Low,True,0.3510,0.0720,Flat,56,68,-0.0244,0.0882,0.0376,-0.0401,0.0107
650402,Gleyber Torres,Buy Low,True,0.3695,0.0611,Flat,89,49,-0.0336,0.0478,0.0237,0.0157,0.0075
621493,Taylor Ward,Buy Low,True,0.3654,0.0600,Flat,75,76,0.0151,0.0071,0.0059,-0.0104,0.0423
666160,Mickey Moniak,Buy Low,True,0.3810,0.0550,Flat,61,59,-0.0303,0.0377,0.0539,-0.0091,0.0029
666176,Jo Adell,Buy Low,True,0.3693,0.0428,Flat,48,58,-0.0550,0.0817,-0.0121,-0.0196,0.0478
672515,Gabriel Moreno,Buy Low,True,,0.0404,Flat,57,49,-0.1061,0.0938,0.0747,-0.0361,0.0142
672356,Gabriel Arias,Slight Sell,True,0.2873,0.0332,Flat,77,56,0.0240,-0.0122,0.0167,0.0143,-0.0097
573262,Mike Yastrzemski,Slight Sell,True,0.2849,0.0230,Flat,77,68,0.0675,-0.0751,0.0391,-0.0370,0.0286
673548,Seiya Suzuki,Slight Sell,True,0.3387,0.0152,Flat,84,55,0.0054,0.0527,-0.0595,-0.0245,0.0412
686217,Sal Frelick,Slight Sell,True,0.3302,0.0092,Flat,56,77,0.0758,-0.0529,-0.0420,-0.0184,0.0467
663697,Jonathan India,Buy Low,True,0.3101,0.0069,Flat,86,70,-0.0608,0.0187,0.0388,0.0005,0.0096
669394,Jake Burger,Buy Low,True,0.3218,0.0068,Flat,46,55,-0.0712,-0.0471,0.0389,0.0397,0.0465
664034,Ty France,Slight Buy,False,0.2975,0.0031,Flat,77,74,0.0401,-0.0234,0.0268,-0.0243,-0.0161
673962,Josh Jung,Slight Sell,True,0.2949,0.0026,Flat,78,60,0.0139,-0.0415,0.0419,0.0233,-0.0350
664761,Alec Bohm,Buy Low,True,0.3606,-0.0001,Flat,67,75,-0.0189,-0.0187,0.0485,0.0101,-0.0211
543760,Marcus Semien,Buy Low,True,0.3296,-0.0052,Flat,84,71,-0.0295,0.0037,0.0769,-0.0272,-0.0292
607043,Brandon Nimmo,Buy Low,True,0.3617,-0.0119,Flat,79,75,-0.0439,-0.0150,0.0434,0.0116,-0.0079
808982,Jung Hoo Lee,Slight Sell,True,0.2870,-0.0133,Flat,79,85,0.0971,-0.0844,-0.0653,-0.0003,0.0395
666182,Bo Bichette,Slight Buy,True,0.3579,-0.0265,Flat,85,85,-0.1125,0.0897,-0.0078,-0.0149,0.0190
608369,Corey Seager,Slight Buy,True,0.3742,-0.0301,Flat,23,61,-0.0993,0.0006,0.0264,0.0038,0.0384
663624,Ryan Mountcastle,Slight Buy,True,,-0.0348,Flat,77,53,-0.0228,-0.0033,-0.0104,0.0057,-0.0039
663698,Joey Bart,Sell High,True,,-0.0373,Flat,72,46,0.0980,-0.1500,-0.0937,0.0397,0.0687
668715,Spencer Steer,Slight Buy,True,0.3342,-0.0407,Flat,88,57,-0.0272,-0.0933,0.0543,-0.0223,0.0478
592450,Aaron Judge,Sell High,True,0.4337,-0.0501,Flat,87,85,-0.0001,0.0006,-0.0308,-0.0387,0.0188
683734,Andrew Vaughn,Buy Low,True,,-0.0535,Flat,81,76,-0.0560,0.0164,0.0309,-0.0292,-0.0157
672640,Otto Lopez,Buy Low,True,0.3544,-0.0622,Flat,20,63,-0.0052,-0.0802,0.0192,-0.0087,0.0126
666158,Gavin Lux,Sell High,True,0.3050,-0.0627,Flat,73,66,0.0646,-0.0655,-0.0591,0.0063,-0.0091
593871,Jorge Polanco,Slight Sell,True,0.2833,-0.0744,Flat,61,43,-0.0440,-0.0433,-0.0159,0.0289,-0.0000
677587,Brayan Rocchio,Slight Buy,True,,-0.0784,Cold,30,50,0.0480,0.0797,-0.0857,-0.0467,-0.0738
