player_name,mlbam_id,player_type,pos,luck_signal,luck_score,fp_rank,trend_dir,trend_strength,trend_notes,combined_signal,recent_metric,prior_metric,metric_delta,metric_label,recent_secondary,prior_secondary,secondary_label,recent_volume,recent_volume_label,prior_volume,window_start_recent,window_end_recent,window_start_prior,window_end_prior
Marcell Ozuna,542303,hitter,,Buy low,0.1947,307,Neutral,0.0063,BA -0.006 (no clear trend),No Signal,0.203,0.21,-0.006,BA,0.0508,0.0323,HR/AB,59,AB,62,2026-04-27,2026-05-17,2026-04-06,2026-04-26
George Springer,543807,hitter,,Buy low,0.1804,102,Cold,0.0625,BA -0.062,Conflicted (Buy vs Cold),0.188,0.25,-0.062,BA,0.0,0.0,HR/AB,48,AB,16,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Ildemaro Vargas,545121,hitter,,Sell high,-0.237,244,Cold,0.0409,BA -0.041,Strong Sell,0.297,0.338,-0.041,BA,0.0135,0.0735,HR/AB,74,AB,68,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Manny Machado,592518,hitter,,Buy low,0.4328,43,Cold,0.0561,BA -0.056,Conflicted (Buy vs Cold),0.147,0.203,-0.056,BA,0.0294,0.0469,HR/AB,68,AB,64,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Joc Pederson,592626,hitter,,Neutral,0.1413,211.0,Cold,0.116,BA -0.116,Fading Sell,0.179,0.295,-0.116,BA,0.0513,0.0,HR/AB,39,AB,44,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Víctor Caratini,605170,hitter,,Buy low,0.2073,269.0,Cold,0.095,BA -0.095,Conflicted (Buy vs Cold),0.125,0.22,-0.095,BA,0.0,0.02,HR/AB,32,AB,50,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Teoscar Hernández,606192,hitter,,Sell high,-0.1694,104,Hot,0.121,BA ++0.121,Conflicted (Sell vs Hot),0.311,0.19,0.121,BA,0.0164,0.0476,HR/AB,61,AB,63,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Ketel Marte,606466,hitter,,Buy low,0.2771,28,Cold,0.0912,BA -0.091,Conflicted (Buy vs Cold),0.177,0.269,-0.091,BA,0.0161,0.0448,HR/AB,62,AB,67,2026-04-27,2026-05-17,2026-04-06,2026-04-26
Trea Turner,607208,hitter,,Neutral,0.1724,26,Neutral,0.0319,BA +0.032 (no clear trend),No Signal,0.232,0.2,0.032,BA,0.0145,0.04,HR/AB,69,AB,75,2026-04-27,2026-05-17,2026-04-06,2026-04-26
José Ramírez,608070,hitter,,Buy low,0.3916,5,Cold,0.0442,BA -0.044,Conflicted (Buy vs Cold),0.229,0.273,-0.044,BA,0.0143,0.0758,HR/AB,70,AB,66,2026-04-27,2026-05-17,2026-04-06,2026-04-26
