player_type,mlbam_id,name,verdict,luck_score,trend_dir,trend_score,trend_score_final,n_layers,recent_pa,prior_pa,l1_gap_delta,l2_cq_score,babip_delta,l4_pd_score,bs_delta_mph,bs_flag,recent_xwoba_gap,prior_xwoba_gap,hh_delta_pp,brl_delta_pp,ev_delta_mph,recent_babip,prior_babip,layer6_modifier,worst_pitch_vulnerability,worst_pitch_delta,vulnerability_severity,approach_change_flag,barrel_supported,ld_delta_pp,fb_delta_pp,barrel_delta_pp,layer6_notes
pitcher,668984,Casey Legumina,Sell high,-0.1972,Hot,0.5588,0.5588,5,34,31,0.1780,0.3168,-0.2593,-0.0234,1.1782,False,-0.0519,0.1262,-35.2989,-4.6595,-6.3149,0.2794,0.5387,0.0000,,,n/a,False,True,,,,
pitcher,656638,Alex Lange,Buy low,0.3122,Hot,0.5012,0.5012,5,37,40,0.1162,0.4174,-0.2503,-0.1318,0.5614,False,-0.0763,0.0399,-30.4247,-9.5310,-11.8362,0.1963,0.4466,0.0000,,,n/a,False,True,,,,
hitter,680779,Henry Davis,Neutral,0.1735,Hot,0.4292,0.4292,5,35,40,0.1282,0.3348,-0.1145,0.0879,1.1664,False,0.1635,0.0353,15.9048,13.9048,10.6779,0.0476,0.1621,0.0000,4-Seam,-2.2000,none,False,True,-2.9000,-10.3000,-0.2000,
hitter,677588,José Tena,Slight sell,-0.0954,Hot,0.3644,0.3644,5,51,31,0.0690,0.2109,-0.0584,0.0209,4.6533,False,0.0258,-0.0431,14.8810,13.0952,4.8592,0.2687,0.3271,0.0000,Changeup,-0.6000,none,False,True,,,,
hitter,686894,Joey Wiemer,Sell high,-0.2404,Hot,0.2996,0.2996,5,25,28,0.0858,0.1234,0.0136,0.0927,2.1079,False,-0.0141,-0.0999,11.2836,-2.2774,3.6923,0.3261,0.3125,0.0000,4-Seam,1.9000,none,False,True,,,,
pitcher,663969,Tyler Phillips,Slight sell,-0.0848,Hot,0.2866,0.2866,5,36,56,0.0218,0.3445,-0.0717,-0.0045,-1.2437,True,-0.0165,0.0054,-29.8136,-12.6594,-7.8744,0.2556,0.3274,0.0000,,,n/a,False,True,,,,
hitter,670770,Tj Friedl,Buy low,0.3322,Hot,0.3345,0.2845,5,53,67,0.0694,0.1873,-0.0414,-0.0673,5.5144,False,0.0403,-0.0291,6.7315,-0.7473,7.7966,0.2123,0.2537,-0.0500,Slider,-3.6000,mild,False,True,-0.2000,-5.8000,-0.2000,Mild Slider vulnerability (Δ-3.6/100)
pitcher,805123,Aj Blubaugh,Slight sell,-0.0853,Hot,0.2761,0.2761,5,49,48,0.0566,0.1314,-0.1042,0.0300,1.9256,False,-0.0805,-0.0239,-8.4086,-4.7155,-3.7602,0.1680,0.2722,0.0000,,,n/a,False,True,,,,
pitcher,623211,Huascar Brazobán,Buy low,0.2903,Hot,0.2630,0.2630,5,44,31,0.0746,0.1508,-0.2130,-0.0636,0.4823,False,-0.0420,0.0325,-4.0855,-3.5714,-5.9818,0.0834,0.2963,0.0000,,,n/a,False,True,,,,
hitter,516782,Starling Marte,Slight sell,-0.0868,Hot,0.2487,0.2487,5,22,20,0.0117,0.1790,0.0790,0.0642,1.0019,False,-0.0130,-0.0247,17.6190,-4.5238,5.2250,0.4916,0.4126,0.0000,4-Seam,-1.3000,none,False,True,,,,
pitcher,643377,Griffin Jax,Slight sell,-0.1186,Hot,0.2468,0.2468,5,65,30,0.0477,0.3426,0.1174,-0.0951,0.6526,False,-0.0528,-0.0051,-37.1981,-9.8901,-6.3449,0.2459,0.1286,0.0000,,,n/a,False,True,,,,
hitter,686948,Drake Baldwin,Slight sell,-0.0974,Hot,0.2435,0.2435,5,78,84,0.0139,0.2845,-0.0578,-0.0054,0.9272,False,0.0228,0.0089,17.8877,9.7375,8.2938,0.3440,0.4018,0.0000,Splitter,-2.8000,none,False,True,6.2000,-9.2000,,
hitter,672695,Geraldo Perdomo,Buy low,0.2878,Hot,0.3420,0.2420,5,84,59,0.1318,0.2454,-0.2358,0.0369,2.9899,False,0.0522,-0.0796,17.1425,1.6092,7.7435,0.1934,0.4293,-0.1000,Cutter,-7.0000,moderate,False,False,4.0000,-9.5000,-1.2000,Moderate Cutter vulnerability (Δ-7.0/100)
pitcher,663947,Tyler Holton,Buy low,0.4009,Hot,0.2418,0.2418,5,35,43,-0.0152,0.1843,-0.1745,0.0802,-0.0120,False,0.0734,0.0582,-16.0111,-4.5072,-4.5343,0.2929,0.4674,0.0000,,,n/a,False,True,,,,
hitter,664728,Kyle Isbel,Sell high,-0.2333,Hot,0.3346,0.2346,5,54,49,-0.0737,0.2467,0.1574,0.0258,4.4997,False,-0.0459,0.0278,-4.3632,-0.2621,13.4662,0.3695,0.2122,-0.1000,Changeup,-5.6000,moderate,False,True,5.3000,-11.2000,0.8000,Moderate Changeup vulnerability (Δ-5.6/100)
pitcher,694819,Jacob Misiorowski,Slight sell,-0.0944,Hot,0.2333,0.2333,5,87,70,0.0832,0.0634,-0.1637,0.0400,0.4603,False,-0.0546,0.0287,-4.4657,-1.8750,-1.7741,0.1913,0.3550,0.0000,,,n/a,False,True,,,,
hitter,605170,Víctor Caratini,Buy low,0.2402,Hot,0.2773,0.2273,5,39,58,0.0427,0.2544,0.1060,-0.0504,0.4616,False,0.1018,0.0590,28.6036,-0.7456,5.6807,0.2252,0.1192,-0.0500,Sinker,-4.7000,mild,False,False,11.0000,-14.5000,-1.6000,Mild Sinker vulnerability (Δ-4.7/100)
pitcher,671737,Taj Bradley,Sell high,-0.1801,Hot,0.2271,0.2271,5,52,77,0.0352,0.1057,-0.0580,0.0963,1.1989,False,-0.0265,0.0087,-7.8795,11.3987,-5.0251,0.2198,0.2777,0.0000,,,n/a,False,True,,,,
pitcher,671096,Andrew Abbott,Slight sell,-0.0811,Hot,0.2214,0.2214,5,92,61,0.1038,0.0541,-0.1722,0.0028,0.1343,False,-0.0490,0.0548,-0.8388,-7.7485,-1.3312,0.2197,0.3919,0.0000,,,n/a,False,True,,,,
pitcher,554430,Zack Wheeler,Slight sell,-0.0989,Hot,0.2122,0.2122,5,100,20,0.0563,0.1762,-0.0309,-0.0308,0.6000,False,-0.0713,-0.0150,-8.5040,-1.9377,-6.3950,0.2421,0.2730,0.0000,,,n/a,False,True,,,,
hitter,682998,Corbin Carroll,Slight sell,-0.1289,Hot,0.3115,0.2115,5,82,64,0.0317,0.2592,-0.0085,0.0791,1.2100,False,-0.0180,-0.0497,24.9035,15.0648,4.4764,0.3376,0.3461,-0.1000,Splitter,-7.0000,moderate,False,True,2.0000,0.6000,5.6000,Moderate Splitter vulnerability (Δ-7.0/100)
hitter,804606,Konnor Griffin,Sell high,-0.2400,Hot,0.1900,0.1900,5,77,72,-0.0282,0.1208,0.0948,0.0469,2.0047,False,-0.0170,0.0111,9.7252,-1.6281,3.8517,0.4281,0.3333,0.0000,,,none,False,True,4.1000,-15.5000,,
hitter,677587,Brayan Rocchio,Neutral,-0.0847,Hot,0.1848,0.1848,5,69,67,0.0162,0.1519,0.0671,0.0226,0.2974,False,-0.0408,-0.0570,13.8204,1.3916,3.9333,0.3804,0.3133,0.0000,Sinker,-1.6000,none,False,True,-1.4000,-3.2000,-0.4000,
hitter,592663,J. t. Realmuto,Buy low,0.1757,Hot,0.1823,0.1823,5,51,29,0.0847,0.1695,-0.0602,0.0387,-1.1102,True,0.0778,-0.0069,20.1318,1.9608,3.1496,0.2271,0.2873,0.0000,Sinker,-3.0000,none,False,False,1.7000,4.6000,-8.0000,
pitcher,671922,Cade Smith,Buy low,0.2665,Hot,0.1782,0.1782,5,35,26,0.0411,0.0199,0.0104,0.2424,0.1367,False,0.0122,0.0533,0.2264,-15.9420,1.3395,0.4271,0.4167,0.0000,,,n/a,False,True,,,,
pitcher,695505,Chase Burns,Sell high,-0.6970,Hot,0.1754,0.1754,5,90,94,0.0215,0.1097,-0.0979,0.0357,0.3042,False,-0.0221,-0.0006,-10.7780,-5.2791,-2.0008,0.1789,0.2768,0.0000,,,n/a,False,True,,,,
pitcher,593958,Eduardo Rodríguez,Sell high,-0.5251,Hot,0.1723,0.1723,5,103,74,-0.0048,0.1831,0.0171,0.0555,0.3223,False,-0.0393,-0.0441,-10.5492,-2.3364,-6.1658,0.2743,0.2572,0.0000,,,n/a,False,True,,,,
pitcher,641743,Anthony Kay,Slight sell,-0.0962,Hot,0.1606,0.1606,5,90,82,-0.0101,0.1756,-0.0824,0.0349,-0.6734,False,0.0000,-0.0101,-13.5661,-4.9260,-4.6503,0.2605,0.3429,0.0000,,,n/a,False,True,,,,
pitcher,596133,Luke Weaver,Buy low,0.3334,Hot,0.1600,0.1600,5,39,27,-0.0427,0.1748,0.0027,0.0908,0.6191,False,0.0412,-0.0016,-23.7322,-9.3875,-1.3994,0.3546,0.3518,0.0000,,,n/a,False,True,,,,
