name,mlbam_id,current_xwOBA_model,true_xwOBA_savant,gap_difference,current_luck,corrected_luck,current_verdict,corrected_verdict,flipped,borderline
Ke'bryan Hayes,663647,0.316,0.312,-0.004,0.5318,0.5278,Buy low,Buy low,,
Manny Machado,592518,0.338,0.305,-0.033,0.5460,0.5130,Buy low,Buy low,,
Corey Seager,608369,0.359,0.330,-0.029,0.4537,0.4247,Buy low,Buy low,,
Mookie Betts,605141,0.407,0.337,-0.070,0.4576,0.3876,Buy low,Buy low,,
José Ramírez,608070,0.391,0.367,-0.024,0.4082,0.3842,Buy low,Buy low,,
Evan Carter,694497,0.354,0.307,-0.047,0.4299,0.3829,Buy low,Buy low,,
Caleb Durbin,702332,0.271,0.262,-0.009,0.3810,0.3720,Buy low,Buy low,,
Alec Bohm,664761,0.312,0.290,-0.022,0.3785,0.3565,Buy low,Buy low,,
Víctor Caratini,605170,0.328,0.328,+0.000,0.3495,0.3495,Buy low,Buy low,,
Geraldo Perdomo,672695,0.320,0.326,+0.006,0.3426,0.3486,Buy low,Buy low,,
Tyler O'neill,641933,0.275,0.275,+0.000,0.3449,0.3449,Buy low,Buy low,,
Yordan Álvarez,670541,0.520,0.487,-0.033,0.3690,0.3360,Buy low,Buy low,,
Tj Friedl,670770,0.263,0.251,-0.012,0.3476,0.3356,Buy low,Buy low,,
J. p. Crawford,641487,0.383,0.348,-0.035,0.3700,0.3350,Buy low,Buy low,,
Jarren Duran,680776,0.322,0.301,-0.021,0.3090,0.2880,Buy low,Buy low,,
Jackson Merrill,701538,0.314,0.304,-0.010,0.2821,0.2721,Buy low,Buy low,,
Dansby Swanson,621020,0.326,0.305,-0.021,0.2924,0.2714,Buy low,Buy low,,
Nico Hoerner,663538,0.362,0.331,-0.031,0.3004,0.2694,Buy low,Buy low,,
Will Smith,669257,0.377,0.375,-0.002,0.2705,0.2685,Buy low,Buy low,,
Austin Wells,669224,0.328,0.309,-0.019,0.2840,0.2650,Buy low,Buy low,,
Dillon Dingler,693307,0.418,0.388,-0.030,0.2938,0.2638,Buy low,Buy low,,
Bryson Stott,681082,0.335,0.306,-0.029,0.2916,0.2626,Buy low,Buy low,,
Kyle Karros,691720,0.323,0.321,-0.002,0.2585,0.2565,Buy low,Buy low,,
Tyler Stephenson,663886,0.343,0.321,-0.022,0.2723,0.2503,Buy low,Buy low,,
Vinnie Pasquantino,686469,0.319,0.305,-0.014,0.2606,0.2466,Buy low,Buy low,,
Matt Mclain,680574,0.328,0.311,-0.017,0.2607,0.2437,Buy low,Buy low,,
Ezequiel Tovar,678662,0.300,0.296,-0.004,0.2471,0.2431,Buy low,Buy low,,
Trea Turner,607208,0.304,0.288,-0.016,0.2511,0.2351,Buy low,Buy low,,
Sal Stewart,701398,0.392,0.373,-0.019,0.2491,0.2301,Buy low,Buy low,,
Wenceel Pérez,672761,0.286,0.267,-0.019,0.2480,0.2290,Buy low,Buy low,,
Jake Cronenworth,630105,0.313,0.304,-0.009,0.2367,0.2277,Buy low,Buy low,,
Adley Rutschman,668939,0.403,0.356,-0.047,0.2700,0.2230,Buy low,Buy low,,
Rob Refsnyder,608701,0.257,0.253,-0.004,0.2242,0.2202,Buy low,Buy low,,
Ronald Acuña,660670,0.369,0.366,-0.003,0.2218,0.2188,Buy low,Buy low,,
Lawrence Butler,671732,0.305,0.293,-0.012,0.2266,0.2146,Buy low,Buy low,,
Luis Rengifo,650859,0.293,0.296,+0.003,0.2074,0.2104,Buy low,Buy low,,
Heriberto Hernandez,681715,0.348,0.346,-0.002,0.2042,0.2022,Buy low,Buy low,,
Tyler Soderstrom,691016,0.337,0.317,-0.020,0.2210,0.2010,Buy low,Buy low,,
Rafael Marchán,665561,0.210,0.190,-0.020,0.2184,0.1984,Buy low,Buy low,,
Chase Delauter,800050,0.362,0.348,-0.014,0.2045,0.1905,Buy low,Buy low,,borderline
Jakob Marsee,805300,0.306,0.296,-0.010,0.1996,0.1896,Buy low,Buy low,,borderline
Steven Kwan,680757,0.301,0.296,-0.005,0.1938,0.1888,Buy low,Buy low,,borderline
Cal Raleigh,663728,0.300,0.289,-0.011,0.1967,0.1857,Buy low,Buy low,,borderline
Brent Rooker,667670,0.323,0.304,-0.019,0.1929,0.1739,Buy low,Neutral,YES,borderline
Henry Davis,680779,0.308,0.283,-0.025,0.1915,0.1665,Buy low,Neutral,YES,borderline
Tyler Freeman,671289,0.328,0.315,-0.013,0.1795,0.1665,Buy low,Neutral,YES,borderline
Jj Wetherholt,802139,0.371,0.355,-0.016,0.1814,0.1654,Buy low,Neutral,YES,borderline
Trent Grisham,663757,0.369,0.342,-0.027,0.1894,0.1624,Buy low,Neutral,YES,borderline
Matt Vierling,663837,0.353,0.323,-0.030,0.1923,0.1623,Buy low,Neutral,YES,borderline
Bo Bichette,666182,0.346,0.322,-0.024,0.1853,0.1613,Buy low,Neutral,YES,borderline
Starling Marte,516782,0.273,0.279,+0.006,-0.0968,-0.0908,Slight sell,Slight sell,,borderline
A.J. Ewing,805999,0.366,0.359,-0.007,-0.0859,-0.0929,Slight sell,Slight sell,,borderline
Hunter Feduccia,676439,0.282,0.279,-0.003,-0.0929,-0.0959,Slight sell,Slight sell,,borderline
Daniel Susac,691740,0.338,0.338,+0.000,-0.0972,-0.0972,Slight sell,Slight sell,,borderline
Bryan Reynolds,668804,0.355,0.348,-0.007,-0.0995,-0.1065,Slight sell,Slight sell,,
Zach Neto,687263,0.351,0.329,-0.022,-0.0858,-0.1078,Slight sell,Slight sell,,
Michael Conforto,624424,0.392,0.368,-0.024,-0.0856,-0.1096,Slight sell,Slight sell,,
Jose Fernandez,699912,0.288,0.278,-0.010,-0.1028,-0.1128,Slight sell,Slight sell,,
Travis Bazzana,683953,0.370,0.351,-0.019,-0.1001,-0.1191,Slight sell,Slight sell,,
Javier Sanoja,691594,0.281,0.274,-0.007,-0.1126,-0.1196,Slight sell,Slight sell,,
Rafael Devers,646240,0.309,0.292,-0.017,-0.1060,-0.1230,Slight sell,Slight sell,,
Giancarlo Stanton,519317,0.328,0.326,-0.002,-0.1220,-0.1240,Slight sell,Slight sell,,
Kyle Isbel,664728,0.286,0.273,-0.013,-0.1127,-0.1257,Slight sell,Slight sell,,
Cj Abrams,682928,0.400,0.371,-0.029,-0.0978,-0.1268,Slight sell,Slight sell,,
Drake Baldwin,686948,0.449,0.418,-0.031,-0.0974,-0.1284,Slight sell,Slight sell,,
Austin Hedges,595978,0.286,0.267,-0.019,-0.1099,-0.1289,Slight sell,Slight sell,,
Willi Castro,650489,0.285,0.281,-0.004,-0.1252,-0.1292,Slight sell,Slight sell,,
Ildemaro Vargas,545121,0.349,0.318,-0.031,-0.0984,-0.1294,Slight sell,Slight sell,,
Austin Martin,668885,0.345,0.333,-0.012,-0.1199,-0.1319,Slight sell,Slight sell,,borderline
José Caballero,676609,0.302,0.282,-0.020,-0.1141,-0.1341,Slight sell,Slight sell,,borderline
Jonny Deluca,676356,0.282,0.277,-0.005,-0.1302,-0.1352,Slight sell,Slight sell,,borderline
Willson Contreras,575929,0.405,0.395,-0.010,-0.1263,-0.1363,Slight sell,Slight sell,,borderline
Kody Clemens,665019,0.340,0.323,-0.017,-0.1201,-0.1371,Slight sell,Slight sell,,borderline
Jackson Chourio,694192,0.311,0.302,-0.009,-0.1281,-0.1371,Slight sell,Slight sell,,borderline
Brett Baty,683146,0.321,0.312,-0.009,-0.1299,-0.1389,Slight sell,Slight sell,,borderline
Ty France,664034,0.356,0.328,-0.028,-0.1130,-0.1410,Slight sell,Slight sell,,borderline
Elly De la cruz,682829,0.382,0.363,-0.019,-0.1220,-0.1410,Slight sell,Slight sell,,borderline
