batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA
695578,James Wood,136,0.304,0.652,0.303,0.318,96.9939393939394,0.821,0.5,0.318,0.205,0.409,0.303,0.206,0.294,0.7,0.429,0.49
687263,Zach Neto,136,0.343,0.36,0.12,0.2,88.28800000000001,0.849,0.167,0.467,0.292,0.307,0.4,0.147,0.294,0.5,0.365,0.362
686948,Drake Baldwin,134,0.349,0.495,0.151,0.269,91.28064516129032,0.855,0.318,0.398,0.347,0.43,0.237,0.097,0.194,0.5,0.401,0.421
663538,Nico Hoerner,132,0.313,0.277,0.03,0.139,86.01485148514851,0.982,0.143,0.379,0.328,0.34,0.272,0.098,0.098,1.0,0.382,0.407
660670,Ronald Acuña,132,0.286,0.43,0.128,0.151,88.98372093023256,0.817,0.08,0.326,0.256,0.419,0.291,0.136,0.189,0.72,0.328,0.391
608324,Alex Bregman,131,0.269,0.453,0.084,0.137,90.24105263157894,0.882,0.13,0.438,0.187,0.438,0.24,0.107,0.153,0.7,0.323,0.351
805300,Jakob Marsee,131,0.241,0.398,0.024,0.12,87.56746987951807,0.966,0.045,0.488,0.196,0.381,0.262,0.137,0.206,0.667,0.278,0.289
621566,Matt Olson,131,0.338,0.482,0.176,0.235,92.10588235294118,0.862,0.276,0.388,0.267,0.388,0.341,0.115,0.237,0.484,0.411,0.405
545361,Mike Trout,130,0.235,0.52,0.253,0.267,92.476,0.914,0.258,0.355,0.171,0.342,0.408,0.208,0.192,1.08,0.417,0.485
660271,Shohei Ohtani,129,0.333,0.507,0.2,0.2,94.18,0.87,0.231,0.6,0.331,0.467,0.347,0.147,0.248,0.594,0.391,0.417
663728,Cal Raleigh,128,0.233,0.3,0.138,0.162,86.64625,0.777,0.189,0.588,0.355,0.288,0.462,0.102,0.273,0.371,0.311,0.351
683002,Gunnar Henderson,128,0.235,0.506,0.13,0.182,90.71298701298701,0.831,0.391,0.506,0.321,0.377,0.299,0.086,0.305,0.282,0.342,0.384
607043,Brandon Nimmo,128,0.333,0.484,0.11,0.187,90.96593406593406,0.888,0.19,0.363,0.298,0.418,0.231,0.078,0.195,0.4,0.361,0.38
621493,Taylor Ward,128,0.384,0.391,0.057,0.218,89.62988505747127,0.924,0.042,0.356,0.109,0.379,0.276,0.164,0.148,1.105,0.411,0.387
666176,Jo Adell,126,0.289,0.452,0.065,0.129,90.55806451612902,0.87,0.133,0.309,0.38,0.383,0.319,0.024,0.206,0.115,0.288,0.32
677594,Julio Rodríguez,126,0.313,0.388,0.059,0.118,87.80941176470589,0.858,0.118,0.376,0.368,0.494,0.2,0.095,0.214,0.444,0.315,0.326
677951,Bobby Witt,125,0.348,0.528,0.112,0.258,92.57640449438202,0.874,0.053,0.278,0.336,0.344,0.211,0.112,0.168,0.667,0.351,0.387
701762,Nick Kurtz,125,0.36,0.636,0.218,0.309,98.10909090909091,0.758,0.25,0.327,0.205,0.345,0.364,0.24,0.32,0.75,0.379,0.426
669364,Xavier Edwards,125,0.389,0.429,0.055,0.143,89.80549450549451,0.935,0.056,0.363,0.212,0.467,0.196,0.144,0.12,1.2,0.398,0.374
608070,José Ramírez,125,0.217,0.461,0.101,0.202,90.63595505617978,0.936,0.162,0.382,0.299,0.281,0.416,0.168,0.12,1.4,0.35,0.429
