pitcher,Player,Team,Position,Signal,Luck Score,ERA,FIP,xERA,Ownership %,CBS Rank,CBS FPTS,Type
666200,Jesús Luzardo,PHI,,Buy low,0.723,4.72,2.6,2.81,92.03,62.0,,Pitcher
657746,Joe Ryan,MIN,,Buy low,0.4279,4.78,2.87,2.711,93.48,64.0,,Pitcher
656849,David Peterson,NYM,,Buy low,0.3893,5.82,3.15,4.939,3.9,,,Pitcher
669387,Carmen Mlodzinski,PIT,,Buy low,0.3596,4.5,2.38,4.429,4.56,116.0,,Pitcher
579328,Yusei Kikuchi,LAA,,Buy low,0.2936,5.87,3.62,4.691,11.21,,,Pitcher
605400,Aaron Nola,PHI,,Buy low,0.2365,5.2,4.05,4.366,48.16,102.0,,Pitcher
664285,Framber Valdez,DET,,Buy low,0.2257,5.19,4.23,4.29,92.4,70.0,,Pitcher
621111,Walker Buehler,SD,,Buy low,0.2108,5.1,3.36,4.703,2.21,,,Pitcher
676879,Aaron Ashby,MIL,,Buy low,0.2081,3.86,1.81,2.328,11.36,73.0,,Pitcher
669358,Shane Baz,BAL,,Buy low,0.193,5.08,3.98,4.667,24.88,,,Pitcher
663687,Hogan Harris,ATH,,Neutral,0.5157,5.79,1.03,-3.431,2.24,140.0,,Pitcher
676917,Cade Cavalli,WSH,,Neutral,0.5036,5.4,2.74,3.189,7.71,,,Pitcher
656302,Dylan Cease,TOR,,Neutral,0.4034,3.52,2.01,2.852,97.9,54.0,,Pitcher
622491,Luis Castillo,SEA,,Neutral,0.3867,7.36,4.18,5.757,65.6,,,Pitcher
547179,Michael Lorenzen,COL,,Neutral,0.3457,7.36,4.94,5.438,0.88,,,Pitcher
650911,Cristopher Sánchez,PHI,,Neutral,0.312,3.02,2.27,2.692,99.07,18.0,,Pitcher
669160,Dustin May,STL,,Neutral,0.3096,5.61,3.77,4.224,4.82,110.0,,Pitcher
672282,Reid Detmers,LAA,,Neutral,0.2716,3.63,2.7,2.253,22.49,69.0,,Pitcher
683004,Jack Leiter,TEX,,Neutral,0.2346,5.54,4.37,4.852,17.37,126.0,,Pitcher
669373,Tarik Skubal,DET,,Neutral,0.2259,2.7,2.04,2.825,98.89,13.0,,Pitcher
647336,Michael Soroka,AZ,,Neutral,0.2041,4.8,3.13,5.052,35.06,86.0,,Pitcher
663978,Chris Paddack,MIA,,Neutral,0.1916,7.92,4.89,4.398,0.46,,,Pitcher
694738,Landen Roupp,SF,,Neutral,0.1727,3.2,2.55,1.955,63.82,22.0,,Pitcher
571510,Matt Boyd,CHC,,Neutral,0.1727,5.01,2.26,4.075,,,,Pitcher
693433,Bryan Woo,SEA,,Neutral,0.1717,5.09,4.11,3.973,96.48,71.0,,Pitcher
657277,Logan Webb,SF,,Neutral,0.167,4.64,3.73,4.384,94.41,79.0,,Pitcher
690997,Nolan Mclean,NYM,,Neutral,0.1632,2.56,1.99,1.503,93.17,44.0,,Pitcher
676962,Ben Brown,CHC,,Neutral,0.1503,3.97,2.59,1.992,3.51,99.0,,Pitcher
608718,Brent Suter,LAA,,Neutral,0.1499,5.12,3.03,2.488,0.15,,,Pitcher
677952,Braxton Ashcraft,PIT,,Neutral,0.1371,3.29,2.88,1.973,51.21,47.0,,Pitcher
701542,Will Warren,NYY,,Neutral,0.1285,3.19,2.67,3.126,79.88,16.0,,Pitcher
673540,Kodai Senga,NYM,,Neutral,0.125,9.15,6.13,4.646,8.09,,,Pitcher
656794,Sean Newcomb,CWS,,Neutral,0.1237,3.38,1.53,2.375,0.17,,,Pitcher
640455,Sean Manaea,NYM,,Neutral,0.123,8.27,4.34,5.062,1.31,,,Pitcher
645261,Sandy Alcántara,MIA,,Neutral,0.1188,4.09,3.76,3.207,84.37,29.0,,Pitcher
681347,Mike Burrows,HOU,,Neutral,0.1174,5.79,5.09,3.702,3.44,,,Pitcher
669432,Trevor Rogers,BAL,,Neutral,0.1164,4.45,3.59,3.094,46.85,,,Pitcher
680573,Simeon Woods richardson,MIN,,Neutral,0.1146,7.41,6.41,5.167,0.57,,,Pitcher
663623,Jake Irvin,WSH,,Neutral,0.1125,4.93,3.92,4.793,1.26,,,Pitcher
680694,Kyle Bradish,BAL,,Neutral,0.1109,6.27,4.7,5.03,61.27,,,Pitcher
691725,Andrew Painter,PHI,,Neutral,0.1076,4.34,3.48,3.912,15.02,,,Pitcher
571945,Miles Mikolas,WSH,,Neutral,0.1065,8.33,6.7,5.321,0.34,,,Pitcher
668678,Zac Gallen,AZ,,Neutral,0.1062,4.55,3.53,5.165,56.76,,,Pitcher
680802,Ryan Weiss,HOU,,Neutral,0.1033,9.12,6.76,5.914,0.13,,,Pitcher
621121,Lance Mccullers,HOU,,Neutral,0.1008,5.52,4.42,4.323,,,,Pitcher
642121,Cole Sulser,TB,,Neutral,0.0992,3.26,2.71,6.372,0.55,120.0,,Pitcher
592836,Taijuan Walker,PHI,,Neutral,0.0976,10.23,7.85,6.698,0.24,,,Pitcher
663556,Shane Mcclanahan,TB,,Neutral,0.0971,3.77,2.75,3.81,43.91,88.0,,Pitcher
665871,Javier Assad,CHC,,Neutral,0.0926,8.5,4.97,5.126,0.59,,,Pitcher
605288,Adrian Houser,SF,,Neutral,0.0886,7.2,5.66,5.848,0.57,,,Pitcher
669022,Mackenzie Gore,TEX,,Neutral,0.0865,4.41,3.95,4.195,69.81,95.0,,Pitcher
693645,Cam Schlittler,NYY,,Neutral,0.0825,1.91,1.62,2.123,97.25,1.0,,Pitcher
641835,Tim Mayza,PHI,,Neutral,0.0774,4.0,2.28,0.443,0.13,,,Pitcher
677944,Slade Cecconi,CLE,,Neutral,0.076,6.81,5.72,5.516,1.22,,,Pitcher
453286,Max Scherzer,TOR,,Neutral,0.0734,8.84,8.37,6.533,3.05,,,Pitcher
605540,Brandon Woodruff,MIL,,Neutral,0.07,4.23,3.9,2.701,75.87,85.0,,Pitcher
676979,Garrett Crochet,BOS,,Neutral,0.0689,3.49,2.96,3.468,99.05,119.0,,Pitcher
669330,Tyler Wells,BAL,,Neutral,0.063,3.93,2.53,0.517,0.59,,,Pitcher
641793,Zack Littell,WSH,,Neutral,0.0598,9.0,8.37,7.628,1.1,,,Pitcher
702070,Noah Cameron,KC,,Neutral,0.0499,5.46,4.37,6.175,10.2,,,Pitcher
605135,Chris Bassitt,BAL,,Neutral,0.0466,6.1,5.13,5.482,5.39,,,Pitcher
678394,Brayan Bello,BOS,,Neutral,0.0421,7.03,6.28,6.63,4.61,,,Pitcher
592791,Jameson Taillon,CHC,,Neutral,0.0421,4.54,5.88,3.864,14.89,56.0,,Pitcher
518876,Merrill Kelly,AZ,,Neutral,0.04,10.0,8.14,9.392,21.21,,,Pitcher
691587,Eury Pérez,MIA,,Neutral,0.0327,5.0,4.53,4.999,77.53,103.0,,Pitcher
686218,Emmet Sheehan,LAD,,Neutral,0.0315,4.45,4.22,4.254,55.04,100.0,,Pitcher
690953,Mick Abel,MIN,,Neutral,0.0311,4.05,2.53,5.027,5.89,,,Pitcher
666142,Cole Ragans,KC,,Neutral,0.0309,4.99,6.68,5.181,86.09,,,Pitcher
543135,Nathan Eovaldi,TEX,,Neutral,0.0262,4.99,4.92,4.344,78.94,87.0,,Pitcher
592332,Kevin Gausman,TOR,,Neutral,0.0262,3.26,3.16,3.307,97.65,23.0,,Pitcher
622608,Antonio Senzatela,COL,,Neutral,0.023,2.6,1.82,1.608,5.49,78.0,,Pitcher
607625,Seth Lugo,KC,,Neutral,0.0188,2.74,2.51,4.001,54.47,39.0,,Pitcher
663903,Brady Singer,CIN,,Neutral,0.0179,5.97,5.68,5.726,7.88,,,Pitcher
625643,Reynaldo López,ATL,,Neutral,0.0155,3.32,4.14,3.393,7.26,117.0,,Pitcher
663372,Ryan Feltner,COL,,Neutral,0.0128,6.52,5.87,6.297,0.13,,,Pitcher
694297,Brandon Pfaadt,AZ,,Neutral,0.0106,5.08,5.04,4.687,2.16,,,Pitcher
696147,Sam Bachman,LAA,,Neutral,0.0105,3.5,1.83,2.414,0.17,,,Pitcher
641816,Tyler Mahle,SF,,Neutral,0.0099,4.84,4.84,4.555,2.75,,,Pitcher
607536,Kyle Freeland,COL,,Neutral,0.0068,4.68,4.63,4.465,1.59,,,Pitcher
695418,Brad Lord,WSH,,Neutral,0.006,3.98,3.86,3.832,0.42,150.0,,Pitcher
607067,Colin Rea,CHC,,Neutral,0.0012,3.31,3.3,4.339,11.36,61.0,,Pitcher
680704,Nick Sandlin,LAA,,Neutral,0.0,11.74,7.95,5.929,0.01,,,Pitcher
693312,Kyle Nicolas,CIN,,Neutral,0.0,12.27,7.53,4.375,0.02,,,Pitcher
664208,Phil Maton,CHC,,Neutral,0.0,11.05,5.32,6.145,0.73,,,Pitcher
647315,Zach Pop,PHI,,Neutral,0.0,4.91,2.03,8.613,0.03,,,Pitcher
694918,Blade Tidwell,SF,,Neutral,0.0,2.57,2.17,1.877,0.07,,,Pitcher
837227,Tatsuya Imai,HOU,,Neutral,0.0,4.32,2.43,2.45,23.58,,,Pitcher
622663,Luis Severino,ATH,,Neutral,0.0,3.83,4.45,4.414,11.0,91.0,,Pitcher
686560,Gavin Collyer,TEX,,Neutral,0.0,0.0,3.57,1.779,0.04,,,Pitcher
676440,Tanner Bibee,CLE,,Neutral,0.0,4.12,4.4,4.034,60.33,,,Pitcher
680732,Sean Burke,CWS,,Neutral,0.0,2.97,3.08,3.08,11.77,53.0,,Pitcher
702056,Trey Yesavage,TOR,,Neutral,0.0,0.96,2.06,0.075,63.49,,,Pitcher
472610,Luis García,NYM,,Neutral,0.0,9.64,3.03,3.646,0.04,,,Pitcher
669438,Mason Englert,TB,,Neutral,0.0,10.22,4.03,5.992,0.02,,,Pitcher
670167,John Schreiber,KC,,Neutral,0.0,5.84,5.75,5.09,0.19,,,Pitcher
677161,Zack Kelly,BOS,,Neutral,0.0,4.97,7.53,6.027,0.04,,,Pitcher
683742,Jose Franco,CIN,,Neutral,0.0,8.0,6.58,6.068,0.02,,,Pitcher
678022,Jack Perkins,ATH,,Neutral,0.0,0.0,1.53,3.171,10.39,104.0,,Pitcher
682842,Abner Uribe,MIL,,Neutral,0.0,3.0,2.5,2.935,52.41,139.0,,Pitcher
607481,Aaron Bummer,ATL,,Neutral,0.0,9.0,7.0,6.059,0.12,,,Pitcher
666808,Camilo Doval,NYY,,Neutral,0.0,6.75,4.5,2.763,3.69,,,Pitcher
690990,Cade Horton,CHC,,Neutral,0.0,2.84,4.29,2.8,10.51,,,Pitcher
694851,Andrew Hoffmann,AZ,,Neutral,0.0,2.84,3.98,3.069,0.02,,,Pitcher
665152,Dean Kremer,BAL,,Neutral,0.0,5.73,5.39,4.025,2.22,,,Pitcher
666374,Matt Brash,SEA,,Neutral,0.0,0.82,2.09,3.603,3.31,148.0,,Pitcher
554430,Zack Wheeler,PHI,,Neutral,0.0,2.45,1.85,1.683,95.34,,,Pitcher
681517,Kyle Leahy,STL,,Neutral,0.0,4.5,5.15,5.967,2.28,133.0,,Pitcher
683618,Edgardo Henriquez,LAD,,Neutral,0.0,6.1,4.64,3.946,0.09,,,Pitcher
656550,Grant Holmes,ATL,,Neutral,0.0,4.58,4.93,4.234,10.5,76.0,,Pitcher
685005,Christian Roa,HOU,,Neutral,0.0,8.22,3.89,6.519,0.01,,,Pitcher
702303,Riley Martin,CHC,,Neutral,0.0,2.16,3.24,1.684,0.05,,,Pitcher
663465,Kolby Allard,CLE,,Neutral,0.0,12.27,5.62,5.963,0.01,,,Pitcher
445276,Kenley Jansen,DET,,Neutral,0.0,3.24,7.08,5.305,50.04,155.0,,Pitcher
680742,Jonathan Bowlan,PHI,,Neutral,0.0,7.56,1.92,2.488,0.03,,,Pitcher
669194,Ryne Nelson,AZ,,Neutral,0.0,5.23,5.29,5.553,6.05,,,Pitcher
608566,Germán Márquez,SD,,Neutral,0.0,6.11,6.78,5.578,0.75,,,Pitcher
808963,Roki Sasaki,LAD,,Neutral,0.0,5.97,6.73,5.675,17.13,,,Pitcher
669212,Eli Morgan,KC,,Neutral,0.0,3.48,1.83,1.006,0.04,,,Pitcher
542888,Shawn Armstrong,CLE,,Neutral,0.0,1.69,5.25,4.775,0.65,,,Pitcher
657756,Connor Seabold,DET,,Neutral,0.0,9.28,1.41,0.691,0.03,,,Pitcher
690925,Clayton Beeter,WSH,,Neutral,0.0,4.22,5.72,4.792,1.89,,,Pitcher
686613,Hunter Brown,HOU,,Neutral,0.0,0.84,1.53,0.563,94.55,,,Pitcher
678368,Valente Bellozo,COL,,Neutral,0.0,5.23,8.25,8.134,0.07,,,Pitcher
642207,Devin Williams,NYM,,Neutral,0.0,6.75,2.53,3.64,72.83,160.0,,Pitcher
664854,Ryan Helsley,BAL,,Neutral,0.0,0.84,1.87,2.461,62.31,107.0,,Pitcher
656234,Jake Bird,NYY,,Neutral,0.0,7.59,3.28,3.335,0.1,,,Pitcher
800311,Didier Fuentes,ATL,,Neutral,0.0,5.0,2.81,3.578,1.56,,,Pitcher
701719,Tyler Samaniego,BOS,,Neutral,0.0,0.0,3.78,2.849,0.03,,,Pitcher
687075,Brandon Sproat,MIL,,Neutral,0.0,6.12,6.47,5.171,2.25,,,Pitcher
676083,Janson Junk,MIA,,Neutral,0.0,3.35,3.35,3.099,8.49,67.0,,Pitcher
694819,Jacob Misiorowski,MIL,,Neutral,0.0,2.61,2.87,2.425,95.62,43.0,,Pitcher
607192,Tyler Glasnow,LAD,,Neutral,0.0,2.61,2.87,1.676,95.81,11.0,,Pitcher
694973,Paul Skenes,PIT,,Neutral,0.0,2.16,2.85,1.126,99.87,31.0,,Pitcher
676282,Joey Cantillo,CLE,,Neutral,0.0,3.93,4.31,4.143,22.73,105.0,,Pitcher
686610,Ken Waldichuk,WSH,,Neutral,0.0,5.68,9.5,6.463,0.01,,,Pitcher
665660,Elvis Alvarado,ATH,,Neutral,0.0,11.57,6.03,8.512,0.06,,,Pitcher
