player,type,signal,call_date,window,games,avg,hr,bb,r_est,rbi_est,cbs_per_game,era_proxy
Yordan Alvarez,hitter,Buy Low,Apr 22,at_call,25,0.359,11,18,24.8,22.4,21.7,
Yordan Alvarez,hitter,Buy Low,Apr 22,since_call,9,0.3,1,3,6.2,5.6,20.3,
Vinnie Pasquantino,hitter,Buy Low,Apr 22,at_call,24,0.156,3,11,12.3,11.1,10.4,
Vinnie Pasquantino,hitter,Buy Low,Apr 22,since_call,8,0.321,1,5,5.9,5.4,17.9,
Trent Grisham,hitter,Buy Low,Apr 22,at_call,21,0.159,3,15,9.7,8.8,8.3,
Trent Grisham,hitter,Buy Low,Apr 22,since_call,11,0.19,2,8,6.9,6.2,12.3,
Oneil Cruz,hitter,Sell High,Apr 22,at_call,23,0.293,7,9,17.6,15.9,18.7,
Oneil Cruz,hitter,Sell High,Apr 22,since_call,9,0.214,2,2,5.6,5.0,15.8,
Jordan Walker,hitter,Sell High,Apr 22,at_call,22,0.298,8,9,17.0,15.4,18.3,
Jordan Walker,hitter,Sell High,Apr 22,since_call,11,0.333,2,5,8.3,7.5,19.9,
Corey Seager,hitter,Buy Low,Apr 29,at_call,29,0.193,6,16,16.2,14.6,12.0,
Corey Seager,hitter,Buy Low,Apr 29,since_call,3,0.273,0,2,1.9,1.7,15.7,
Matt Chapman,hitter,Sell High,Apr 29,at_call,28,0.283,1,10,17.1,15.5,16.6,
Matt Chapman,hitter,Sell High,Apr 29,since_call,4,0.1,0,3,1.8,1.6,8.5,
Ildemaro Vargas,hitter,Neutral,Apr 29,at_call,22,0.376,6,3,18.0,16.3,22.5,
Ildemaro Vargas,hitter,Neutral,Apr 29,since_call,4,0.438,0,1,2.9,2.7,25.8,
Dillon Dingler,hitter,Buy Low,Apr 29,at_call,25,0.238,4,7,14.9,13.5,13.1,
Dillon Dingler,hitter,Buy Low,Apr 29,since_call,4,0.357,1,0,2.6,2.4,19.2,
Ivan Herrera,hitter,Watch,Apr 29,at_call,29,0.257,4,24,21.6,19.6,15.0,
Ivan Herrera,hitter,Watch,Apr 29,since_call,5,0.3,0,3,3.4,3.1,18.6,
Jesus Luzardo,pitcher,Buy Low,Apr 22,at_call,5,1.59,3,9,26.3,33.0,8.3,4.3
Jesus Luzardo,pitcher,Buy Low,Apr 22,since_call,2,0.77,1,0,13.0,18.0,14.0,3.0
Michael Wacha,pitcher,Sell High,Apr 22,at_call,5,0.98,3,10,30.7,28.0,7.9,3.2
Michael Wacha,pitcher,Sell High,Apr 22,since_call,2,1.59,2,5,10.7,8.0,3.8,4.63
Kyle Bradish,pitcher,Buy Low,Apr 22,at_call,5,1.5,2,7,24.7,28.0,7.9,4.32
Kyle Bradish,pitcher,Buy Low,Apr 22,since_call,2,1.41,5,3,10.7,8.0,0.3,5.26
Joe Ryan,pitcher,Buy Low,Apr 29,at_call,6,1.19,3,7,31.0,32.0,7.8,4.0
Joe Ryan,pitcher,Buy Low,Apr 29,since_call,1,3.0,0,1,0.3,1.0,0.3,4.43
Cristopher Sanchez,pitcher,Buy Low,Apr 29,at_call,5,1.99,3,10,25.7,33.0,7.9,5.05
Cristopher Sanchez,pitcher,Buy Low,Apr 29,since_call,1,1.05,0,3,6.7,7.0,10.7,3.0
Spencer Arrighetti,pitcher,Sell High,Apr 29,at_call,3,1.11,1,9,18.0,21.0,9.0,3.49
Spencer Arrighetti,pitcher,Sell High,Apr 29,since_call,1,2.5,0,5,4.0,4.0,3.0,4.4
Robbie Ray,pitcher,Watch,Apr 29,at_call,6,1.22,1,11,32.0,24.0,7.0,3.4
Robbie Ray,pitcher,Watch,Apr 29,since_call,1,0.57,0,1,7.0,6.0,12.0,2.26
Gavin Williams,pitcher,Sell High,Apr 22,at_call,5,1.07,4,17,28.0,40.0,7.8,3.3
Gavin Williams,pitcher,Sell High,Apr 22,since_call,2,1.05,2,2,13.3,13.0,9.2,3.85
