player,type,window,games,avg,hr,r,rbi,sb,cbs_per_game,era,whip,k,w,sv,er,bb,ip
Yordan Alvarez,hitter,at_call,26,0.347,11.0,20.0,26.0,1.0,20.7,,,,,,,,
Yordan Alvarez,hitter,since_call,11,0.273,1.0,6.0,1.0,0.0,15.7,,,,,,,,
Vinnie Pasquantino,hitter,at_call,25,0.16,3.0,9.0,12.0,0.0,9.7,,,,,,,,
Vinnie Pasquantino,hitter,since_call,9,0.29,1.0,6.0,5.0,1.0,16.1,,,,,,,,
Trent Grisham,hitter,at_call,23,0.162,3.0,10.0,14.0,1.0,8.7,,,,,,,,
Trent Grisham,hitter,since_call,12,0.182,2.0,11.0,6.0,0.0,12.2,,,,,,,,
Oneil Cruz,hitter,at_call,24,0.286,7.0,18.0,22.0,10.0,19.9,,,,,,,,
Oneil Cruz,hitter,since_call,10,0.196,2.0,7.0,6.0,1.0,15.0,,,,,,,,
Jordan Walker,hitter,at_call,23,0.292,8.0,19.0,16.0,4.0,18.7,,,,,,,,
Jordan Walker,hitter,since_call,11,0.341,2.0,9.0,11.0,2.0,21.1,,,,,,,,
Corey Seager,hitter,at_call,30,0.207,6.0,19.0,17.0,1.0,12.9,,,,,,,,
Corey Seager,hitter,since_call,4,0.2,0.0,1.0,0.0,0.0,10.3,,,,,,,,
Matt Chapman,hitter,at_call,29,0.273,1.0,15.0,12.0,0.0,15.6,,,,,,,,
Matt Chapman,hitter,since_call,6,0.087,0.0,1.0,0.0,0.0,4.7,,,,,,,,
Ildemaro Vargas,hitter,at_call,22,0.372,6.0,19.0,20.0,0.0,23.0,,,,,,,,
Ildemaro Vargas,hitter,since_call,5,0.4,0.0,0.0,2.0,0.0,21.3,,,,,,,,
Dillon Dingler,hitter,at_call,26,0.242,5.0,11.0,19.0,0.0,13.6,,,,,,,,
Dillon Dingler,hitter,since_call,5,0.333,1.0,1.0,7.0,0.0,18.9,,,,,,,,
Ivan Herrera,hitter,at_call,30,0.248,4.0,16.0,14.0,1.0,13.7,,,,,,,,
Ivan Herrera,hitter,since_call,5,0.25,0.0,5.0,3.0,0.0,16.8,,,,,,,,
Jesus Luzardo,pitcher,at_call,5,,,,,,1.6,6.91,1.54,33.0,1.0,0.0,21.0,9.0,27.3
Jesus Luzardo,pitcher,since_call,2,,,,,,13.0,1.35,0.75,18.0,2.0,0.0,2.0,0.0,13.3
Michael Wacha,pitcher,at_call,5,,,,,,3.8,2.51,0.93,28.0,2.0,0.0,9.0,10.0,32.3
Michael Wacha,pitcher,since_call,2,,,,,,1.0,4.5,1.42,8.0,1.0,0.0,6.0,5.0,12.0
Gavin Williams,pitcher,at_call,5,,,,,,6.2,2.12,1.01,40.0,3.0,0.0,7.0,17.0,29.7
Gavin Williams,pitcher,since_call,3,,,,,,5.0,5.03,1.22,20.0,2.0,0.0,11.0,4.0,19.7
Kyle Bradish,pitcher,at_call,6,,,,,,2.8,4.36,1.27,35.0,1.0,0.0,16.0,7.0,33.0
Kyle Bradish,pitcher,since_call,2,,,,,,2.5,4.09,1.36,8.0,1.0,0.0,5.0,3.0,11.0
Joe Ryan,pitcher,at_call,7,,,,,,3.4,3.76,1.04,39.0,2.0,0.0,16.0,9.0,38.3
Joe Ryan,pitcher,since_call,1,,,,,,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.3
Cristopher Sanchez,pitcher,at_call,6,,,,,,5.3,2.94,1.6,43.0,2.0,0.0,11.0,10.0,33.7
Cristopher Sanchez,pitcher,since_call,2,,,,,,8.0,1.23,0.75,17.0,1.0,0.0,2.0,4.0,14.7
Spencer Arrighetti,pitcher,at_call,3,,,,,,7.7,2.0,1.11,21.0,3.0,0.0,4.0,9.0,18.0
Spencer Arrighetti,pitcher,since_call,1,,,,,,3.0,1.8,2.0,4.0,1.0,0.0,1.0,5.0,5.0
Robbie Ray,pitcher,at_call,6,,,,,,2.0,3.18,1.15,25.0,2.0,0.0,12.0,11.0,34.0
Robbie Ray,pitcher,since_call,1,,,,,,9.0,1.29,0.57,6.0,1.0,0.0,1.0,1.0,7.0
