Tier,Stat,N,Model_MAE,Steamer_MAE,Delta,Pct_Delta,Winner
Buy Low,HR,24,6.0625,6.3437,-0.2812,-4.4,MODEL
Buy Low,R,24,12.0333,14.6472,-2.6138,-17.8,MODEL
Buy Low,RBI,24,17.1583,18.347,-1.1887,-6.5,MODEL
Buy Low,AVG,24,0.0188,0.0148,0.004,26.8,Steamer
Buy Low,wOBA,22,0.0291,0.0297,-0.0006,-1.9,MODEL
Sell High,HR,9,7.2444,5.3551,1.8893,35.3,Steamer
Sell High,R,9,18.3333,13.9915,4.3418,31.0,Steamer
Sell High,RBI,9,13.6,13.4631,0.1369,1.0,Steamer
Sell High,AVG,9,0.0131,0.0177,-0.0046,-25.9,MODEL
Sell High,wOBA,7,0.0217,0.0274,-0.0057,-20.8,MODEL
