player,type,signal,call_date,metric,games_s1,value_rate_s1,games_s2,value_rate_s2,games_s3,value_rate_s3,trend,signal_confirming,data_quality,notes
Matt Chapman,Hitter,Sell high,2026-04-22,CBS_FPTS_per_game,23,267.49,28,236.36,32,221.29,down,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Vinnie Pasquantino,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,24,142.35,27,143.84,32,171.59,up,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Corey Seager,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,22,144.9,29,165.47,32,171.55,up,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Ildemaro Vargas,Hitter,Sell high,2026-04-22,CBS_FPTS_per_game,17,321.77,22,332.24,26,342.87,up,NOT CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Evan Carter,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,23,138.36,30,129.17,33,117.46,down,NOT CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Trent Grisham,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,21,107.98,28,105.87,32,128.74,up,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Iván Herrera,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,23,198.54,29,205.46,34,215.85,up,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Oneil Cruz,Hitter,Sell high,2026-04-22,CBS_FPTS_per_game,23,268.26,28,245.2,32,257.58,down,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Dillon Dingler,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,20,193.71,25,182.6,29,197.06,up,CONFIRMING,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Yordan Álvarez,Hitter,Buy low,2026-04-22,CBS_FPTS_per_game,25,302.72,29,308.39,34,303.68,flat,FLAT,estimated — R/RBI via wOBA proxy; SB=0; H/HR/AB/AVG exact from pitch events,Snapshot 3 = May 4 (latest Statcast)
Joe Ryan,Pitcher,Buy low,2026-04-22,ERA_proxy,5,3.21,7,3.72,8,3.73,up,NOT CONFIRMING,estimated — ERA proxy from wOBA allowed; actual ERA/FIP from pitcher_luck_scores.csv,Actual ERA May5=4.78 | FIP May5=2.87
Michael Wacha,Pitcher,Sell high,2026-04-22,ERA_proxy,5,3.2,6,3.77,7,3.63,up,CONFIRMING,estimated — ERA proxy from wOBA allowed; actual ERA/FIP from pitcher_luck_scores.csv,Actual ERA May5=2.91 | FIP May5=3.98
Jesús Luzardo,Pitcher,Buy low,2026-04-22,ERA_proxy,5,4.33,6,3.86,7,3.94,down,CONFIRMING,estimated — ERA proxy from wOBA allowed; actual ERA/FIP from pitcher_luck_scores.csv,Actual ERA May5=4.72 | FIP May5=2.61
Gavin Williams,Pitcher,Slight sell,2026-04-22,ERA_proxy,5,3.3,7,3.48,7,3.48,up,CONFIRMING,estimated — ERA proxy from wOBA allowed; actual ERA/FIP from pitcher_luck_scores.csv,Actual ERA May5=2.98 | FIP May5=3.79
Cristopher Sánchez,Pitcher,Neutral,2026-04-22,ERA_proxy,5,4.22,6,4.61,7,4.37,up,TRACKING,estimated — ERA proxy from wOBA allowed; actual ERA/FIP from pitcher_luck_scores.csv,Actual ERA May5=3.63 | FIP May5=2.48
Spencer Arrighetti,Pitcher,Sell high,2026-04-22,ERA_proxy,2,INSUF,3,3.49,4,3.7,insufficient,INSUFFICIENT,estimated — ERA proxy from wOBA allowed; actual ERA/FIP from pitcher_luck_scores.csv,Actual ERA May5=1.96 | FIP May5=3.77
