pitcher,name,Team,IP,ERA,ERA_adj_sc,FIP,xFIP,xERA,ERA_minus_FIP,ERA_minus_xERA,BABIP_allowed,lob_pct,hr_fb_rate,hard_hit_rate_allowed,barrel_rate_allowed,swstr_rate,k_pct,bb_pct,G,GS,TBF,key_fangraphs,fg_swstr_rate,fg_hr_fb_rate,BABIP_allowed_all,xERA_all,IP_sc,IP_sc_adj,RA_sc,FIP_sc,FIP_sc_all,lob_pct_sc,ERA_all_sc
645261,Sandy Alcántara,,40.3,3.12,3.12,4.02,,2.746,-0.9,0.37,0.248,0.781,0.118,0.228,0.026,0.117,,,,,,18684,,,0.24793388429752067,2.745869192771085,40.333333333333336,40.333333333333336,14.0,4.0163941880969505,3.968577344566745,0.78125,3.12
669923,George Kirby,,39.0,3.0,3.0,3.72,,2.318,-0.72,0.68,0.257,0.778,0.138,0.303,0.024,0.099,,,,,,25436,,,0.25688073394495414,2.317762666666666,39.0,39.0,13.0,3.71696634321456,3.669149499684355,0.7784431137724551,3.0
667755,José Soriano,,37.3,0.24,0.24,2.03,,2.142,-1.79,-1.9,0.207,1.0,0.045,0.214,0.045,0.133,,,,,,22100,,,0.2073170731707317,2.1417909785714278,37.333333333333336,37.333333333333336,1.0,2.033587222335439,1.9857703788052343,1.0,0.24
693821,Bryce Elder,,36.7,2.7,2.7,3.02,,2.383,-0.32,0.32,0.238,0.753,0.077,0.287,0.017,0.089,,,,,,27779,,,0.2376237623762376,2.383358931506849,36.666666666666664,36.66666666666667,11.0,3.0246586509068676,2.9768418073766627,0.753012048192771,2.7
669373,Tarik Skubal,,36.3,2.72,2.72,1.87,,2.633,0.85,0.09,0.302,0.723,0.043,0.244,0.028,0.136,,,,,,22267,,,0.3020833333333333,2.6328093028169004,36.333333333333336,36.333333333333336,11.0,1.868695348154574,1.8208785046243692,0.722543352601156,2.72
693645,Cam Schlittler,,35.3,2.29,2.29,1.41,,1.49,0.88,0.8,0.244,0.678,0.05,0.226,0.032,0.152,,,,,,-1,,,0.2441860465116279,1.4897515338345855,35.333333333333336,35.333333333333336,9.0,1.4114511037370563,1.3636342602068514,0.6779661016949152,2.29
605488,Jeffrey Springs,,35.3,3.57,3.57,4.13,,2.485,-0.56,1.08,0.213,0.72,0.156,0.199,0.048,0.097,,,,,,17677,,,0.2127659574468085,2.485474992957747,35.333333333333336,35.333333333333336,14.0,4.128432235812528,4.080615392282323,0.72,3.57
592332,Kevin Gausman,,35.0,2.83,2.83,2.48,,2.712,0.35,0.12,0.267,0.736,0.2,0.238,0.038,0.143,,,,,,14107,,,0.26666666666666666,2.7115573260869565,35.0,35.0,11.0,2.481801508049725,2.43398466451952,0.7364341085271318,2.83
668909,Gavin Williams,,35.0,3.34,3.34,4.37,,4.042,-1.03,-0.7,0.192,0.813,0.273,0.28,0.079,0.131,,,,,,30122,,,0.1917808219178082,4.041872584507042,35.0,35.0,13.0,4.36751579376401,4.319698950233805,0.8130081300813008,3.34
608331,Max Fried,,34.7,2.34,2.34,2.65,,1.092,-0.31,1.25,0.204,0.725,0.037,0.2,0.019,0.104,,,,,,13743,,,0.20430107526881722,1.091726375939849,34.666666666666664,34.666666666666664,9.0,2.6496586509068676,2.6018418073766627,0.7246376811594203,2.34
693433,Bryan Woo,,34.7,4.41,4.41,3.66,,3.474,0.75,0.94,0.265,0.612,0.103,0.303,0.048,0.112,,,,,,30279,,,0.2647058823529412,3.4744529999999996,34.666666666666664,34.666666666666664,17.0,3.659274035522252,3.6114571919920473,0.6122448979591837,4.41
664285,Framber Valdez,,34.3,3.41,3.41,3.69,,3.905,-0.28,-0.49,0.271,0.752,0.08,0.302,0.034,0.08,,,,,,17295,,,0.27102803738317754,3.9047938851351347,34.333333333333336,34.333333333333336,13.0,3.694561563528227,3.646744719998022,0.7524271844660194,3.41
671737,Taj Bradley,,34.0,2.65,2.65,3.7,,4.136,-1.05,-1.49,0.3,0.879,0.154,0.25,0.036,0.101,,,,,,22543,,,0.3,4.135760204081633,34.0,34.0,10.0,3.701129239142162,3.653312395611957,0.8791208791208791,2.65
