pitcher,name,Team,IP,ERA,ERA_adj_sc,FIP,xFIP,xERA,ERA_minus_FIP,ERA_minus_xERA,BABIP_allowed,lob_pct,hr_fb_rate,hard_hit_rate_allowed,barrel_rate_allowed,swstr_rate,k_pct,bb_pct,G,GS,TBF,key_fangraphs,fg_swstr_rate,fg_hr_fb_rate,BABIP_allowed_all,xERA_all,IP_sc,IP_sc_adj,RA_sc,FIP_sc,FIP_sc_all,lob_pct_sc,ERA_all_sc,park_factor,park_change,park_change_label,career_babip_allowed,career_hh_allowed,career_barrel_allowed,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,xwoba_gap,gb_pct,luck_score,conf_phase,career_ip,birth_year,age,fip_minus,pitcher_quality_tier,rtm_signal,rtm_confluence,amplification_cap_applied,stuff_plus_avg,best_pitch_type,stuff_plus_signal,total_starts,disaster_starts,disaster_rate,qs_count,qs_rate,start_variance,volatility_flag,volatility_label,pitch_mix_signal,pitch_mix_note,verdict,raw_buy_score,buy_qualified,lob_confluence_flag,curr_csw,career_csw_p,csw_gap,tier_sell,age_flag,owned_pct,fp_rank,contract_year,player_name,team,ip,player_type,role_override,curr_pitch_types,new_pitches,dropped_pitches,curr_swstr_overall,career_swstr_overall,swstr_gap,curr_primary_velo,career_primary_velo,velo_gap,cbs_rank
666200,Jesús Luzardo,PHI,48.7,4.99,4.99,2.87,,2.812,2.12,2.18,0.369,0.649,0.192,0.183,0.033,0.147,,,,,,19959.0,,,0.3692307692307692,2.8116983521126766,48.66666666666666,48.66666666666666,27.0,2.873051686427996,2.8400914819767222,0.6491228070175439,4.99,1.06,False,,0.2799,0.3899,0.0804,0.2799,29,0.2799,0.2967,0.039,0.515,0.8124,May,713.0,1997,29,71.5,Elite (FIP-<80),0.058,No confluence,False,95.4,FF,,9,2,0.222,3,0.333,6.6,True,High variance — signals less reliable,0.05,velo_gain +0.05,Buy low,1.2926,True,Low strand rate,0.3283,0.306,0.0223,,,89.76,47,False,Jesús Luzardo,PHI,48.7,SP,False,"CH,FF,SI,ST",SI,,0.1467,0.1885,-0.0418,96.7,96.17,0.53,19
656849,David Peterson,NYM,43.0,5.65,5.65,2.92,,4.429,2.73,1.22,0.366,0.634,0.091,0.289,0.03,0.104,,,,,,20302.0,,,0.3656716417910448,4.428769162561575,43.0,43.0,27.0,2.9184483095563807,2.885488105105108,0.634441087613293,5.65,0.95,False,,0.3043,0.4399,0.0723,0.3043,31,0.3043,0.2891,0.0264,0.54,0.7449,May,642.1,1995,31,81.1,Above Avg (80-95),-1.509,Buy confluence,False,102.9,FF,,10,1,0.1,0,0.0,3.65,False,,-0.08,rv_degrade -0.08,Buy low,1.6561,True,Low strand rate,0.2869,0.294,-0.0071,,,23.0,392,False,David Peterson,NYM,43.0,SP,False,"CH,CU,FF,SI,SL",CU,,0.1045,0.2425,-0.138,91.9,92.95,-1.05,
656464,Kevin Ginkel,AZ,18.0,5.0,4.5,-0.94,,-5.166,5.94,10.17,0.5,0.5,0.0,0.26,0.03,0.12,,,,,,19876.0,,,0.3125,1.667555540540541,18.0,2.0,1.0,-0.9420168067226892,2.080578544381593,0.5,5.0,1.0,False,,0.2829,0.391,0.068,0.2829,32,0.2829,0.2829,0.0216,0.51,0.6042,May,266.2,1994,32,-24.8,Elite (FIP-<80),4.226,No confluence,False,,,,19,0,0.0,0,0.0,,False,,,,Neutral,3.602,True,,0.2785,0.2857,-0.0072,,,6.0,93.0,False,Kevin Ginkel,AZ,18.0,RP,False,"FF,SI,SL","FF,SI,SL",,0.1212,,,94.5,,,
676917,Cade Cavalli,WSH,45.0,4.74,4.74,3.17,,3.761,1.57,0.98,0.372,0.714,0.094,0.247,0.041,0.108,,,,,,27473.0,,,0.3777777777777777,4.067215958333333,45.0,43.66666666666666,23.0,3.172487010071204,3.313911877714926,0.7142857142857143,5.4,1.0,False,,,,,0.3,28,0.3,0.3,0.0437,0.449,0.5356,May,68.2,1998,28,83.7,Above Avg (80-95),-0.591,Buy confluence,False,,,,10,1,0.1,2,0.2,3.75,False,,,,Neutral,0.9637,False,,0.2988,,,,,40.0,340,False,Cade Cavalli,WSH,45.0,SP,False,"CH,FF,KC,SI,ST","CH,FF,KC,SI,ST",,0.1083,,,96.2,,,93
663687,Hogan Harris,ATH,22.0,5.73,0.0,1.06,,-3.431,4.67,9.16,0.0,,0.0,0.152,0.023,0.094,,,,,,21520.0,,,0.288135593220339,3.395176,22.0,2.0,0.0,1.0579831932773107,4.343204807007855,,5.73,0.96,False,,0.2949,0.3917,0.0738,0.2949,30,0.2949,0.2831,0.0119,0.557,0.5103,May,210.0,1996,30,29.1,Elite (FIP-<80),4.491,No confluence,False,105.3,FF,,24,0,0.0,0,0.0,,False,,0.0,,Buy low,2.7625,True,,0.2589,,,,,2.65,166.0,False,Hogan Harris,ATH,22.0,RP,False,"CH,CU,FC,FF,SL","CH,CU,FC,SL",,0.095,0.2024,-0.1074,95.0,93.0,2.0,
657746,Joe Ryan,MIN,49.7,4.01,4.01,2.75,,2.758,1.26,1.25,0.26,0.611,0.079,0.226,0.047,0.113,,,,,,21390.0,,,0.2595419847328244,2.7810985073891628,49.66666666666666,49.333333333333336,22.0,2.7539291392232568,2.7431437941951646,0.6113537117903931,3.99,1.0,False,,0.2721,0.3907,0.0939,0.2721,30,0.2721,0.2721,-0.0094,0.396,0.5033,May,662.2,1996,30,72.6,Elite (FIP-<80),-0.008,Buy confluence,False,91.3,FF,,10,2,0.2,3,0.3,4.56,True,High variance — signals less reliable,0.07,new_pitch +0.07,Buy low,0.7518,True,Low strand rate,0.2862,0.3225,-0.0363,,,95.4,63,False,Joe Ryan,MIN,49.7,SP,False,"FF,FS,KC,SI,SL,ST","FS,KC,SI,SL,ST",,0.1127,0.2719,-0.1592,92.8,93.0,-0.2,16
699134,Bradgley Rodriguez,SD,20.7,3.92,0.0,0.06,,-4.443,3.86,8.36,0.0,,,0.218,0.01,0.153,,,,,,29107.0,,,0.25,0.6122493333333332,20.666666666666668,2.0,0.0,0.0579831932773107,2.1540552468905534,,3.92,1.0,False,,,,,0.3,23,0.3,0.3,0.0172,0.557,0.4504,May,17.0,2003,23,1.6,Elite (FIP-<80),4.503,No confluence,False,,,,18,0,0.0,0,0.0,,False,,,,Neutral,2.2753,False,,0.3233,,,,,0.3,139.0,False,Bradgley Rodriguez,SD,20.7,RP,False,"CH,FC,FF,SI","CH,FC,FF,SI",,0.1533,,,98.0,,,
643410,Mark Leiter,ATH,19.3,7.45,0.0,1.06,,3.645,6.39,3.8,0.333,1.0,0.0,0.235,0.026,0.13,,,,,,15551.0,,,0.4,4.781960021978022,19.33333333333333,2.0,0.0,1.0579831932773107,3.0250229888260374,1.0,7.45,0.96,True,Park change (NYY->ATH) - career baseline less reliable,0.2816,0.3675,0.0721,0.2816,35,0.2872,0.2757,0.0074,0.339,0.4357,May,360.1,1991,35,29.1,Elite (FIP-<80),-2.585,Buy confluence,False,,,,21,0,0.0,0,0.0,,False,,,,Neutral,3.8444,True,,0.3166,0.297,0.0196,,Age 35+ — monitor second half,,,False,Mark Leiter,ATH,19.3,RP,False,"CU,FC,FF,FS,SI,SL","CU,FC,FF,FS,SI,SL",,0.1302,,,92.2,,,
656302,Dylan Cease,TOR,52.0,2.77,2.77,1.81,,2.623,0.96,0.15,0.342,0.767,0.059,0.209,0.021,0.153,,,,,,18525.0,,,0.3418803418803419,2.623048387096775,52.0,52.0,16.0,1.8079831932773107,1.7750229888260374,0.7667731629392971,2.77,1.0,False,,0.268,0.3735,0.0736,0.268,31,0.268,0.268,-0.0078,0.475,0.4324,May,1030.0,1995,31,47.8,Elite (FIP-<80),-0.813,Buy confluence,False,101.8,FF,,9,0,0.0,3,0.333,2.51,False,,-0.05,abandonment -0.10 | velo_gain +0.05,Neutral,0.5851,True,,0.3241,0.2868,0.0373,,,98.79,41,False,Dylan Cease,TOR,52.0,SP,False,"CH,FF,KC,SI,SL,ST","CH,KC,SI,ST",,0.1527,0.2236,-0.0709,97.5,96.6,0.9,13
669387,Carmen Mlodzinski,PIT,44.7,4.23,4.23,2.92,,4.841,1.31,-0.61,0.353,0.707,0.08,0.328,0.045,0.083,,,,,,27572.0,,,0.3533834586466165,4.84118943147208,44.66666666666666,44.66666666666666,21.0,2.923654835068356,2.890694630617082,0.7073954983922829,4.23,1.0,False,,0.2926,0.3905,0.0479,0.2926,27,0.2926,0.2926,-0.0135,0.459,0.4184,May,200.0,1999,27,77.1,Elite (FIP-<80),-1.921,Buy confluence,False,101.3,FF,,9,1,0.111,1,0.111,3.9,False,,0.0,,Neutral,0.7917,True,,0.2857,0.2884,-0.0027,,,4.42,346,False,Carmen Mlodzinski,PIT,44.7,SP,True,"CU,FF,FS,SI,SL,ST","CU,FS,SI,SL,ST",,0.0833,0.2062,-0.1229,94.4,96.0,-1.6,
